,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,"(0.9042564604017469,)","(0.6226857503255208,)","(0.7779184977213541,)","(0.8285528394911024,)",,"(0.9878395305739509,)","(0.9651504516601562,)","(0.980454338921441,)","(0.8832518471611871,)","(0.994578488667806,)","(0.9820741454760233,)","(0.9468966378106012,)","(0.935036383734809,)","(0.9874526977539062,)",,,,
1,,"(0.5367297278510199,)","(0.8380573060777452,)","(0.8046852747599283,)","(0.6135560353597005,)","(0.8964418199327256,)","(0.9055592642890082,)","(0.9863639301723904,)","(0.9850820925500657,)","(0.9948566628826989,)","(0.9789261380831401,)","(0.9338280889723036,)","(0.8473926544189453,)","(0.7904520034790039,)","(0.937571398417155,)","(0.8804109361436632,)","(0.906646834479438,)","(0.8614222208658854,)","(0.9320189793904623,)",
2,,"(0.8673535558912489,)","(0.9312923961215549,)","(0.8285791397094726,)","(0.9245562182532416,)","(0.911635881000095,)","(0.8727368354797364,)","(0.982249649365743,)","(0.965094158384535,)","(0.9301667955186632,)","(0.9859838207562764,)","(0.9882814910676744,)","(0.9686844031016032,)","(0.9491973135206434,)","(0.9584496233198377,)","(0.9889330393738217,)","(0.9885963969760471,)","(0.9921953519185384,)","(0.89288207160102,)","(0.9296389897664388,)"
3,"(0.9137062602572971,)","(0.9371012369791667,)","(0.9893552031781938,)","(0.947019100189209,)","(0.9966790702607896,)","(0.9717090951071845,)","(0.9393280453152126,)","(0.9416606691148546,)","(0.9862571835517884,)","(0.9924514445993635,)","(0.9986273447672526,)","(0.9864523781670465,)","(0.9699132813347711,)","(0.9762310292985704,)","(0.9934739218817816,)","(0.9649350113338895,)","(0.925401422712538,)","(0.9272335211435954,)","(0.9805985662672255,)","(0.9971824874480565,)"
4,"(0.9127783033582899,)","(0.9526702298058404,)","(0.9818021933237712,)","(0.9841605001025729,)","(0.997599991162618,)","(0.9916745861371358,)","(0.946720117992825,)","(0.9925501750575172,)","(0.993307708369361,)","(0.9785208755069309,)","(0.9247508790757921,)","(0.9948213044140074,)","(0.9947575880421533,)","(0.8391158633761936,)","(0.9789642916785346,)","(0.9935446633232965,)","(0.9751190026601155,)","(0.9992090966966417,)","(0.9987405902809567,)","(0.9788957781261868,)"
5,"(0.8481525209214952,)","(0.9994676351547241,)","(0.997283771302965,)","(0.974402379989624,)","(0.9950464427471161,)","(0.9533019701639811,)","(0.9905924287107256,)","(0.9839780065748427,)","(0.9813314093483819,)","(0.9913633777035608,)","(0.990769182311164,)","(0.9884584638807509,)","(0.979281849331326,)","(0.992194355196423,)","(0.9320257292853461,)","(0.9913905885484483,)","(0.975534298684862,)","(0.9999915970696344,)","(0.9679037729899088,)","(0.9764283445146349,)"
6,"(0.9764698876274956,)","(0.9195269902547201,)","(0.9272256427341037,)","(0.9957584116193984,)","(0.9954428838358985,)","(0.9117043018341064,)","(0.9863524675369263,)","(0.9977889388799668,)","(0.9963230417834388,)","(0.9634781148698595,)","(0.9544177479214139,)","(0.9837560441758898,)","(0.9913996252748701,)","(0.9814944611655341,)","(0.9937626520792643,)","(0.9732692294650608,)","(0.9904058767689599,)","(0.9960716247558594,)","(0.9982677671644423,)","(0.9395377582973904,)"
7,"(0.9772529655032688,)","(0.9837632801797654,)","(0.9459985415140788,)","(0.9996643602848053,)","(0.9979623700181643,)","(0.9969983869128757,)","(0.9711517228020562,)","(0.994648634062873,)","(0.9922986918025547,)","(0.9933451546563042,)","(0.9976927121480306,)","(0.9939538637797037,)","(0.9985613384180598,)","(0.9763967196146647,)","(0.9934894025325776,)","(0.9631193452411227,)","(0.9086974673800998,)","(0.9696886804368761,)","(0.9629307270050049,)","(0.849694209628635,)"
8,"(0.9974959411554867,)","(0.9955052905612521,)","(0.9961196349726783,)","(0.9343426810370551,)","(0.9906042973200481,)","(0.7660441504584419,)","(0.9935759902000427,)","(0.9900136285358005,)","(0.991742773188485,)","(0.997923532459471,)","(0.9934794386227925,)","(0.9863365319040086,)","(0.9918642852041456,)","(0.9970018403397666,)","(0.9928062637646993,)","(0.9857689605818855,)","(0.9860211345884535,)","(0.9981456200281779,)","(0.977956411573622,)","(0.9657712088690864,)"
9,"(0.9831070767508613,)","(0.9921777129173279,)","(0.9503825982411702,)","(0.9946120381355286,)","(0.9972000655200747,)","(0.9983028319146898,)","(0.999783605006006,)","(0.9991451424029139,)","(0.9994703080919054,)","(0.9973947472042508,)","(0.9997755904164579,)","(0.9998928853207164,)","(0.9993217838721142,)","(0.9995612273613612,)","(0.9952087316248152,)","(0.9756749762429131,)","(0.9624878618452284,)","(0.9706002261903551,)","(0.9767817709181044,)","(0.9912719481521183,)"
10,"(0.9876381503211127,)","(0.9893968370225694,)","(0.9570156892140707,)","(0.9803556230333116,)","(0.9857176807191637,)","(0.995980202820566,)","(0.9866891781489054,)","(0.9957867536279891,)","(0.9958226680755615,)","(0.9998102150029606,)","(0.9995303445392185,)","(0.9970120847225189,)","(0.9985197868612078,)","(0.9277683893839518,)","(0.9884338352415297,)","(0.9827409081988865,)","(0.9575891759660509,)","(0.9984586556752523,)","(0.9338021278381348,)","(0.9946689979897605,)"
11,"(0.9739553954866197,)","(0.9841446028815375,)","(0.9585292180379231,)","(0.9749406019846598,)","(0.993131955464681,)","(0.9753606928719415,)","(0.9841601159837511,)","(0.9859012484550476,)","(0.9983498104744487,)","(0.9980999675061968,)","(0.9988332112630208,)","(0.9937952121098836,)","(0.9994594997829861,)","(0.9959780163235135,)","(0.9676952123641968,)","(0.9980491532219781,)","(0.9920132146941291,)","(0.9914423810111151,)","(0.9825402153862848,)","(0.9211990674336752,)"
12,"(0.8458232243855794,)","(0.9868399593565199,)","(0.982930580774943,)","(0.9993084324730768,)","(0.9906024601724412,)","(0.9951731363932291,)","(0.9754758305019803,)","(0.9983296500311958,)","(0.9910827212863498,)","(0.9873694803979661,)","(0.9873829947577583,)","(0.9927157163619995,)","(0.9979665226406521,)","(0.9981934497753779,)","(0.996835360262129,)","(0.975936320092943,)","(0.9638847589492798,)","(0.9710608376397027,)","(0.8535111321343316,)","(0.9512007607354058,)"
13,"(0.8984384854634603,)","(0.9807912429173787,)","(0.9816887829038832,)","(0.9651577578650581,)","(0.9985682858361138,)","(0.999138848317994,)","(0.9730047437879774,)","(0.9993104775746663,)","(0.9966257681449254,)","(0.9974693934122721,)","(0.9741055991914537,)","(0.9961604568693373,)","(0.9876098712285359,)","(0.9731979449590047,)","(0.9683041969935099,)","(0.9544736544291178,)","(0.9845113674799602,)","(0.9470346556769477,)","(0.9005349265204535,)","(0.8555956310696072,)"
