,0
0,141
1,180
2,182
3,214
4,216
5,218
6,264
7,294
8,325
9,336
10,348
11,371
12,380
13,388
14,391
15,395
16,400
17,416
18,454
19,457
20,488
21,503
22,506
23,515
24,525
25,531
26,548
27,553
28,555
29,564
30,569
31,571
32,575
33,580
34,581
35,596
36,598
37,603
38,605
39,609
40,614
41,617
42,625
43,630
44,634
45,641
46,654
47,656
48,659
49,660
50,666
51,668
52,671
53,673
54,675
55,679
56,681
57,683
58,704
59,713
60,718
61,721
62,723
63,726
64,734
65,735
66,736
67,737
68,741
69,742
70,748
71,750
72,754
73,756
74,760
75,764
76,765
77,767
78,768
79,772
80,779
81,781
82,783
83,788
84,797
85,800
86,804
87,808
88,809
89,812
90,813
91,831
92,835
93,839
94,845
95,847
96,851
97,857
98,861
99,870
100,875
101,879
102,880
103,883
104,886
105,894
106,897
107,901
108,904
109,907
110,908
111,909
112,910
113,912
114,913
115,923
116,926
117,928
118,929
119,936
120,942
121,944
122,948
123,949
124,952
125,953
126,955
127,956
128,960
129,961
130,964
131,975
132,978
133,994
134,995
135,1000
136,1005
137,1006
138,1008
139,1010
140,1011
141,1014
142,1018
143,1028
144,1029
145,1032
146,1034
147,1036
148,1041
149,1043
150,1045
151,1046
152,1047
153,1048
154,1049
155,1051
156,1058
157,1059
158,1060
159,1066
160,1068
161,1069
162,1072
163,1074
164,1078
165,1079
166,1080
167,1082
168,1084
169,1085
170,1087
171,1088
172,1089
173,1090
174,1094
175,1098
176,1099
177,1100
178,1103
179,1106
180,1109
181,1110
182,1112
183,1113
184,1114
185,1118
186,1120
187,1124
188,1125
189,1127
190,1128
191,1130
192,1132
193,1134
194,1135
195,1138
196,1141
197,1143
198,1144
199,1145
200,1146
201,1147
202,1148
203,1150
204,1152
205,1154
206,1158
207,1159
208,1162
209,1165
210,1166
211,1171
212,1173
213,1177
214,1178
215,1179
216,1181
217,1184
218,1186
219,1187
220,1188
221,1196
222,1197
223,1202
224,1205
225,1206
226,1207
227,1208
228,1210
229,1212
230,1214
231,1216
232,1218
233,1219
234,1222
235,1223
236,1224
237,1225
238,1226
239,1227
240,1230
241,1231
242,1232
243,1233
244,1234
245,1236
246,1237
247,1238
248,1240
249,1241
250,1242
251,1243
252,1244
253,1245
254,1249
255,1251
256,1252
257,1253
258,1254
259,1255
260,1256
261,1257
262,1258
263,1261
264,1262
265,1263
266,1264
267,1265
268,1266
269,1269
270,1272
271,1273
272,1275
273,1276
274,1278
275,1279
276,1280
277,1281
278,1282
279,1283
280,1285
281,1286
282,1287
283,1288
284,1290
285,1291
286,1292
287,1294
288,1295
289,1296
290,1297
291,1298
292,1299
293,1301
294,1302
295,1303
296,1304
297,1305
298,1306
299,1307
300,1308
301,1309
302,1310
303,1311
304,1312
305,1313
306,1315
307,1318
308,1319
309,1321
310,1322
311,1323
312,1324
313,1325
314,1326
315,1327
316,1328
317,1329
318,1330
319,1331
320,1332
321,1333
322,1334
323,1335
324,1336
325,1337
326,1338
327,1339
328,1340
329,1341
330,1343
331,1344
332,1345
333,1346
334,1347
335,1348
336,1349
337,1350
338,1352
339,1353
340,1354
341,1355
342,1356
343,1357
344,1358
345,1359
346,1360
347,1361
348,1362
349,1363
350,1364
351,1365
352,1366
353,1367
354,1368
355,1369
356,1370
357,1371
358,1373
359,1374
360,1375
361,1376
362,1377
363,1378
364,1380
365,1381
366,1382
367,1383
368,1384
369,1385
370,1386
371,1387
372,1388
373,1389
374,1390
375,1391
376,1392
377,1393
378,1394
379,1395
380,1396
381,1397
