,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,"(0.8213273366292317,)","(0.9662754403220283,)","(0.9610152006149292,)",,"(0.9104899830288358,)","(0.9929173317220475,)",,,,,,
2,,,,,,,"(0.826993030971951,)","(0.8859631962246365,)","(0.9290720091925727,)","(0.9987476506166988,)","(0.9635525835884942,)","(0.9566798051198323,)","(0.9175009674496121,)","(0.9726211706797282,)","(0.8689132690429687,)","(0.6542171054416233,)","(0.7143001556396484,)",,,
3,,,,,"(0.47003080579969614,)","(0.8147442499796549,)","(0.8527138180202908,)","(0.9073880937364366,)","(0.9939981003602346,)","(0.9975282152493795,)","(0.9702942106458876,)","(0.9863243659337362,)","(0.9647353092829386,)","(0.9220612896813287,)","(0.8369976467556424,)","(0.8190713882446289,)","(0.9552340931362576,)","(0.7011581208970812,)",,
4,,,,,"(0.6439616733127169,)","(0.7978764004177518,)","(0.8674534691704644,)","(0.936874877081977,)","(0.9904124213589562,)","(0.9998058792617586,)","(0.9974241811368201,)","(0.9860924243927002,)","(0.98951885037952,)","(0.9739369127485488,)","(0.993246383799447,)","(0.9990841693348355,)","(0.9984003386563725,)","(0.8775345908270942,)","(0.8130855560302734,)",
5,,,,"(0.6502586364746094,)","(0.6392554389105902,)","(0.8168245527479383,)","(0.8336102803548178,)","(0.9749505334430271,)","(0.9962700853745142,)","(0.9982722371816635,)","(0.9960006607903374,)","(0.9709239509370592,)","(0.9815957069396972,)","(0.9974282582600912,)","(0.9935578068097433,)","(0.9971180922455258,)","(0.97761656443278,)","(0.9906701836321089,)","(0.9048172103034126,)",
6,,,,,"(0.8569492975870768,)","(0.8444930924309625,)","(0.9903416130277846,)","(0.9854451696077983,)","(0.9912048750453525,)","(0.9942212098174625,)","(0.961657354566786,)","(0.9965496430794398,)","(0.9868600302272372,)","(0.9874857584635417,)","(0.9981721583339903,)","(0.9987269568774435,)","(0.9850620190302531,)","(0.9857440061039395,)","(0.9854580773247613,)","(0.9877335561646355,)"
7,,,"(0.6943104214138455,)","(0.9949710739983453,)","(0.9756510125266181,)","(0.9644406742519802,)","(0.9490335782368978,)","(0.9778545737266541,)","(0.9947598507006963,)","(0.9967867798275418,)","(0.9890273710091909,)","(0.9744395229551527,)","(0.9967763185501098,)","(0.9880029810799493,)","(0.9948839790291256,)","(0.979089625676473,)","(0.9942182474666171,)","(0.9931628028551738,)","(0.9998136112673415,)","(0.9218782212999131,)"
8,,"(0.6159859551323785,)",,"(0.9410532633463542,)","(0.9735726727379693,)","(0.9819605297512478,)","(0.9986504876779185,)","(0.9956470602088504,)","(0.9994223942359288,)","(0.9979753336972661,)","(0.9993117406964303,)","(0.9985082210765944,)","(0.9714990615844726,)","(0.9864039818445841,)","(0.9894801033867731,)","(0.9898439407348633,)","(0.95534790886773,)","(0.9565013302697076,)","(0.9919065488709344,)","(0.8710667928059896,)"
9,,"(0.6521733389960395,)","(0.691249148050944,)","(0.9809870428509182,)","(0.9953151524066925,)","(0.9930552515718672,)","(0.9968247307671441,)","(0.9964946203761631,)","(0.9990572823418511,)","(0.9999514791700576,)","(0.9998716576231851,)","(0.9969022227658166,)","(0.9843655427296957,)","(0.9988717701699998,)","(0.9674794514973958,)","(0.9989435786174403,)","(0.9890133208698697,)","(0.8793393558926053,)","(0.897486072116428,)","(0.9773258659574721,)"
10,,"(0.7701525582207573,)","(0.6621409734090169,)","(0.9405909803178575,)","(0.97054566277398,)","(0.9733909368515015,)","(0.9896065606011285,)","(0.9966410222980712,)","(0.9969800591468811,)","(0.9999835391839346,)","(0.9998957170380487,)","(0.9995536122057173,)","(0.9995288434955809,)","(0.9946914672851562,)","(0.9965206725729836,)","(0.9954733610153198,)","(0.9138495339287652,)","(0.7401857164171006,)","(0.9247458669874403,)","(0.8942346572875977,)"
11,"(0.7865604400634766,)","(0.8984333568149143,)","(0.7594284693400065,)","(0.976033361752828,)","(0.9268895043267145,)","(0.9801947275797526,)","(0.9855942832099067,)","(0.9886249330308702,)","(0.9850154134962293,)","(0.9984264108869765,)","(0.9989597744411892,)","(0.9802880936198765,)","(0.9907686975267198,)","(0.9962641186184353,)","(0.9954844646983676,)","(0.9712288114759657,)","(0.9436967531840006,)","(0.8525383525424534,)","(0.8325532171461317,)","(0.8952333556281196,)"
12,,"(0.9065539783901638,)","(0.9452911376953125,)","(0.8986787054273817,)","(0.9742850833468967,)","(0.9905086365011003,)","(0.9926940222581228,)","(0.9994398144384226,)","(0.9965380642149183,)","(0.9981082591745588,)","(0.9955532656775581,)","(0.9991907119750977,)","(0.9794952538278368,)","(0.980196581946479,)","(0.9945615675714281,)","(0.9985445340474447,)","(0.932168287701077,)","(0.6570447497897678,)","(0.7126361846923828,)","(0.6642919116550021,)"
13,"(0.983505470222897,)",,,"(0.9489638752407498,)","(0.9959177196025848,)","(0.9683891852696737,)","(0.9987793962160746,)","(0.9985587490929497,)","(0.997663510342439,)","(0.99984057645003,)","(0.9669069449106852,)","(0.9818172097206116,)","(0.9989520094460911,)","(0.9840507176187303,)","(0.9923798282941182,)","(0.9360240035586886,)","(0.640093739827474,)","(0.6554560767279731,)","(0.6713583840264215,)",
14,,"(0.907983832889133,)",,"(0.9577357530593872,)","(0.9945150547557406,)","(0.984301918082767,)","(0.9605460272894966,)","(0.9980593681335449,)","(0.9841729031668769,)","(0.9810862329271105,)","(0.9985899183485243,)","(0.9988565368784799,)","(0.9878983312182956,)","(0.9992975792123212,)","(0.9983036852545208,)","(0.96945784356859,)","(0.6240004221598308,)","(0.6733649147881402,)",,
15,,,,"(0.9815744797388712,)","(0.9709552552964952,)","(0.9930539131164551,)","(0.9993901782565646,)","(0.9802166620890299,)","(0.9886181036631266,)","(0.987404301431444,)","(0.9991491847568088,)","(0.9896671930948894,)","(0.9862427102194892,)","(0.9840313063727485,)","(0.654036161634657,)","(0.9383974340226915,)","(0.5733178456624348,)",,,
16,,,,"(0.936123768488566,)","(0.9920027573903402,)","(0.9092488182915581,)","(0.9991904957426919,)","(0.98945821457439,)","(0.9875867777400547,)","(0.9945712142520481,)","(0.9891348971260918,)","(0.9804516792297363,)","(0.9366509755452475,)","(0.9231547408633762,)","(0.17609795464409717,)",,,,,
17,,,,,"(0.9261789957682292,)","(0.994255229499605,)","(0.9844898568259345,)","(0.9699163277943929,)","(0.991430770026313,)","(0.9733093394173516,)","(0.9909997092352973,)","(0.9806195153130426,)","(0.9827323423491584,)","(0.7147498236762153,)",,,,,,
18,,,,,,"(0.9423046429951986,)","(0.9463395436604818,)","(0.9876144833034939,)","(0.8414601855807834,)","(0.8230350918240017,)","(0.7896098242865668,)","(0.874436781141493,)","(0.8154405381944444,)",,"(0.8417692396375868,)",,,,,
19,,,,,,,,"(0.8548155572679308,)","(0.7044470893012152,)","(0.7775830586751302,)",,,,,,,,,,
