,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,25/400,100,42,[0.7937],[0.2279],[0.029],[0.9962],"[-2.7315,-2.7230]","[3.0496,3.0529]",19.84,848.42
1,algoQD,1,32/400,100,18,[0.8561],[0.1338],[0.5783],[0.9993],"[-3.3957,-3.9651]","[3.0496,3.0529]",27.40,484.86
2,algoQD,2,42/400,100,23,[0.817],[0.1867],[0.3526],[0.9993],"[-3.3957,-3.9651]","[3.9296,4.0079]",34.31,632.53
3,algoQD,3,52/400,100,24,[0.8139],[0.1945],[0.2096],[0.9993],"[-4.2550,-4.2600]","[4.9042,4.0403]",42.33,634.08
4,algoQD,4,57/400,100,17,[0.8366],[0.2015],[0.1509],[0.9993],"[-4.2550,-4.2600]","[4.9042,4.4821]",47.69,634.46
5,algoQD,5,66/400,100,21,[0.8533],[0.1878],[0.1509],[0.9994],"[-4.2550,-5.4769]","[5.7558,5.5219]",56.32,633.01
6,algoQD,6,68/400,100,12,[0.8664],[0.1711],[0.1509],[0.9996],"[-4.5210,-5.4769]","[5.7558,5.5219]",58.91,629.39
7,algoQD,7,75/400,100,14,[0.8578],[0.1805],[0.1509],[0.9996],"[-6.4508,-5.4769]","[5.7558,6.9141]",64.33,626.96
8,algoQD,8,83/400,100,23,[0.8643],[0.1758],[0.1509],[0.9996],"[-6.7584,-5.4769]","[6.2869,9.0656]",71.73,629.48
9,algoQD,9,94/400,100,23,[0.873],[0.1618],[0.1509],[0.9998],"[-6.7584,-5.4769]","[6.2869,9.0656]",82.06,639.78
10,algoQD,10,100/400,100,21,[0.886],[0.152],[0.1509],[0.9998],"[-6.7584,-5.4769]","[6.2869,9.0656]",88.60,633.62
11,algoQD,11,110/400,100,23,[0.8846],[0.1443],[0.1886],[0.9998],"[-6.7584,-5.4769]","[6.5561,9.0656]",97.30,630.92
12,algoQD,12,115/400,100,16,[0.8883],[0.1402],[0.1886],[0.9998],"[-6.7584,-6.8661]","[6.7509,9.0656]",102.16,625.82
13,algoQD,13,120/400,100,17,[0.8877],[0.1461],[0.1886],[0.9998],"[-6.7584,-6.8661]","[6.7509,9.0656]",106.53,635.39
14,algoQD,14,125/400,100,17,[0.8947],[0.1284],[0.3704],[0.9998],"[-6.7584,-6.8661]","[6.7509,9.0656]",111.84,627.81
15,algoQD,15,128/400,100,8,[0.8944],[0.1285],[0.3704],[0.9998],"[-6.7584,-6.8661]","[6.7509,9.0656]",114.48,632.01
16,algoQD,16,133/400,100,9,[0.8961],[0.1233],[0.3704],[0.9998],"[-6.9155,-6.8661]","[6.7509,9.0656]",119.18,638.81
17,algoQD,17,137/400,100,16,[0.9009],[0.1205],[0.3913],[0.9998],"[-6.9155,-7.7488]","[6.7509,9.0656]",123.42,630.21
18,algoQD,18,140/400,100,9,[0.9006],[0.1207],[0.3913],[0.9998],"[-6.9155,-7.7488]","[6.7509,9.0656]",126.08,628.44
19,algoQD,19,148/400,100,16,[0.9006],[0.12],[0.3913],[0.9998],"[-6.7584,-7.7488]","[6.7509,9.0656]",133.30,631.21
20,algoQD,20,157/400,100,16,[0.8991],[0.1163],[0.4114],[0.9998],"[-7.2061,-7.7488]","[6.7509,9.0656]",141.15,628.69
21,algoQD,21,164/400,100,14,[0.9023],[0.1145],[0.4114],[0.9999],"[-7.2061,-7.7488]","[6.7509,9.0656]",147.99,633.27
22,algoQD,22,165/400,100,7,[0.902],[0.1156],[0.4114],[0.9999],"[-7.2061,-7.7488]","[6.7509,9.0656]",148.83,633.63
23,algoQD,23,166/400,100,5,[0.903],[0.1152],[0.4114],[0.9999],"[-7.2061,-7.7488]","[6.7509,9.0656]",149.91,627.87
24,algoQD,24,171/400,100,13,[0.8992],[0.1226],[0.3651],[0.9999],"[-7.2061,-7.7488]","[6.7509,9.0656]",153.76,639.62
25,algoQD,25,175/400,100,16,[0.9016],[0.1184],[0.4114],[0.9999],"[-7.2061,-8.2479]","[6.7509,9.0656]",157.78,633.88
26,algoQD,26,178/400,100,10,[0.9033],[0.1151],[0.4114],[0.9999],"[-7.2061,-8.2479]","[6.7509,9.0656]",160.79,636.06
27,algoQD,27,179/400,100,8,[0.905],[0.1146],[0.4114],[0.9999],"[-7.2061,-8.2479]","[6.7509,9.0656]",162.00,641.41
28,algoQD,28,180/400,100,7,[0.9076],[0.1117],[0.4114],[0.9999],"[-7.2061,-8.7711]","[6.7509,9.0656]",163.36,629.99
29,algoQD,29,186/400,100,10,[0.9037],[0.1172],[0.4114],[0.9999],"[-7.2061,-8.7711]","[6.7509,9.0656]",168.09,627.20
30,algoQD,30,189/400,100,11,[0.9041],[0.1183],[0.4114],[0.9999],"[-7.2061,-8.7711]","[6.7509,9.0656]",170.87,634.34
31,algoQD,31,193/400,100,11,[0.9019],[0.1216],[0.4114],[0.9999],"[-7.2061,-8.7711]","[6.7509,9.5784]",174.06,634.93
32,algoQD,32,198/400,100,15,[0.8993],[0.1263],[0.3798],[0.9999],"[-7.2061,-9.9824]","[6.7509,9.5784]",178.06,631.79
33,algoQD,33,201/400,100,11,[0.9004],[0.126],[0.3798],[0.9999],"[-7.2061,-9.9824]","[6.7509,9.5784]",180.98,639.43
34,algoQD,34,204/400,100,11,[0.9009],[0.1267],[0.3798],[1.],"[-7.2061,-9.9824]","[6.7509,9.5784]",183.78,624.58
35,algoQD,35,205/400,100,10,[0.9055],[0.1249],[0.3798],[1.],"[-7.2061,-9.9824]","[6.7509,9.5784]",185.62,631.95
36,algoQD,36,211/400,100,14,[0.9018],[0.1293],[0.3485],[1.],"[-7.4042,-9.9824]","[6.7509,9.5784]",190.28,629.87
