,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],[],[],[],[],[],[],"[(-9.166448, 0.33665657)]","[(-9.008505, 1.3724253)]",[],[],[],[],[],[],[],[]
1,[],[],[],[],[],[],[],"[(-8.1362705, -2.1241713)]","[(-8.726773, -1.7987401)]","[(-8.292344, -0.1609504)]","[(-8.808359, 0.44929528)]","[(-8.971685, 1.1403596)]","[(-8.657389, 2.0068824)]",[],[],[],[],[],[],[]
2,[],[],[],[],[],[],"[(-7.0922337, -3.3307047)]","[(-7.305893, -2.5068824)]","[(-7.640435, -1.5440396)]","[(-7.273882, -0.19997527)]","[(-7.8817663, 0.04879333)]","[(-7.091825, 1.444666)]","[(-7.7370834, 2.855237)]",[],[],[],[],[],[],[]
3,[],[],[],[],"[(-6.5332165, -5.191109)]","[(-6.489454, -4.5942016)]","[(-6.5386, -3.4775634)]","[(-6.4598246, -2.307229)]","[(-6.093206, -1.6018419)]","[(-6.862837, -0.80087966)]","[(-6.7781644, 0.35584626)]","[(-6.497493, 1.2693897)]","[(-6.3138237, 2.6081526)]","[(-6.293227, 3.2216847)]","[(-6.4102683, 4.22452)]",[],[],[],[],[]
4,[],[],[],[],"[(-5.9334435, -5.278124)]","[(-5.8154893, -4.2489257)]","[(-5.301859, -3.3681357)]","[(-5.779772, -2.7478697)]","[(-5.151262, -1.5222137)]","[(-5.3171697, -0.7093058)]","[(-5.620343, 0.6852273)]","[(-5.731414, 1.5604112)]","[(-5.1779733, 2.022781)]","[(-5.967331, 3.229727)]","[(-5.538086, 4.2547126)]","[(-5.2987733, 5.8761683)]",[],[],[],[]
5,[],[],[],[],"[(-4.325547, -5.40322)]","[(-4.782126, -4.0765986)]","[(-4.11591, -3.7326226)]","[(-4.124988, -2.4119778)]","[(-4.2339263, -1.6772403)]","[(-4.334708, -0.6913167)]","[(-4.3815002, 0.64327264)]","[(-4.4562383, 1.0643777)]","[(-4.5509553, 2.5425062)]","[(-4.2108884, 3.2133408)]","[(-4.540073, 4.702508)]","[(-4.837607, 5.2849975)]",[],[],[],[]
6,[],[],[],"[(-3.1769607, -6.1161213)]","[(-3.3246205, -5.525274)]","[(-3.0126555, -4.640801)]","[(-3.065208, -3.974629)]","[(-3.691377, -2.8732285)]","[(-3.218944, -1.2742419)]","[(-3.379109, -0.008383054)]","[(-3.8513706, 0.39846715)]","[(-3.0434802, 1.2835944)]","[(-3.0131748, 2.0147617)]","[(-3.4767902, 3.847302)]","[(-3.147665, 4.0709915)]","[(-3.6391785, 5.3979506)]","[(-3.1717956, 6.908587)]",[],[],[]
7,[],[],"[(-2.3167827, -7.0188885)]","[(-2.2335117, -6.548667)]","[(-2.6865177, -5.316559)]","[(-2.702394, -4.1585093)]","[(-2.126588, -3.6769967)]","[(-2.8272536, -2.9891853)]","[(-2.3447666, -1.3835351)]","[(-2.5806448, -0.4070294)]","[(-2.8926516, 0.5357096)]","[(-2.8604279, 1.4777049)]","[(-2.6028006, 2.606022)]","[(-2.068189, 3.028622)]","[(-2.147843, 4.4807177)]","[(-2.0167463, 5.5081515)]","[(-2.7662446, 6.791705)]","[(-2.8787527, 7.3771443)]",[],[]
8,[],"[(-1.0072541, -8.351885)]",[],"[(-1.0564533, -6.78102)]","[(-1.5062429, -5.6606092)]","[(-1.4649285, -4.250413)]","[(-1.4479078, -3.069564)]","[(-1.3732506, -2.2878292)]","[(-1.5737498, -1.6643776)]","[(-1.1425549, -0.9156337)]","[(-1.018967, 0.89449096)]","[(-1.1344708, 1.3946859)]","[(-1.4512758, 2.3029513)]","[(-1.2736992, 3.441217)]","[(-1.5383873, 4.0873337)]","[(-1.3646137, 5.0091643)]","[(-1.311159, 6.6727314)]","[(-1.2535284, 7.957748)]",[],[]
9,[],[],"[(-0.8114147, -7.8950176)]","[(-0.4108541, -6.071889)]","[(-0.39056134, -5.16197)]","[(-0.20644706, -4.4742184)]","[(-0.92490757, -3.7658017)]","[(-0.27680653, -2.1482897)]","[(-0.33115768, -1.0191464)]","[(-0.384394, -0.3618011)]","[(-0.1679393, 0.048624925)]","[(-0.79875964, 1.3854285)]","[(-0.65454, 2.052258)]","[(-0.14498319, 3.5982745)]","[(-0.58755547, 4.2421465)]","[(-0.18384029, 5.178258)]","[(-0.44552475, 6.035201)]",[],[],[]
10,[],"[(0.7469525, -8.218579)]","[(0.14128675, -7.5088553)]","[(0.61144453, -6.3040075)]","[(0.18059555, -5.62871)]","[(0.8360508, -4.2564154)]","[(0.69002885, -3.3842883)]","[(0.49298987, -2.8385859)]","[(0.9552795, -1.0068344)]","[(0.46939567, -0.17431949)]","[(0.33690807, 0.19883588)]","[(0.47916958, 1.0090544)]","[(0.346545, 2.8910222)]","[(0.46547323, 3.821743)]","[(0.51170284, 4.326054)]","[(0.24936955, 5.843109)]","[(0.7334745, 6.6384535)]",[],[],[]
11,[],[],"[(1.0886148, -7.944676)]","[(1.9665554, -6.9993157)]","[(1.734979, -5.039112)]","[(1.6439348, -4.0919)]","[(1.8199973, -3.6920383)]","[(1.3307598, -2.1777585)]","[(1.5728554, -1.0028714)]","[(1.4764266, -0.77980644)]","[(1.2622508, 0.35285076)]","[(1.4444762, 1.882868)]","[(1.4541456, 2.4667716)]","[(1.7584705, 3.2854354)]","[(1.2450105, 4.993933)]","[(1.1960406, 5.7950134)]","[(1.048139, 6.1897535)]","[(1.9811975, 7.183853)]",[],[]
12,[],"[(2.156673, -8.285887)]","[(2.424692, -7.4685035)]","[(2.503364, -6.6045995)]","[(2.140565, -5.9057403)]","[(2.9468122, -4.1937985)]","[(2.3010173, -3.2160268)]","[(2.661571, -2.864365)]","[(2.3693526, -1.0390248)]","[(2.7139442, -0.32582507)]","[(2.7838929, 0.19934101)]","[(2.6022418, 1.0167296)]","[(2.1522782, 2.1673422)]","[(2.5155716, 3.3792086)]","[(2.5132701, 4.0891013)]","[(2.8820539, 5.180057)]","[(2.9827595, 6.5684624)]","[(2.8721633, 7.1190424)]","[(2.5274765, 8.159172)]",[]
13,[],[],"[(3.9425266, -7.202502)]","[(3.339505, -6.5648937)]","[(3.0711591, -5.974151)]","[(3.3405335, -4.320165)]","[(3.7042716, -3.2390907)]","[(3.1610293, -2.3068466)]","[(3.8244736, -1.1196512)]","[(3.5699875, -0.42623305)]","[(3.3507135, 0.44741675)]","[(3.7783873, 1.929143)]","[(3.1633368, 2.377769)]","[(3.2036746, 3.199084)]","[(3.1667504, 4.7067137)]","[(3.8222783, 5.4009085)]","[(3.7007706, 6.3648744)]","[(3.023257, 7.172919)]","[(3.7741385, 8.489799)]",[]
14,[],[],"[(4.158316, -7.603535)]","[(4.2714505, -6.0121064)]","[(4.6464486, -5.2284737)]","[(4.8221383, -4.074489)]","[(4.5712686, -3.2882857)]","[(4.181776, -2.1380792)]","[(4.4839625, -1.0775759)]","[(4.6889334, -0.31116697)]","[(4.7723637, 0.58900905)]","[(4.8132534, 1.7461927)]","[(4.4297066, 2.8828685)]","[(4.7344403, 3.8823268)]","[(4.9900775, 4.985147)]","[(4.9003487, 5.0010166)]","[(4.21199, 6.275775)]","[(4.0799737, 7.7833233)]",[],[]
15,[],"[(5.0338807, -8.348568)]","[(5.959588, -7.402741)]","[(5.3881226, -6.271464)]",[],"[(5.9869084, -4.2530146)]","[(5.654917, -3.215962)]","[(5.153943, -2.0950468)]","[(5.1869974, -1.0655549)]","[(5.0489902, -0.62763375)]","[(5.5722084, 0.6745973)]","[(5.326361, 1.780389)]","[(5.7679915, 2.908767)]","[(5.634484, 3.0400095)]","[(5.866452, 4.276483)]","[(5.360563, 5.0858374)]","[(5.839643, 6.886972)]","[(5.151701, 7.052383)]",[],[]
