,0
0,60
1,88
2,94
3,96
4,101
5,119
6,139
7,159
8,162
9,164
10,182
11,193
12,209
13,214
14,260
15,284
16,293
17,299
18,321
19,335
20,350
21,351
22,357
23,373
24,375
25,378
26,382
27,391
28,398
29,404
30,410
31,411
32,417
33,421
34,426
35,438
36,440
37,447
38,465
39,471
40,477
41,479
42,480
43,484
44,486
45,490
46,501
47,502
48,505
49,507
50,509
51,510
52,513
53,515
54,516
55,521
56,523
57,530
58,536
59,539
60,555
61,557
62,562
63,569
64,570
65,572
66,574
67,583
68,587
69,589
70,590
71,591
72,594
73,597
74,598
75,599
76,601
77,608
78,610
79,611
80,616
81,617
82,618
83,619
84,621
85,624
86,626
87,628
88,632
89,634
90,635
91,645
92,647
93,650
94,652
95,653
96,654
97,657
98,659
99,662
100,664
101,665
102,669
103,670
104,672
105,676
106,678
107,680
108,683
109,685
110,689
111,690
112,694
113,696
114,697
115,698
116,699
117,704
118,710
119,711
120,715
121,716
122,718
123,721
124,724
125,726
126,727
127,728
128,730
129,731
130,732
131,733
132,734
133,736
134,737
135,739
136,740
137,741
138,742
139,745
140,747
141,751
142,752
143,754
144,755
145,757
146,759
147,762
148,764
149,766
150,769
151,770
152,772
153,775
154,776
155,777
156,778
157,781
158,788
159,789
160,791
161,793
162,794
163,795
164,796
165,799
166,801
167,802
168,803
169,804
170,805
171,806
172,807
173,810
174,811
175,812
176,814
177,815
178,817
179,818
180,819
181,820
182,821
183,825
184,827
185,830
186,831
187,832
188,833
189,834
190,835
191,838
192,839
193,840
194,841
195,842
196,843
197,844
198,845
199,846
200,848
201,849
202,851
203,852
204,854
205,856
206,857
207,858
208,859
209,860
210,861
211,862
212,863
213,864
214,865
215,866
216,867
217,868
218,869
219,872
220,874
221,876
222,877
223,878
224,879
225,881
226,882
227,883
228,886
229,887
230,888
231,889
232,890
233,891
234,892
235,893
236,894
237,895
238,896
239,897
240,898
241,899
242,900
243,901
244,902
245,903
246,904
247,905
248,906
249,907
250,908
251,909
252,910
253,911
254,912
255,913
256,914
257,915
258,916
259,917
260,918
261,920
262,921
263,922
264,923
265,924
266,925
267,926
268,927
269,928
270,929
271,930
272,931
273,932
274,933
275,934
