,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0
2,0,0,0,1,1,2,1,3,5,4,3,3,2,4,2,0,0,0,0,0
3,0,0,0,2,1,4,4,3,3,5,5,4,4,3,7,3,1,0,0,0
4,0,0,1,3,5,6,4,4,3,3,5,6,8,9,5,5,1,1,0,0
5,0,1,5,3,7,7,8,3,5,3,3,3,6,6,5,3,0,1,0,0
6,1,2,2,6,8,5,4,4,6,4,7,3,6,4,6,3,4,0,0,0
7,0,3,3,4,4,3,3,4,5,8,5,9,4,4,3,3,2,0,0,0
8,0,1,5,3,6,6,4,4,3,4,5,7,8,5,4,4,1,1,0,0
9,0,2,3,4,5,8,4,7,7,7,7,6,5,3,5,2,2,1,0,0
10,0,3,4,2,4,2,5,4,10,6,7,2,7,6,5,4,3,1,0,0
11,0,3,4,5,5,3,4,6,8,5,7,2,5,5,1,2,1,0,0,0
12,0,2,6,4,5,5,3,9,5,5,3,6,3,4,10,8,2,0,0,0
13,0,1,3,3,7,6,7,3,2,5,5,7,5,4,4,4,2,0,0,0
14,0,0,1,2,6,3,6,6,4,3,2,1,8,2,5,4,1,0,0,0
15,0,0,0,2,3,3,2,2,4,7,3,3,5,2,1,1,0,0,0,0
16,0,0,0,0,1,3,2,1,5,4,6,3,4,2,0,0,0,0,0,0
17,0,0,0,0,0,0,1,2,2,3,3,2,3,1,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
