,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,[],[],[],[],[],[],[],[],"[(-6.3469205, -1.4494283)]","[(-6.4915943, -0.41874358)]",[],[],[],[],[],[],[],[],[],[]
4,[],[],[],[],[],[],[],"[(-5.882376, -2.7794046)]","[(-5.1643195, -1.5634614)]","[(-5.876096, -0.44127193)]","[(-5.9412575, 0.43431678)]","[(-5.1713314, 1.4697622)]",[],[],"[(-5.3890443, 4.253624)]",[],[],[],[],[]
5,[],[],[],[],[],[],"[(-4.9148827, -3.4353752)]","[(-4.702879, -2.1600823)]","[(-4.945354, -1.6472939)]","[(-4.5965676, -0.6909254)]","[(-4.8826404, 0.53361994)]","[(-4.3931623, 1.8421731)]","[(-4.0306907, 2.8793721)]","[(-4.8233767, 3.2481267)]",[],[],[],[],[],[]
6,[],[],[],[],"[(-3.1786857, -5.553529)]","[(-3.7930908, -4.064122)]","[(-3.0281792, -3.3982322)]","[(-3.2182314, -2.1923985)]","[(-3.0707037, -1.1133225)]","[(-3.1003408, -0.68341905)]","[(-3.3097172, 0.89130026)]","[(-3.7332566, 1.157392)]","[(-3.3594973, 2.0745535)]","[(-3.4398637, 3.0315623)]","[(-3.5434809, 4.1947494)]",[],[],[],[],[]
7,[],[],[],[],"[(-2.1809475, -5.956427)]","[(-2.2529469, -4.8141394)]","[(-2.2378354, -3.0097647)]","[(-2.984762, -2.7606626)]","[(-2.4656787, -1.1349962)]","[(-2.1213708, -0.45145756)]","[(-2.552986, 0.19171417)]","[(-2.3272727, 1.6803979)]","[(-2.473257, 2.1054964)]","[(-2.1551378, 3.959468)]","[(-2.075937, 4.146026)]","[(-2.398488, 5.7765236)]",[],[],[],[]
8,[],[],[],[],"[(-1.1896591, -5.101304)]","[(-1.8628875, -4.1992884)]","[(-1.0224736, -3.399146)]","[(-1.2421691, -2.960281)]","[(-1.0870022, -1.5092303)]","[(-1.4442067, -0.30699518)]","[(-1.3210588, 0.37662816)]","[(-1.1883755, 1.7468315)]","[(-1.0535474, 2.0104766)]","[(-1.3056152, 3.494434)]","[(-1.5042034, 4.1599135)]",[],[],[],[],[]
9,[],[],[],[],"[(-0.61765176, -5.432337)]","[(-0.6859582, -4.3900027)]","[(-0.7198157, -3.8246205)]","[(-0.1123446, -2.3840234)]","[(-0.06749031, -1.6170516)]","[(-0.79966706, -0.70553255)]","[(-0.5156602, 0.9294857)]","[(-0.19327502, 1.0911454)]","[(-0.97411853, 2.85999)]","[(-0.894219, 3.4480848)]","[(-0.5690496, 4.5914083)]",[],[],[],[],[]
10,[],[],[],[],"[(0.3411913, -5.449158)]","[(0.028879367, -4.1686926)]","[(0.6739771, -3.6343653)]","[(0.7604741, -2.7980552)]","[(0.4862467, -1.8277245)]","[(0.039747443, -0.10531316)]","[(0.040723056, 0.77436924)]","[(0.89063233, 1.0786886)]","[(0.55350876, 2.7468817)]","[(0.17480221, 3.6303353)]","[(0.4938385, 4.362627)]",[],[],[],[],[]
11,[],[],[],[],"[(1.8781065, -5.2459736)]","[(1.749683, -4.3668237)]","[(1.6874614, -3.402224)]","[(1.2872008, -2.191151)]","[(1.443673, -1.2349435)]","[(1.1242808, -0.44127956)]","[(1.0598963, 0.8199392)]","[(1.252093, 1.3678098)]","[(1.508279, 2.0458314)]","[(1.0975058, 3.528204)]","[(1.1778574, 4.131107)]",[],[],[],[],[]
12,[],[],[],[],"[(2.0092413, -5.0935774)]","[(2.6177785, -4.159032)]","[(2.007447, -3.100173)]","[(2.4774141, -2.8355458)]","[(2.014873, -1.1011755)]","[(2.0109499, -0.30098075)]","[(2.5445404, 0.8281803)]","[(2.1925619, 1.7635176)]","[(2.181611, 2.2201502)]","[(2.9785483, 3.1552703)]","[(2.4626398, 4.109395)]",[],[],[],[],[]
13,[],[],[],[],[],"[(3.281783, -4.9083896)]","[(3.218451, -3.7327695)]","[(3.4043238, -2.4006906)]","[(3.0851545, -1.576414)]","[(3.9329107, -0.12592056)]","[(3.16396, 0.49922544)]","[(3.7448745, 1.0711731)]","[(3.08006, 2.1962197)]","[(3.0739038, 3.3197632)]","[(3.0687685, 4.3967104)]",[],[],[],[],[]
14,[],[],[],[],[],[],"[(4.101369, -3.720964)]","[(4.0084243, -2.1669905)]","[(4.3698936, -1.8131055)]","[(4.302189, -0.14341357)]","[(4.529228, 0.8321459)]","[(4.9004145, 1.1057516)]","[(4.5756817, 2.9393396)]","[(4.6869626, 3.1223605)]",[],[],[],[],[],[]
15,[],[],[],[],[],[],[],"[(5.448075, -2.0831587)]","[(5.8186197, -1.1726807)]","[(5.161178, -0.21758646)]","[(5.3515577, 0.034664504)]",[],[],[],[],[],[],[],[],[]
16,[],[],[],[],[],[],[],[],[],[],[],"[(6.235941, 1.1172857)]",[],[],[],[],[],[],[],[]
17,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
19,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
