,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,2,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0
5,0,0,0,1,1,2,3,2,4,2,3,1,0,0,0,0,0,0,0,0
6,0,1,2,2,2,2,5,3,2,2,4,2,2,2,0,0,0,0,0,0
7,0,0,3,2,5,6,4,7,8,6,6,1,4,1,2,0,1,0,0,0
8,0,2,2,5,5,6,6,7,10,7,3,3,7,4,3,2,0,0,0,0
9,0,1,3,4,5,3,5,5,6,10,5,2,5,5,3,1,0,0,0,0
10,0,1,3,5,5,2,4,4,7,10,5,11,3,4,1,1,0,0,0,0
11,0,1,1,5,3,1,4,6,4,6,3,6,5,5,1,0,0,0,0,0
12,0,1,1,2,3,2,5,3,2,8,3,2,4,2,1,0,0,0,0,0
13,0,1,1,2,2,2,4,6,3,5,3,1,2,2,1,0,0,0,0,0
14,0,0,0,2,2,1,1,3,3,3,5,3,1,1,0,0,0,0,0,0
15,0,0,0,0,0,0,1,1,2,4,1,2,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
