,0
0,54
1,76
2,85
3,167
4,180
5,194
6,197
7,198
8,199
9,201
10,203
11,205
12,206
13,208
14,222
15,223
16,228
17,231
18,232
19,233
20,243
21,246
22,248
23,251
24,253
25,258
26,260
27,262
28,263
29,265
30,269
31,271
32,272
33,280
34,286
35,287
36,288
37,292
38,293
39,294
40,298
41,299
42,300
43,302
44,304
45,308
46,309
47,310
48,313
49,315
50,316
51,319
52,320
53,323
54,324
55,325
56,326
57,328
58,330
59,332
60,336
61,337
62,341
63,342
64,343
65,344
66,346
67,347
68,348
69,350
70,352
71,353
72,354
73,355
74,357
75,359
76,360
77,361
78,362
79,363
80,364
81,366
82,367
83,368
84,371
85,372
86,373
87,374
88,375
89,377
90,378
91,379
92,381
93,383
94,384
95,385
96,386
97,387
98,388
99,389
100,390
101,392
102,394
103,395
104,396
105,397
106,398
107,399
108,400
109,401
110,402
111,403
