,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,23/400,100,40,[0.8466],[0.1964],[0.3182],[0.9997],"[-1.6248,-3.0610]","[3.2620,2.2712]",19.47,912.95
1,algoQD,1,31/400,100,17,[0.8839],[0.1431],[0.4269],[0.9999],"[-2.3313,-3.0610]","[3.2620,2.8337]",27.40,462.27
2,algoQD,2,34/400,100,8,[0.8859],[0.1471],[0.4269],[0.9999],"[-2.8718,-3.9006]","[3.2620,3.1420]",30.12,455.08
3,algoQD,3,38/400,100,6,[0.8775],[0.1553],[0.4269],[0.9999],"[-2.8718,-3.9006]","[3.2620,3.1420]",33.34,451.37
4,algoQD,4,43/400,100,12,[0.8725],[0.1683],[0.3493],[0.9999],"[-3.4806,-4.1943]","[4.2341,3.1420]",37.52,454.63
5,algoQD,5,48/400,100,13,[0.8631],[0.1933],[0.3396],[0.9999],"[-4.4329,-4.1943]","[4.2341,3.1577]",41.43,455.91
6,algoQD,6,54/400,100,15,[0.8562],[0.1853],[0.3396],[0.9999],"[-4.4329,-4.1943]","[4.2341,3.3250]",46.23,455.72
7,algoQD,7,57/400,100,8,[0.8404],[0.2134],[0.2138],[0.9999],"[-4.4329,-4.1943]","[4.2341,3.5713]",47.90,454.61
8,algoQD,8,58/400,100,6,[0.8482],[0.2115],[0.2138],[0.9999],"[-4.4329,-4.1943]","[4.2341,3.5713]",49.20,452.33
9,algoQD,9,58/400,100,7,[0.8677],[0.1887],[0.2138],[0.9999],"[-4.4329,-4.1943]","[4.2341,3.5713]",50.33,459.91
10,algoQD,10,61/400,100,9,[0.8639],[0.1861],[0.2138],[0.9999],"[-4.4329,-4.1943]","[4.2341,3.5713]",52.70,458.96
11,algoQD,11,64/400,100,9,[0.8628],[0.1853],[0.2138],[0.9999],"[-4.4329,-5.7627]","[4.2755,3.5713]",55.22,459.04
12,algoQD,12,66/400,100,7,[0.861],[0.1837],[0.2138],[0.9999],"[-4.4329,-5.7627]","[5.7806,3.5713]",56.82,457.63
13,algoQD,13,67/400,100,4,[0.8642],[0.1821],[0.2138],[0.9999],"[-4.4329,-5.7627]","[5.7806,3.7188]",57.90,457.71
14,algoQD,14,68/400,100,7,[0.8658],[0.1815],[0.2138],[0.9999],"[-4.4329,-5.7627]","[5.7806,3.7188]",58.88,456.52
15,algoQD,15,72/400,100,11,[0.8598],[0.1874],[0.2138],[0.9999],"[-4.4329,-5.7627]","[5.7806,3.7188]",61.91,456.00
16,algoQD,16,73/400,100,6,[0.863],[0.1867],[0.2138],[0.9999],"[-4.4329,-5.7627]","[5.7806,3.7188]",63.00,456.09
17,algoQD,17,74/400,100,9,[0.8705],[0.1745],[0.3396],[0.9999],"[-4.4329,-5.7627]","[5.7806,3.7188]",64.41,457.90
18,algoQD,18,74/400,100,1,[0.8727],[0.1736],[0.3396],[0.9999],"[-4.4329,-5.7627]","[5.7806,3.7188]",64.58,463.23
19,algoQD,19,77/400,100,8,[0.87],[0.1767],[0.3396],[0.9999],"[-4.4329,-5.7627]","[5.7806,4.4985]",66.99,461.69
20,algoQD,20,79/400,100,3,[0.8572],[0.1922],[0.2816],[0.9999],"[-5.1353,-5.7627]","[5.7806,4.4985]",67.72,459.10
21,algoQD,21,84/400,100,8,[0.8516],[0.1924],[0.2816],[0.9999],"[-5.1353,-5.8924]","[5.7806,4.4985]",71.53,464.10
22,algoQD,22,84/400,100,3,[0.8523],[0.1927],[0.2816],[0.9999],"[-5.1353,-5.8924]","[5.7806,4.4985]",71.60,453.59
23,algoQD,23,86/400,100,5,[0.8537],[0.1871],[0.2816],[0.9999],"[-5.1353,-5.8924]","[5.7806,4.4985]",73.42,454.11
24,algoQD,24,87/400,100,5,[0.852],[0.1946],[0.2816],[0.9999],"[-5.1353,-5.8924]","[5.7806,4.5940]",74.12,457.35
25,algoQD,25,87/400,100,4,[0.8537],[0.1915],[0.2816],[0.9999],"[-5.1353,-5.8924]","[5.7806,4.5940]",74.27,456.34
26,algoQD,26,88/400,100,6,[0.8525],[0.1942],[0.2816],[1.],"[-5.1353,-5.8924]","[5.7806,4.5940]",75.02,467.62
27,algoQD,27,90/400,100,4,[0.8516],[0.193],[0.2816],[1.],"[-5.1353,-5.8924]","[5.7806,4.5940]",76.64,468.49
28,algoQD,28,92/400,100,3,[0.8479],[0.1937],[0.2816],[1.],"[-5.1353,-5.8924]","[5.7806,4.5940]",78.01,462.47
29,algoQD,29,94/400,100,6,[0.8475],[0.1919],[0.2816],[1.],"[-5.1353,-6.1116]","[5.7806,4.5940]",79.67,461.57
30,algoQD,30,98/400,100,9,[0.8432],[0.1982],[0.2636],[1.],"[-5.1353,-6.1116]","[5.7806,4.9646]",82.63,464.50
31,algoQD,31,99/400,100,4,[0.8404],[0.2018],[0.2636],[1.],"[-5.1353,-6.1116]","[5.7806,4.9646]",83.20,460.00
32,algoQD,32,100/400,100,5,[0.8367],[0.2102],[0.1966],[1.],"[-5.1353,-6.1116]","[5.7806,4.9646]",83.67,465.53
33,algoQD,33,100/400,100,7,[0.8403],[0.2078],[0.1966],[1.],"[-5.1353,-6.1116]","[5.7806,4.9646]",84.03,457.41
34,algoQD,34,100/400,100,3,[0.8413],[0.2077],[0.1966],[1.],"[-5.1353,-6.1116]","[5.7806,4.9646]",84.13,455.34
35,algoQD,35,102/400,100,5,[0.8331],[0.2229],[0.1915],[1.],"[-5.1353,-6.1116]","[5.7806,4.9646]",84.97,457.40
