,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,"(0.6674907684326172,)",,,,,,,,,,
2,,,,,,,,"(0.8509720060560438,)","(0.9713100009494358,)",,,,,,,,,,,
3,,,,,,"(0.9460211541917589,)","(0.9085082901848687,)","(0.9684904628329807,)","(0.9974634039733145,)","(0.8281704372829861,)","(0.680733405219184,)","(0.6731195449829102,)",,,,,,,,
4,,,,,"(0.4757886250813802,)","(0.822233051723904,)","(0.9476286729176839,)","(0.9736345953411526,)","(0.9457916524675157,)","(0.9249951309627957,)","(0.9098472171359592,)","(0.9489066229926215,)","(0.615575451321072,)",,,,,,,
5,,,,,"(0.8717897203233507,)","(0.9469642321268718,)","(0.9739358266194661,)","(0.9976854864093992,)","(0.9837430331442091,)","(0.9941530307133992,)","(0.8321411556667752,)","(0.962555800543891,)","(0.5487882402208116,)",,,,,,,
6,,,,,"(0.9628174596362644,)","(0.9002198325263129,)","(0.8569137255350748,)","(0.9979830900828044,)","(0.9722368240356445,)","(0.9966231365998586,)","(0.9966826438903809,)","(0.9870992554558649,)","(0.8640492757161458,)",,,,,,,
7,,,,"(0.7762080298529731,)",,"(0.9697206179300945,)","(0.9730853901969062,)","(0.9726031197441949,)","(0.9983760621812608,)","(0.9965198304918077,)","(0.9947708156373766,)","(0.998983595189121,)","(0.9907028006182776,)","(0.9772346920437283,)","(0.9504874335394965,)",,,,,
8,,,,,,"(0.9880264706081814,)","(0.9894973384009467,)","(0.9980876298414336,)","(0.9908242503801982,)","(0.9982745859358045,)","(0.9999984264373779,)","(0.9997543278667662,)","(0.9986779565612475,)","(0.8807418611314561,)",,,,,,
9,,,,,"(0.5893694559733073,)","(0.9971391065253152,)","(0.9952741503715515,)","(0.9978034575780232,)","(0.9997466202411387,)","(0.9999138726128473,)","(0.9996856376942661,)","(0.9965757138199276,)","(0.9974750796953837,)","(0.9865102661980523,)","(0.7179720136854384,)",,,"(0.2774575975206163,)",,
10,,,,,"(0.9902082443237304,)","(0.9812318854861789,)","(0.998532376686732,)","(0.9959348956743876,)","(0.9990499435199631,)","(0.9999485204617182,)","(0.9996755980783039,)","(0.9997527440388997,)","(0.9989242480860816,)","(0.9996911370091968,)","(0.9881673614184062,)","(0.28599039713541663,)","(0.2998956468370225,)",,,
11,,,,,,"(0.9661486201816135,)","(0.9874204423692491,)","(0.9853872179985046,)","(0.9997766388787164,)","(0.9984064102172852,)","(0.9982066267066532,)","(0.997879891925388,)","(0.9951219608386358,)","(0.9884573777516683,)","(0.9854412357012431,)","(0.5117457071940104,)",,,"(0.41559202406141493,)",
12,,,"(0.9968255360921224,)",,,"(0.8175232145521376,)","(0.9019497341579861,)","(0.9634353107876248,)","(0.9976647694905599,)","(0.9985198709699843,)","(0.9988000565105014,)","(0.9991798414124383,)","(0.9983893235524496,)","(0.9876540144284566,)","(0.9583657874001397,)","(0.6260776943630642,)","(0.4902043236626519,)","(0.5082678053114149,)",,
13,,,,,"(0.8870692359076606,)","(0.6172087351481119,)","(0.7390558878580729,)","(0.9457903332180447,)","(0.9944357838895586,)","(0.9942791309621599,)","(0.997259431415134,)","(0.9995994673834907,)","(0.9926365958319769,)","(0.9874113016658359,)","(0.8194335089789496,)","(0.7642236921522352,)","(0.6769280751546224,)",,,
14,,,,,"(0.7421717325846354,)",,"(0.866510476006402,)","(0.9729102558559841,)","(0.996502364344067,)","(0.9982287724812825,)","(0.9985220935609606,)","(0.9997853739394083,)","(0.9986831406752269,)","(0.9437308417426216,)","(0.9953742841879527,)","(0.8591240141126845,)",,,,
15,,,,,,,"(0.662452655368381,)",,"(0.9834614197413126,)","(0.999818131658766,)","(0.9999193403455946,)","(0.9991736094156901,)","(0.9695346408420139,)","(0.9919197771284315,)","(0.8366146511501736,)","(0.6729740778605143,)","(0.7447010040283203,)",,,
16,,,,,,,,"(0.8443528705173069,)","(0.8422239727444119,)","(0.9712026410632664,)","(0.9946036338806152,)","(0.9712156613667806,)","(0.9952451063527001,)","(0.9604506916469998,)","(0.8136107126871744,)","(0.749213875664605,)",,,,
17,,,,,,,,"(0.865205266740587,)",,,"(0.9896643744574652,)","(0.9184034453497992,)","(0.9400177478790284,)",,,,,,,
18,,,,,,,,,,,"(0.9839176681306627,)",,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
