,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2,[],[],[],[],[],[],[],[],"[(-7.417292, -1.1279446)]","[(-7.0996847, -0.5031047)]",[],[],[],[],[],[],[],[],[],[]
3,[],[],[],[],[],[],[],[],"[(-6.1985865, -1.0034527)]","[(-6.379977, -0.07820153)]","[(-6.493971, 0.0492656)]","[(-6.6540446, 1.8459686)]","[(-6.1540956, 2.2783372)]",[],[],[],[],[],[],[]
4,[],[],[],"[(-5.0428123, -6.0080314)]","[(-5.983839, -5.8632975)]","[(-5.7028646, -4.71627)]","[(-5.047117, -3.2893794)]","[(-5.264816, -2.1594727)]","[(-5.4113183, -1.324385)]","[(-5.5475616, -0.68150955)]","[(-5.646852, 0.41158634)]","[(-5.086861, 1.2619698)]","[(-5.449288, 2.4641266)]","[(-5.1209693, 3.6630232)]","[(-5.2993464, 4.225206)]",[],[],[],[],[]
5,"[(-4.6397004, -9.056604)]","[(-4.221507, -8.108315)]",[],"[(-4.8337336, -6.6935396)]","[(-4.688582, -5.923151)]","[(-4.3378634, -4.9778347)]","[(-4.1509185, -3.557513)]","[(-4.5803647, -2.9804404)]","[(-4.249688, -1.1052873)]","[(-4.525034, -0.033459194)]","[(-4.2499666, 0.9486226)]","[(-4.401335, 1.7375804)]","[(-4.522005, 2.7003028)]","[(-4.2612247, 3.2546196)]","[(-4.1129537, 4.9008055)]","[(-4.9354334, 5.521721)]",[],[],[],[]
6,"[(-3.705844, -9.853082)]","[(-3.5607538, -8.323432)]","[(-3.2458541, -7.9179616)]","[(-3.905469, -6.9067535)]","[(-3.1608639, -5.466497)]","[(-3.1036227, -4.9700875)]","[(-3.025867, -3.809031)]","[(-3.2871366, -2.260441)]","[(-3.616526, -1.0433184)]","[(-3.6331716, -0.048310705)]","[(-3.8098981, 0.20216383)]","[(-3.3129716, 1.8872765)]","[(-3.185852, 2.9654496)]","[(-3.82953, 3.3171139)]","[(-3.2630436, 4.0216303)]","[(-3.019101, 5.547621)]",[],[],"[(-3.0344412, 8.226437)]",[]
7,"[(-2.9143865, -9.106843)]","[(-2.4154644, -8.318419)]","[(-2.115185, -7.1557884)]","[(-2.8948085, -6.0674477)]","[(-2.5104036, -5.3569436)]","[(-2.3619356, -4.8094716)]","[(-2.7565603, -3.4945786)]","[(-2.631914, -2.706749)]","[(-2.9730246, -1.6117352)]","[(-2.523858, -0.794313)]","[(-2.102018, 0.0666681)]","[(-2.2604246, 1.8702471)]","[(-2.120014, 2.3918216)]","[(-2.7467535, 3.2197359)]","[(-2.1699884, 4.9169517)]","[(-2.067716, 5.3347096)]",[],[],[],[]
8,[],"[(-1.3664684, -8.667628)]","[(-1.372391, -7.124525)]","[(-1.2885281, -6.555929)]","[(-1.1290716, -5.7559996)]","[(-1.0990578, -4.027813)]","[(-1.3363869, -3.4833202)]","[(-1.2990091, -2.384774)]","[(-1.2142497, -1.7775519)]","[(-1.2843782, -0.5094446)]","[(-1.8703749, 0.6232702)]","[(-1.8153199, 1.716446)]","[(-1.7840674, 2.2164407)]","[(-1.1519053, 3.081118)]","[(-1.8988608, 4.0402737)]","[(-1.4680977, 5.2765636)]",[],[],[],[]
9,"[(-0.8802178, -9.295166)]","[(-0.18896112, -8.435856)]","[(-0.57360363, -7.4358034)]","[(-0.21590474, -6.5431414)]","[(-0.99686754, -5.576829)]","[(-0.5777249, -4.2173777)]","[(-0.090446904, -3.3820484)]","[(-0.9943406, -2.321386)]","[(-0.35227278, -1.3308138)]","[(-0.7992251, -0.20166752)]","[(-0.3977057, 0.97428197)]","[(-0.417575, 1.4132339)]","[(-0.07006806, 2.4550424)]","[(-0.36586708, 3.0802352)]","[(-0.23960015, 4.552471)]","[(-0.16453627, 5.2565117)]",[],"[(-0.47901922, 7.118411)]",[],[]
