,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,"(0.5688871595594618,)","(0.7574960496690538,)",,,,,,,,,
3,,,,,,"(0.644416512383355,)",,,"(0.7443677478366428,)","(0.6009503682454427,)","(0.6548680199517144,)",,,,,,,,,
4,,,,,"(0.6918346193101671,)",,"(0.8968813472323948,)",,"(0.928330765830146,)","(0.7032398859659831,)","(0.6861911349826388,)","(0.94078614976671,)","(0.8977650324503581,)",,"(0.5939398023817274,)",,,,,
5,,,,,"(0.6380388047960069,)","(0.5327391306559245,)","(0.718507957458496,)","(0.906790722741021,)","(0.6716603173149956,)","(0.8865944544474283,)","(0.9714810477362739,)","(0.9653012408150567,)","(0.9907871458265517,)","(0.9979676564534505,)","(0.8242253621419271,)",,,,,
6,,,,"(0.930727153354221,)","(0.994871347811487,)","(0.953898917304145,)","(0.9909764389197032,)","(0.9352869033813477,)","(0.9923978719446395,)","(0.972743018468221,)","(0.9950049122174581,)","(0.9941376474168565,)","(0.997493659125434,)","(0.9955924365255567,)","(0.9946542527940538,)","(0.9301471339331733,)",,,,
7,,,,"(0.852087476518419,)","(0.9845153835084703,)","(0.9947201318211025,)","(0.9836987243758307,)","(0.9899429678916931,)","(0.9930494414435492,)","(0.9891192164685991,)","(0.9926442331737942,)","(0.9998700155152215,)","(0.9946386761135525,)","(0.9861276533868578,)","(0.9993856112162273,)",,,,,
8,,"(0.9296174102359348,)",,"(0.9895151045587328,)","(0.989578781525294,)","(0.9936148908403185,)","(0.9941816495524513,)","(0.9960738019810782,)","(0.9989412307739258,)","(0.9997976938883464,)","(0.9999487398399247,)","(0.9876483956972758,)","(0.9992484175496631,)","(0.9985275348027547,)","(0.9955622355143229,)","(0.8919673495822482,)","(0.759622679816352,)",,,
9,,,,"(0.926009390089247,)","(0.9932295362154643,)","(0.997956187526385,)","(0.9989861094289356,)","(0.9990174372990926,)","(0.999168994774421,)","(0.9996825006273058,)","(0.9996487895647684,)","(0.99990783267551,)","(0.9999089770846896,)","(0.9984419302807914,)","(0.996120289961497,)","(0.8041319953070747,)","(0.8899510065714518,)",,,
10,,,,,"(0.9720333099365235,)","(0.9914218988683489,)","(0.9970717516210345,)","(0.9966055406464471,)","(0.9992245694001516,)","(0.9996184296078152,)","(0.9999626310335266,)","(0.9996637788083819,)","(0.9985328515370687,)","(0.9993595176272922,)","(0.9761331187354194,)","(0.9264982329474555,)","(0.18104044596354163,)",,,
11,,,,,"(0.8787393781873915,)","(0.9685074700249566,)","(0.9901622109942966,)","(0.9991364161173503,)","(0.997816000216537,)","(0.9982809464136759,)","(0.9998698837227291,)","(0.9989083970586459,)","(0.9995611870868338,)","(0.9933805021974775,)","(0.9959012561374241,)","(0.987369774447547,)",,,,
12,,,,,"(0.8455442216661241,)","(0.9889687538146973,)","(0.9759206162558661,)","(0.9596364180246989,)","(0.9907607740826077,)","(0.9984872655736076,)","(0.9959012971984016,)","(0.995436363418897,)","(0.9975734646121661,)","(0.9997710333930121,)","(0.8824020597669813,)","(0.5772855970594618,)",,,,
13,,,,,,"(0.9545071283976236,)","(0.8481374210781522,)","(0.9780692206488715,)","(0.9649519046147664,)","(0.9989226447211371,)","(0.9967138085100385,)","(0.9963905334472656,)","(0.9802805423736572,)","(0.9527801619635687,)","(0.8228912353515625,)","(0.9386758380466037,)",,,,
14,,,,,,,"(0.6794098324245876,)","(0.9299017641279432,)","(0.9914225187566545,)","(0.9768556727303399,)","(0.9811808003319634,)","(0.9941520267062717,)","(0.99939300749037,)","(0.9895672354433271,)","(0.9534063339233398,)","(0.6603871663411458,)",,,,
15,,,,,,,,"(0.7586319817437066,)","(0.9748100572162204,)","(0.9939401666323344,)","(0.9799043377240498,)","(0.9328854507870145,)","(0.9728522698084513,)","(0.957803217569987,)",,,,,,
16,,,,,,,,,,,"(0.9794334371884664,)","(0.9898081660270691,)","(0.9545121510823568,)",,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
