,0
0,55
1,113
2,129
3,141
4,154
5,157
6,179
7,188
8,196
9,207
10,222
11,227
12,228
13,235
14,236
15,246
16,250
17,259
18,261
19,262
20,269
21,277
22,289
23,296
24,302
25,303
26,305
27,308
28,312
29,314
30,316
31,323
32,325
33,328
34,332
35,335
36,340
37,341
38,342
39,353
40,354
41,356
42,357
43,358
44,360
45,361
46,362
47,369
48,375
49,377
50,378
51,380
52,381
53,382
54,385
55,387
56,392
57,393
58,394
59,395
60,396
61,400
62,402
63,404
64,405
65,406
66,410
67,411
68,414
69,415
70,417
71,418
72,419
73,422
74,424
75,426
76,429
77,431
78,432
79,433
80,434
81,435
82,436
83,437
84,438
85,441
86,442
87,444
88,445
89,446
90,447
91,448
92,449
93,450
94,451
95,452
96,457
97,458
98,459
99,461
100,462
101,464
102,465
103,466
104,467
105,468
106,470
107,472
108,473
109,474
110,475
111,476
112,477
113,478
114,481
115,483
116,484
117,485
118,486
119,487
120,490
121,491
122,492
123,493
124,494
125,495
126,498
127,499
128,500
129,501
130,502
131,503
132,504
133,505
134,506
135,507
136,508
137,509
138,510
139,511
140,512
141,513
142,514
143,515
144,516
145,517
