,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,25/400,100,42,[0.8392],[0.1874],[0.0983],[0.999],"[-1.9672,-2.5861]","[3.0258,2.7057]",20.98,971.27
1,algoQD,1,30/400,100,20,[0.8997],[0.1048],[0.5646],[0.999],"[-2.7725,-2.7754]","[3.0258,2.7057]",26.99,498.21
2,algoQD,2,33/400,100,13,[0.8664],[0.2005],[0.0727],[0.999],"[-3.4952,-4.5468]","[3.5602,2.7057]",28.59,482.51
3,algoQD,3,41/400,100,21,[0.8497],[0.2137],[0.0727],[0.999],"[-3.4952,-4.5468]","[3.5602,3.2547]",34.84,522.02
4,algoQD,4,45/400,100,13,[0.8737],[0.1831],[0.0727],[0.9999],"[-3.7374,-4.5468]","[3.5602,3.2547]",39.32,522.30
5,algoQD,5,47/400,100,8,[0.8827],[0.1762],[0.0727],[0.9999],"[-3.7374,-4.5468]","[5.0442,3.2547]",41.49,513.77
6,algoQD,6,50/400,100,6,[0.882],[0.1715],[0.0727],[0.9999],"[-3.7374,-4.5468]","[5.0442,4.3588]",44.10,514.14
7,algoQD,7,50/400,100,6,[0.8881],[0.1722],[0.0727],[0.9999],"[-3.7374,-4.5468]","[5.0442,4.3588]",44.40,516.04
8,algoQD,8,51/400,100,5,[0.8931],[0.1704],[0.0727],[0.9999],"[-3.7374,-4.5468]","[5.0442,4.3588]",45.55,513.12
9,algoQD,9,56/400,100,11,[0.8834],[0.1771],[0.0727],[0.9999],"[-3.7374,-4.5468]","[5.0442,4.3588]",49.47,514.28
10,algoQD,10,57/400,100,8,[0.8897],[0.1732],[0.0727],[0.9999],"[-3.7572,-4.5468]","[5.0442,4.3588]",50.71,512.01
11,algoQD,11,60/400,100,9,[0.8708],[0.2014],[0.0727],[0.9999],"[-3.7572,-4.5468]","[5.0442,4.8451]",52.25,512.11
12,algoQD,12,61/400,100,6,[0.8955],[0.1552],[0.234],[0.9999],"[-3.7572,-4.6199]","[5.0442,4.8451]",54.63,516.67
13,algoQD,13,64/400,100,4,[0.901],[0.1453],[0.234],[0.9999],"[-3.7572,-4.6199]","[5.0442,4.8451]",57.67,515.15
14,algoQD,14,65/400,100,7,[0.9043],[0.1445],[0.234],[0.9999],"[-3.7374,-4.6199]","[5.0442,4.8451]",58.78,517.18
15,algoQD,15,67/400,100,5,[0.901],[0.1486],[0.234],[0.9999],"[-4.1230,-4.6578]","[5.0442,4.8451]",60.37,524.28
16,algoQD,16,68/400,100,4,[0.8951],[0.1577],[0.234],[0.9999],"[-4.1230,-4.6578]","[5.0442,4.8451]",60.87,511.97
17,algoQD,17,69/400,100,7,[0.8932],[0.1623],[0.234],[0.9999],"[-4.1230,-4.6578]","[5.0442,4.8451]",61.63,512.87
18,algoQD,18,70/400,100,5,[0.8997],[0.1605],[0.234],[0.9999],"[-4.1230,-4.6578]","[5.0442,4.8451]",62.98,509.69
19,algoQD,19,72/400,100,6,[0.9095],[0.1434],[0.234],[0.9999],"[-4.2510,-4.6578]","[5.0442,4.8451]",65.49,508.07
20,algoQD,20,74/400,100,9,[0.9143],[0.1208],[0.4393],[0.9999],"[-4.2510,-4.6578]","[5.0442,4.3588]",67.66,510.67
21,algoQD,21,75/400,100,4,[0.9158],[0.1193],[0.4393],[0.9999],"[-4.1230,-5.0440]","[5.0442,4.3588]",68.68,509.66
22,algoQD,22,76/400,100,8,[0.9183],[0.1182],[0.4393],[0.9999],"[-4.1230,-5.0440]","[5.0442,4.3588]",69.79,514.94
23,algoQD,23,78/400,100,3,[0.9149],[0.1223],[0.4393],[0.9999],"[-5.2541,-5.0440]","[5.0442,4.5325]",71.36,516.95
24,algoQD,24,78/400,100,6,[0.9158],[0.1222],[0.4393],[0.9999],"[-5.2541,-5.0440]","[5.0442,4.9625]",71.44,513.23
25,algoQD,25,79/400,100,3,[0.9155],[0.1216],[0.4393],[0.9999],"[-5.2541,-5.0440]","[5.0442,4.9625]",72.33,512.13
26,algoQD,26,80/400,100,6,[0.9221],[0.1157],[0.4393],[0.9999],"[-5.2541,-5.0440]","[5.0442,4.7801]",73.76,509.30
27,algoQD,27,82/400,100,5,[0.9176],[0.1263],[0.4393],[0.9999],"[-5.2541,-5.1986]","[5.0442,4.7801]",75.24,506.99
28,algoQD,28,82/400,100,8,[0.924],[0.1241],[0.4393],[0.9999],"[-5.2541,-5.1986]","[5.0442,4.7801]",75.77,520.43
29,algoQD,29,84/400,100,2,[0.9215],[0.1246],[0.4393],[0.9999],"[-5.2541,-5.7249]","[5.0442,4.7801]",77.41,512.36
30,algoQD,30,85/400,100,3,[0.9172],[0.1309],[0.4393],[0.9999],"[-5.2541,-5.7249]","[5.0442,5.2351]",77.96,508.03
31,algoQD,31,86/400,100,1,[0.9119],[0.1389],[0.4393],[0.9999],"[-5.2541,-5.7249]","[5.0442,5.2351]",78.43,512.61
32,algoQD,32,86/400,100,3,[0.9136],[0.1382],[0.4393],[0.9999],"[-5.2541,-5.7249]","[5.0442,5.2351]",78.57,513.29
33,algoQD,33,90/400,100,11,[0.9106],[0.1392],[0.4391],[0.9999],"[-5.2541,-5.7249]","[5.0442,6.0190]",81.95,508.70
34,algoQD,34,92/400,100,5,[0.9055],[0.1515],[0.3096],[0.9999],"[-5.2541,-5.7249]","[5.0442,6.0190]",83.30,520.99
35,algoQD,35,93/400,100,5,[0.9067],[0.1492],[0.3096],[0.9999],"[-5.2541,-5.1852]","[5.0442,6.0190]",84.32,512.07
36,algoQD,36,94/400,100,3,[0.9101],[0.146],[0.3096],[0.9999],"[-5.2541,-5.1852]","[5.0442,6.0190]",85.55,509.30
37,algoQD,37,94/400,100,2,[0.9109],[0.1463],[0.3096],[0.9999],"[-5.2541,-5.1852]","[5.0442,6.0190]",85.62,516.00
38,algoQD,38,94/400,100,4,[0.9118],[0.1465],[0.3096],[0.9999],"[-5.2541,-5.1852]","[5.0442,6.0190]",85.71,520.41
39,algoQD,39,95/400,100,4,[0.9106],[0.1466],[0.3096],[0.9999],"[-5.2541,-5.2681]","[5.0442,6.0190]",86.51,520.49
40,algoQD,40,96/400,100,1,[0.9079],[0.1482],[0.3096],[0.9999],"[-5.2541,-5.2681]","[5.0442,6.0190]",87.16,513.38
41,algoQD,41,98/400,100,7,[0.9126],[0.1426],[0.3096],[0.9999],"[-5.2541,-5.4106]","[5.0442,6.0190]",89.44,508.28
42,algoQD,42,98/400,100,3,[0.9147],[0.1427],[0.3096],[0.9999],"[-5.2541,-5.8213]","[5.0442,6.0190]",89.64,516.29
43,algoQD,43,100/400,100,4,[0.9119],[0.1457],[0.3096],[0.9999],"[-5.2541,-5.8213]","[5.0442,6.0190]",91.19,515.29
44,algoQD,44,101/400,100,2,[0.9115],[0.1423],[0.3096],[0.9999],"[-5.2541,-5.9240]","[5.0442,6.0190]",92.06,522.25
45,algoQD,45,105/400,100,7,[0.9159],[0.1311],[0.4391],[0.9999],"[-5.2541,-6.1204]","[5.0442,6.0190]",96.17,516.70
46,algoQD,46,106/400,100,5,[0.9176],[0.1351],[0.3166],[1.],"[-5.2541,-6.1204]","[5.0442,6.0190]",97.26,512.12
47,algoQD,47,107/400,100,8,[0.9201],[0.1321],[0.3166],[1.],"[-5.2541,-6.1204]","[5.0442,6.0190]",98.45,516.85
48,algoQD,48,108/400,100,6,[0.9213],[0.1314],[0.3166],[1.],"[-5.2541,-6.1204]","[5.0442,6.0190]",99.51,516.10
49,algoQD,49,110/400,100,7,[0.9214],[0.1326],[0.3166],[1.],"[-5.2541,-7.2032]","[5.0442,6.0190]",101.35,508.41
50,algoQD,50,111/400,100,1,[0.9183],[0.1358],[0.3166],[1.],"[-5.3847,-7.2032]","[5.0442,6.0190]",101.93,511.83
51,algoQD,51,111/400,100,1,[0.9186],[0.1358],[0.3166],[1.],"[-5.3847,-7.2032]","[5.0442,6.0190]",101.96,509.20
