,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,"(0.9043504820929633,)","(0.8725701226128473,)","(0.8436793645222982,)","(0.9631140232086182,)","(0.9452284071180556,)","(0.9990866303443908,)","(0.9601876126395331,)","(0.9820643305778504,)","(0.9922728525267707,)","(0.9483541064792209,)","(0.6741309271918403,)","(0.8923989507887098,)","(0.8152323616875543,)","(0.4432807074652777,)","(0.5085831960042317,)",,,,
1,,"(0.8693583170572916,)","(0.803773456149631,)","(0.9217523786756727,)","(0.8997929467095269,)","(0.9282753891415066,)","(0.9996267192893558,)","(0.9503915256924099,)","(0.9528985977172851,)","(0.949562750922309,)","(0.9913450823889838,)","(0.6835517459445529,)","(0.9564699490865072,)","(0.6718855963812934,)","(0.7505803638034396,)","(0.7834799660576715,)","(0.5546992831759983,)","(0.5273775312635633,)",,
2,,"(0.8247006098429361,)","(0.8082387076483832,)","(0.9853578011194865,)","(0.9648379378848606,)","(0.9910940090815227,)","(0.9913560622268253,)","(0.9419343524509006,)","(0.9791644096374512,)","(0.9855913241704305,)","(0.9952636857827505,)","(0.9547364764743381,)","(0.9613743702570597,)","(0.9776706271701389,)","(0.8550295088026258,)","(0.8142214881049262,)","(0.6219468010796441,)",,,
3,"(0.8355122460259332,)","(0.6326100243462456,)","(0.8348093668619792,)","(0.7874856736924913,)","(0.9681899547576904,)","(0.9847378015518189,)","(0.9580017937554254,)","(0.9515333281622993,)","(0.9622113837136163,)","(0.9993135346306695,)","(0.9887262980143229,)","(0.9486326747470432,)","(0.9491175174713135,)","(0.9576890521579319,)","(0.998635286755032,)","(0.9606587886810303,)","(0.8739723417494032,)","(0.5925004747178819,)","(0.3347403208414713,)",
4,,"(0.6049050649007162,)","(0.7168045043945312,)","(0.9428892771402995,)","(0.9402237998114692,)","(0.8752548853556315,)","(0.9938500821590424,)","(0.9790872600343492,)","(0.9868428548177083,)","(0.9887950367397732,)","(0.9847896244790819,)","(0.958920250998603,)","(0.985196918911404,)","(0.9904785460895962,)","(0.9805698818630643,)","(0.9002815352545844,)","(0.9856494824091594,)","(0.9994626051849789,)",,
5,"(0.7757230970594617,)","(0.7542431301540798,)","(0.6875486585828994,)","(0.9913357708189222,)","(0.9431345833672418,)","(0.999949635606673,)","(0.9969561629825168,)","(0.993221112092336,)","(0.9829139497545031,)","(0.9824764198727078,)","(0.9989239692687988,)","(0.9516034868028429,)","(0.9324131435818143,)","(0.9550487730238173,)","(0.9753122064802382,)","(0.9457134670681424,)","(0.919156551361084,)","(0.46287879943847654,)",,"(0.46849386427137585,)"
6,"(0.8090191311306424,)","(0.6796685112847223,)","(0.8077285766601563,)","(0.9504864268832737,)","(0.9677111625671386,)","(0.9385834799872504,)","(0.9974369049072266,)","(0.9789217207166884,)","(0.9346750259399415,)","(0.9976869884464475,)","(0.9952870034509235,)","(0.9840483559502495,)","(0.9983615921603308,)","(0.9900832070244683,)","(0.9125516043768989,)","(0.9489553345574273,)","(0.9679377026028103,)","(0.9100230746799045,)","(0.9969110409418742,)",
7,"(0.7543656455145942,)","(0.8587239053514268,)","(0.9134451018439399,)","(0.7668341318766276,)","(0.9131414201524523,)","(0.9761090225643582,)","(0.9949774212307401,)","(0.9990450008047952,)","(0.9911353700690799,)","(0.9981732891665565,)","(0.9970341152615018,)","(0.9975520188609759,)","(0.9957583162519666,)","(0.998867380950186,)","(0.9447370741102431,)","(0.9828109833929274,)","(0.989474360148112,)","(0.9816217250294156,)","(0.4422407786051432,)","(0.28186382717556424,)"
8,"(0.7356656392415364,)","(0.9046715418497722,)","(0.8630212253994411,)","(0.9890492935975392,)","(0.9965214888254802,)","(0.9911419338650174,)","(0.9935901217990452,)","(0.9984951549106174,)","(0.9976684966021114,)","(0.9986830923292372,)","(0.9971613989935981,)","(0.9919610447353787,)","(0.9998243772321277,)","(0.9960637390613556,)","(0.9998537477519777,)","(0.9983454426129659,)","(0.978561380174425,)","(0.9341242896185981,)","(0.8640253702799479,)",
9,"(0.9426549540625678,)","(0.9706740856170655,)","(0.9204195393456354,)","(0.9608474360571967,)","(0.9960257450739542,)","(0.9934018598662482,)","(0.9917379260063172,)","(0.9982842445373535,)","(0.9977944076061249,)","(0.9980269445313348,)","(0.9992521532707744,)","(0.9988854567209879,)","(0.9999662713872062,)","(0.9968939675225152,)","(0.9991275178061592,)","(0.9640338447358873,)","(0.9812766816880968,)","(0.9964721255832248,)","(0.983866368399726,)","(0.6394957648383246,)"
10,"(0.9694386773639255,)","(0.9827276415295071,)","(0.9825706071323819,)","(0.9554195510016548,)","(0.9892220589849684,)","(0.970196024576823,)","(0.9961424244774713,)","(0.9924421946207682,)","(0.9967647565735711,)","(0.9999139107763767,)","(0.9998568215303951,)","(0.9921729140811496,)","(0.9959945917129517,)","(0.9989016340838538,)","(0.9653568214840359,)","(0.9949396649996439,)","(0.9982809300223986,)","(0.9306253380245633,)","(0.9795625660154554,)","(0.8716318024529351,)"
11,"(0.9169925159878201,)","(0.9507653077443441,)","(0.9101293775770399,)","(0.9872109095255533,)","(0.9956369161605835,)","(0.9760512643390231,)","(0.9956669098801083,)","(0.9888921187983619,)","(0.9993350754181544,)","(0.9998437623182933,)","(0.9973102904028363,)","(0.9998762988381915,)","(0.998342678281996,)","(0.9878130316734314,)","(0.9459589004516602,)","(0.9971557067500221,)","(0.9526994493272569,)","(0.9279352611965603,)","(0.8267526308695475,)","(0.584752909342448,)"
12,"(0.9160979217953152,)","(0.9955740835931566,)","(0.9887054920196533,)","(0.990518683857388,)","(0.9842724270290799,)","(0.9987252692381541,)","(0.9993537611431546,)","(0.9973906833264563,)","(0.9991519292195638,)","(0.9977997779846192,)","(0.9992461787329779,)","(0.9949351453118854,)","(0.9919056832790375,)","(0.976107989417182,)","(0.996242137087716,)","(0.9997223228216171,)","(0.9901159445444743,)","(0.9519769297705756,)","(0.91059906217787,)","(0.6914501190185547,)"
13,"(0.8589525964525011,)","(0.9838802973429362,)","(0.960508672396342,)","(0.9967307772901323,)","(0.9943796793619791,)","(0.9882360392146641,)","(0.9954334613349702,)","(0.9929075850380792,)","(0.9926579157511394,)","(0.9888623740937975,)","(0.9833515087763468,)","(0.9657643847995334,)","(0.9531022177802192,)","(0.989513427681393,)","(0.9887581162982517,)","(0.9205424414740668,)","(0.9475858794318305,)","(0.9929418716165754,)","(0.8918574439154731,)","(0.7377769046359592,)"
14,"(0.9208671092987061,)","(0.9806762589348688,)","(0.897380903032091,)","(0.964442859755622,)","(0.892740896013048,)","(0.9985507970054944,)","(0.9777445793151855,)","(0.9834412786695692,)","(0.9902957068549262,)","(0.9933628294203016,)","(0.9942608820067511,)","(0.9989832242329916,)","(0.9933121734195285,)","(0.9863249937693278,)","(0.9610009405348036,)","(0.9959139496088028,)","(0.9365993393792047,)","(0.9133987850613065,)","(0.8090177324083117,)","(0.9363875230153402,)"
15,"(0.8907371520996094,)","(0.983926080332862,)","(0.9823680665757921,)","(0.9825700547960069,)","(0.9465305116441515,)","(0.9674418343438043,)","(0.9347421328226725,)","(0.9817404998673334,)","(0.997713718480534,)","(0.9946520169576009,)","(0.9811028573248122,)","(0.9985404544406467,)","(0.9738103018866645,)","(0.9885236475202772,)","(0.9932561132642957,)","(0.9657994826634725,)","(0.9868300755818685,)","(0.9270197126600477,)","(0.9822431643803914,)","(0.7700193193223741,)"
