,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,1,1,3,3,2,1,1,2,3,3,3,3,1,2,1,0,0
1,0,0,1,1,1,4,3,2,3,4,4,3,4,2,1,2,3,1,0,0
2,0,0,2,2,4,2,2,2,3,4,3,4,3,3,4,1,1,3,0,0
3,0,1,2,3,5,2,4,4,3,2,3,2,2,2,2,3,3,0,1,2
4,0,1,2,2,4,2,6,3,2,2,4,3,4,3,5,3,3,2,1,0
5,3,2,4,2,5,5,3,6,2,1,5,5,4,5,6,7,3,3,2,1
6,2,3,2,3,5,5,5,4,5,5,10,4,5,3,8,2,5,4,2,0
7,5,3,3,3,5,4,3,4,3,6,3,4,2,3,2,2,5,5,1,1
8,2,4,1,4,2,4,4,5,5,7,5,8,4,3,3,4,4,3,1,1
9,5,3,5,6,4,3,6,3,3,6,7,4,4,4,5,7,3,2,2,2
10,2,4,3,5,3,5,6,7,12,2,7,4,4,4,6,7,4,3,2,3
11,2,3,3,6,2,8,4,4,9,6,3,10,5,2,5,4,2,4,1,1
12,3,2,4,3,4,9,3,7,7,4,4,4,9,3,7,4,3,3,1,3
13,3,2,5,5,3,4,7,10,3,5,5,3,7,5,5,3,3,2,2,1
14,1,2,2,4,3,5,3,3,7,4,5,3,2,3,4,4,3,2,1,2
15,0,2,4,3,5,4,4,2,2,3,4,4,4,4,3,2,4,1,2,0
16,0,1,1,3,2,3,3,6,4,7,5,4,3,6,6,3,3,2,1,0
17,0,1,1,1,3,3,3,5,3,3,3,2,3,3,3,3,2,1,0,0
18,0,0,0,1,1,2,2,2,3,2,5,2,1,2,1,3,0,1,0,0
19,0,0,0,1,0,1,0,0,2,1,1,1,1,1,0,0,0,0,0,0
