,0
0,46
1,72
2,105
3,107
4,125
5,135
6,141
7,156
8,172
9,173
10,186
11,213
12,245
13,262
14,281
15,282
16,290
17,296
18,309
19,324
20,335
21,338
22,353
23,357
24,362
25,364
26,381
27,391
28,402
29,404
30,406
31,407
32,418
33,425
34,426
35,428
36,441
37,445
38,447
39,457
40,469
41,470
42,471
43,473
44,484
45,495
46,509
47,515
48,528
49,532
50,542
51,546
52,547
53,555
54,559
55,562
56,564
57,573
58,577
59,582
60,584
61,586
62,588
63,602
64,606
65,618
66,621
67,627
68,628
69,632
70,638
71,650
72,655
73,658
74,659
75,665
76,667
77,670
78,678
79,683
80,689
81,692
82,693
83,702
84,710
85,717
86,718
87,723
88,731
89,732
90,733
91,734
92,737
93,741
94,743
95,744
96,753
97,759
98,761
99,764
100,766
101,771
102,773
103,774
104,775
105,776
106,780
107,782
108,787
109,789
110,793
111,795
112,796
113,797
114,798
115,800
116,803
117,804
118,805
119,809
120,812
121,819
122,820
123,822
124,830
125,831
126,832
127,833
128,834
129,835
130,841
131,847
132,848
133,853
134,854
135,858
136,859
137,860
138,862
139,868
140,878
141,882
142,885
143,888
144,889
145,890
146,891
147,892
148,894
149,902
150,903
151,905
152,906
153,908
154,913
155,914
156,915
157,920
158,922
159,924
160,925
161,927
162,930
163,934
164,936
165,937
166,941
167,942
168,943
169,945
170,946
171,947
172,949
173,950
174,952
175,953
176,954
177,955
178,963
179,964
180,967
181,969
182,971
183,972
184,974
185,975
186,978
187,979
188,980
189,983
190,984
191,985
192,987
193,989
194,992
195,993
196,994
197,1000
198,1003
199,1009
200,1011
201,1013
202,1014
203,1016
204,1017
205,1018
206,1020
207,1027
208,1030
209,1037
210,1039
211,1040
212,1041
213,1042
214,1043
215,1044
216,1045
217,1046
218,1047
219,1048
220,1050
221,1052
222,1057
223,1058
224,1060
225,1061
226,1062
227,1066
228,1067
229,1068
230,1070
231,1071
232,1072
233,1073
234,1074
235,1075
236,1077
237,1078
238,1079
239,1080
240,1081
241,1082
242,1083
243,1086
244,1087
245,1088
246,1089
247,1091
248,1093
249,1094
250,1096
251,1097
252,1098
253,1099
254,1100
255,1101
256,1104
257,1105
258,1108
259,1109
260,1110
261,1111
262,1113
263,1114
264,1115
265,1117
266,1118
267,1120
268,1121
269,1122
270,1124
271,1125
272,1127
273,1128
274,1129
275,1130
276,1131
277,1132
278,1133
279,1135
280,1137
281,1138
282,1139
283,1140
284,1142
285,1143
286,1144
287,1145
288,1146
289,1147
290,1149
291,1150
292,1153
293,1154
294,1155
295,1157
296,1158
297,1160
298,1161
299,1162
300,1163
301,1164
302,1165
303,1166
304,1167
305,1168
306,1169
307,1170
308,1171
309,1172
310,1173
311,1174
312,1175
313,1176
314,1177
315,1178
316,1179
317,1180
318,1181
319,1183
320,1185
321,1186
322,1187
323,1188
324,1189
325,1190
326,1191
327,1192
328,1193
329,1195
330,1196
331,1197
332,1198
333,1199
334,1200
335,1201
336,1202
337,1203
338,1204
339,1205
340,1206
341,1207
342,1208
343,1209
344,1210
345,1211
346,1212
347,1213
348,1214
349,1215
350,1216
351,1217
352,1218
353,1219
354,1220
355,1221
356,1222
357,1223
358,1224
359,1225
360,1226
361,1227
362,1228
363,1229
364,1230
365,1231
366,1232
367,1233
368,1234
