,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,41/400,100,62,[0.7467],[0.2396],[0.02],[0.9995],"[-6.5674,-5.5095]","[5.7477,3.7255]",30.61,1114.46
1,algoQD,1,68/400,100,39,[0.7101],[0.2448],[0.105],[0.9995],"[-7.1667,-5.5095]","[6.1971,6.9488]",48.29,626.89
2,algoQD,2,89/400,100,44,[0.732],[0.2456],[0.0814],[0.9995],"[-7.3008,-5.5095]","[6.1971,7.9232]",65.15,641.19
3,algoQD,3,106/400,100,34,[0.7499],[0.2338],[0.1169],[0.9995],"[-7.4168,-6.5126]","[6.7068,8.6498]",79.49,647.60
4,algoQD,4,122/400,100,37,[0.7731],[0.223],[0.1351],[0.9995],"[-7.4571,-6.9993]","[6.7068,8.6498]",94.31,647.00
5,algoQD,5,129/400,100,20,[0.7885],[0.2095],[0.1389],[0.9995],"[-7.4571,-6.9993]","[6.7068,8.6498]",101.71,642.43
6,algoQD,6,141/400,100,32,[0.7966],[0.197],[0.1405],[0.9995],"[-7.4571,-6.9993]","[6.7068,8.6498]",112.32,650.27
7,algoQD,7,149/400,100,22,[0.808],[0.19],[0.1405],[0.9995],"[-8.4815,-6.9993]","[7.9083,9.6046]",120.39,648.63
8,algoQD,8,155/400,100,23,[0.8224],[0.1742],[0.1405],[0.9995],"[-8.4815,-6.9993]","[7.9083,9.6046]",127.47,645.78
9,algoQD,9,162/400,100,20,[0.8328],[0.1711],[0.1405],[0.9995],"[-8.4815,-7.1304]","[7.9083,9.6046]",134.92,645.85
10,algoQD,10,168/400,100,22,[0.8455],[0.1558],[0.2632],[0.9995],"[-8.4815,-7.1304]","[7.9083,9.6046]",142.04,637.79
11,algoQD,11,182/400,100,25,[0.8381],[0.169],[0.0469],[0.9995],"[-8.9356,-7.5828]","[7.9083,9.6046]",152.54,646.15
12,algoQD,12,189/400,100,20,[0.8424],[0.1678],[0.0469],[0.9995],"[-8.9356,-7.6776]","[7.9083,9.9596]",159.21,645.86
13,algoQD,13,196/400,100,18,[0.8391],[0.1738],[0.0469],[0.9995],"[-8.9482,-8.9284]","[8.7949,9.9596]",164.47,643.99
