,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],[],"[(-9.025548, -4.9241896)]","[(-9.913685, -3.5137465)]","[(-9.098585, -2.4488251)]","[(-9.277372, -1.4015859)]","[(-9.832029, -0.7635234)]","[(-9.147282, 0.02834458)]","[(-9.086368, 1.5983112)]","[(-9.291573, 2.372342)]","[(-9.270198, 3.9288)]","[(-9.038729, 4.4605265)]","[(-9.105106, 5.431418)]",[],[],[],[]
1,[],[],"[(-8.19893, -7.3836927)]","[(-8.115507, -6.686591)]","[(-8.906545, -5.2090936)]","[(-8.457266, -4.240097)]","[(-8.046409, -3.5029893)]","[(-8.054745, -2.4928064)]","[(-8.260761, -1.016872)]","[(-8.976604, -0.40414682)]","[(-8.763238, 0.91591614)]","[(-8.782033, 1.7314786)]","[(-8.957433, 2.342897)]","[(-8.617261, 3.7113624)]","[(-8.99945, 4.3567715)]","[(-8.574238, 5.863373)]","[(-8.319958, 6.7536726)]","[(-8.639506, 7.7412047)]","[(-8.702185, 8.140392)]",[]
2,[],"[(-7.060949, -8.973282)]","[(-7.3665404, -7.6902122)]","[(-7.1373696, -6.064086)]","[(-7.2490325, -5.4908876)]","[(-7.0575175, -4.2803626)]","[(-7.30654, -3.804473)]","[(-7.4193134, -2.485304)]","[(-7.6734657, -1.6879425)]","[(-7.145403, -0.29623544)]","[(-7.9971175, 0.89865357)]","[(-7.997699, 1.4832813)]","[(-7.614366, 2.0441089)]","[(-7.0670996, 3.7594416)]","[(-7.5333023, 4.2690806)]","[(-7.8656445, 5.3791523)]","[(-7.3449955, 6.7564635)]","[(-7.774205, 7.424303)]","[(-7.2589135, 8.894122)]",[]
3,[],[],"[(-6.1877465, -7.5816193)]","[(-6.556131, -6.3790665)]","[(-6.8608217, -5.9377146)]","[(-6.7371387, -4.9447865)]","[(-6.108806, -3.214584)]","[(-6.6357245, -2.5086906)]","[(-6.498054, -1.1406025)]","[(-6.9686685, -0.9175049)]","[(-6.6734724, 0.034750175)]","[(-6.7852063, 1.1585083)]","[(-6.822976, 2.4903305)]","[(-6.7972484, 3.5531495)]","[(-6.367626, 4.5292735)]","[(-6.6065884, 5.127313)]","[(-6.5398583, 6.5949845)]","[(-6.1111197, 7.585571)]","[(-6.624758, 8.162287)]","[(-6.0852966, 9.163213)]"
4,[],"[(-5.1922536, -8.6180525)]","[(-5.213914, -7.841545)]","[(-5.725328, -6.2030454)]","[(-5.3246036, -5.665475)]","[(-5.9334297, -4.0869026)]","[(-5.5824223, -3.1287637)]","[(-5.60736, -2.7411127)]","[(-5.3213267, -1.562678)]","[(-5.581711, -0.20492901)]","[(-5.129852, 0.34610805)]","[(-5.6386404, 1.2205167)]","[(-5.969757, 2.6532035)]","[(-5.0433207, 3.2562404)]","[(-5.05955, 4.000306)]","[(-5.517304, 5.761085)]","[(-5.832939, 6.6432796)]","[(-5.004, 7.4711914)]","[(-5.3979096, 8.254107)]","[(-5.695202, 9.501209)]"
5,"[(-4.4673867, -9.140108)]","[(-4.3996434, -8.211049)]","[(-4.3101015, -7.619233)]","[(-4.8616076, -6.4698544)]","[(-4.2970047, -5.931361)]","[(-4.6040554, -4.119651)]","[(-4.7811656, -3.4616294)]","[(-4.279216, -2.1990993)]","[(-4.5276814, -1.6901094)]","[(-4.9192057, -0.9998846)]","[(-4.2312775, 0.01887763)]","[(-4.984518, 1.8862654)]","[(-4.313977, 2.6398337)]","[(-4.626099, 3.0751247)]","[(-4.843991, 4.7140346)]","[(-4.916718, 5.5018263)]","[(-4.7888713, 6.2031803)]","[(-4.0643873, 7.8639903)]","[(-4.922186, 8.998415)]","[(-4.3197265, 9.542096)]"
6,"[(-3.676798, -9.10572)]","[(-3.1725383, -8.502774)]","[(-3.921246, -7.888044)]","[(-3.050542, -6.276012)]","[(-3.861645, -5.1647935)]","[(-3.7837126, -4.0567584)]","[(-3.784539, -3.0422494)]","[(-3.2832267, -2.3148186)]","[(-3.7993073, -1.8688293)]","[(-3.1723146, -0.43168595)]","[(-3.615514, 0.10998686)]","[(-3.2765074, 1.0228448)]","[(-3.805083, 2.680573)]","[(-3.3500655, 3.1915317)]","[(-3.693546, 4.3276362)]","[(-3.9748766, 5.2985263)]","[(-3.143778, 6.42594)]","[(-3.0583105, 7.501255)]","[(-3.2185786, 8.357986)]","[(-3.020095, 9.189025)]"
7,"[(-2.092468, -9.2159815)]","[(-2.9563882, -8.84426)]","[(-2.5558338, -7.58783)]","[(-2.061261, -6.127904)]","[(-2.0451562, -5.4821696)]","[(-2.8484638, -4.684153)]","[(-2.4169304, -3.7513366)]","[(-2.417036, -2.0847318)]","[(-2.0311291, -1.8910835)]","[(-2.982643, -0.6993963)]","[(-2.5409367, 0.39602014)]","[(-2.162952, 1.1406494)]","[(-2.4108565, 2.7480912)]","[(-2.7185245, 3.782073)]","[(-2.0559912, 4.5563226)]","[(-2.524373, 5.2443533)]","[(-2.8422375, 6.4195724)]","[(-2.9964588, 7.8874884)]","[(-2.636655, 8.917775)]","[(-2.0493479, 9.883001)]"
8,"[(-1.1411067, -9.402099)]","[(-1.1319981, -8.998581)]","[(-1.6834493, -7.395092)]","[(-1.4435978, -6.5644574)]","[(-1.5978129, -5.176696)]","[(-1.1841446, -4.6028247)]","[(-1.3761142, -3.0026321)]","[(-1.5054317, -2.5489116)]","[(-1.7817643, -1.2295151)]","[(-1.8155303, -0.08813067)]","[(-1.1978719, 0.20157588)]","[(-1.4927337, 1.8737116)]","[(-1.8309168, 2.4716551)]","[(-1.8649938, 3.1081538)]","[(-1.5523319, 4.2572184)]","[(-1.5393423, 5.960622)]","[(-1.7711891, 6.9608502)]","[(-1.3695737, 7.6846585)]","[(-1.8504224, 8.159067)]","[(-1.7173259, 9.232424)]"
9,"[(-0.46062046, -9.608044)]","[(-0.7140856, -8.242828)]","[(-0.67395675, -7.2249165)]","[(-0.70188797, -6.375841)]","[(-0.5084242, -5.4569254)]","[(-0.5878659, -4.984315)]","[(-0.9660035, -3.3342457)]","[(-0.3765639, -2.0334046)]","[(-0.45636064, -1.7935698)]","[(-0.19680297, -0.2079332)]","[(-0.5378043, 0.30672875)]","[(-0.6240502, 1.6585642)]","[(-0.5539265, 2.775424)]","[(-0.5595448, 3.3547912)]","[(-0.8006206, 4.5937757)]","[(-0.27274716, 5.298712)]","[(-0.16807681, 6.1459618)]","[(-0.48747933, 7.5572124)]","[(-0.9937598, 8.790367)]","[(-0.90839094, 9.213064)]"
10,"[(0.23522672, -9.365601)]","[(0.089694284, -8.262988)]","[(0.8079775, -7.909622)]","[(0.032452967, -6.2225156)]","[(0.713232, -5.171904)]","[(0.6311064, -4.5939097)]","[(0.030759215, -3.322832)]","[(0.39053413, -2.041108)]","[(0.90088916, -1.9677311)]","[(0.46171957, -0.29070356)]","[(0.10999488, 0.927445)]","[(0.29026002, 1.2177808)]","[(0.8778173, 2.7351131)]","[(0.78427815, 3.0311215)]","[(0.38581526, 4.276706)]","[(0.06910892, 5.8056116)]","[(0.9765461, 6.9659023)]","[(0.13010009, 7.507225)]","[(0.77693075, 8.713882)]","[(0.5314015, 9.053755)]"
11,"[(1.0240608, -9.934155)]","[(1.7460828, -8.489095)]","[(1.3788012, -7.662859)]","[(1.6208544, -6.5227156)]","[(1.1768298, -5.5400248)]","[(1.3853432, -4.7526255)]","[(1.4853537, -3.7046425)]","[(1.1313838, -2.0027435)]","[(1.2935845, -1.3534017)]","[(1.6805089, -0.26699528)]","[(1.5947373, 0.42455035)]","[(1.2739378, 1.8228981)]","[(1.9554893, 2.8538716)]","[(1.1117616, 3.1188285)]","[(1.9311417, 4.0753126)]","[(1.3367463, 5.411579)]","[(1.4807477, 6.577645)]","[(1.6391782, 7.40213)]","[(1.2161267, 8.700469)]","[(1.1192299, 9.254909)]"
12,"[(2.011211, -9.54195)]","[(2.0710444, -8.693029)]","[(2.0170093, -7.4135456)]","[(2.176983, -6.951871)]","[(2.5797834, -5.9913335)]","[(2.5344017, -4.392921)]","[(2.1112733, -3.0983677)]","[(2.9989982, -2.3293357)]","[(2.0608854, -1.2456133)]","[(2.8730123, -0.53379446)]","[(2.2761147, 0.84684885)]","[(2.210304, 1.5572956)]","[(2.815791, 2.0172036)]","[(2.6277764, 3.3509707)]","[(2.7380712, 4.9297843)]","[(2.5055823, 5.4142876)]","[(2.2389603, 6.2644258)]","[(2.2416153, 7.4233227)]","[(2.1950974, 8.811284)]","[(2.5295923, 9.760022)]"
13,"[(3.6221526, -9.522671)]","[(3.6741161, -8.648986)]","[(3.0518873, -7.867318)]","[(3.2983658, -6.1255207)]","[(3.45459, -5.271977)]","[(3.2301886, -4.711712)]","[(3.6885989, -3.4746804)]","[(3.418117, -2.952571)]","[(3.1652026, -1.7940689)]","[(3.0685902, -0.550053)]","[(3.4160817, 0.93747914)]","[(3.4748073, 1.0385864)]","[(3.0045176, 2.8850884)]","[(3.4695811, 3.3284752)]","[(3.4130697, 4.582817)]","[(3.862073, 5.8904095)]","[(3.7406237, 6.892869)]","[(3.3591614, 7.77225)]","[(3.2789493, 8.851187)]","[(3.7197552, 9.563249)]"
14,"[(4.0434766, -9.119688)]","[(4.747488, -8.667777)]","[(4.089453, -7.953251)]","[(4.737053, -6.4014583)]","[(4.1783266, -5.996939)]","[(4.4316244, -4.829361)]","[(4.8864613, -3.445019)]","[(4.339542, -2.4035914)]","[(4.102533, -1.0908685)]","[(4.949298, -0.8765861)]","[(4.3822036, 0.64169484)]","[(4.3746343, 1.010865)]","[(4.174322, 2.13649)]","[(4.4310393, 3.956004)]","[(4.877086, 4.0779986)]","[(4.049333, 5.401444)]","[(4.4030433, 6.542651)]","[(4.345033, 7.997716)]","[(4.3358645, 8.817712)]",[]
15,"[(5.874608, -9.135223)]","[(5.438834, -8.322637)]","[(5.667044, -7.820656)]","[(5.1760316, -6.085475)]","[(5.119981, -5.4893765)]","[(5.590642, -4.3223057)]","[(5.4194007, -3.3208404)]","[(5.216836, -2.653682)]","[(5.430178, -1.2451578)]","[(5.050949, -0.32066423)]","[(5.8591056, 0.5378569)]","[(5.716519, 1.6220506)]","[(5.683175, 2.705853)]","[(5.0063677, 3.1995833)]","[(5.224971, 4.438378)]","[(5.702777, 5.154153)]","[(5.3102155, 6.3906026)]","[(5.8662796, 7.920737)]","[(5.198499, 8.107283)]",[]
16,"[(6.071984, -9.0825205)]","[(6.635256, -8.100517)]","[(6.904669, -7.703122)]","[(6.0524244, -6.298403)]","[(6.535963, -5.803586)]","[(6.194349, -4.4534144)]","[(6.7499557, -3.198324)]","[(6.2276216, -2.5183566)]","[(6.382152, -1.1833192)]","[(6.5391974, -0.631073)]","[(6.784784, 0.34026617)]","[(6.1605196, 1.0288413)]","[(6.328799, 2.2662454)]","[(6.600548, 3.8253806)]","[(6.1804395, 4.6195908)]","[(6.2218523, 5.2382)]","[(6.2970757, 6.4609723)]","[(6.1747303, 7.1135354)]",[],"[(6.203154, 9.106519)]"
17,[],"[(7.290526, -8.603113)]","[(7.041199, -7.377329)]","[(7.0428495, -6.6055684)]","[(7.3086615, -5.69158)]","[(7.377873, -4.6123896)]","[(7.6608357, -3.4274402)]","[(7.147271, -2.7011917)]","[(7.82019, -1.3542784)]","[(7.7211905, -0.5540022)]","[(7.612198, 0.66482097)]","[(7.962924, 1.3662908)]","[(7.535914, 2.49749)]","[(7.450809, 3.1918204)]","[(7.504241, 4.317596)]","[(7.4025903, 5.0787506)]","[(7.029572, 6.638606)]","[(7.372862, 7.3806953)]",[],[]
18,[],[],"[(8.544769, -7.4822235)]","[(8.147725, -6.8408794)]","[(8.032406, -5.90031)]","[(8.128201, -4.3068786)]","[(8.551005, -3.49762)]","[(8.6418085, -2.1766613)]","[(8.912459, -1.453336)]","[(8.150383, -0.52878726)]","[(8.916895, 0.7153256)]","[(8.295777, 1.6702819)]","[(8.194657, 2.1808143)]","[(8.668013, 3.8877997)]","[(8.8943405, 4.347255)]","[(8.319118, 5.069278)]",[],"[(8.226361, 7.4942627)]","[(8.067304, 8.228486)]",[]
19,[],[],[],"[(9.172825, -6.300176)]","[(9.241006, -5.844506)]",[],"[(9.7105, -3.0456572)]","[(9.758495, -2.1177015)]","[(9.61663, -1.1377554)]","[(9.4532, -0.7952718)]","[(9.379736, 0.7089121)]","[(9.157803, 1.403316)]","[(9.562157, 2.674051)]","[(9.555323, 3.9362676)]","[(9.378667, 4.8328004)]","[(9.203031, 5.1584563)]","[(9.591752, 6.323889)]",[],[],[]
