,0
0,27
1,110
2,137
3,180
4,200
5,206
6,209
7,213
8,217
9,224
10,248
11,265
12,270
13,282
14,284
15,317
16,322
17,326
18,338
19,340
20,353
21,373
22,382
23,394
24,407
25,413
26,440
27,449
28,478
29,485
30,489
31,511
32,514
33,524
34,529
35,540
36,549
37,556
38,564
39,565
40,569
41,573
42,577
43,580
44,595
45,599
46,601
47,602
48,604
49,609
50,613
51,621
52,624
53,637
54,648
55,652
56,654
57,655
58,670
59,680
60,681
61,684
62,691
63,699
64,715
65,716
66,717
67,726
68,728
69,735
70,737
71,739
72,744
73,749
74,756
75,758
76,765
77,768
78,772
79,776
80,780
81,791
82,797
83,803
84,804
85,805
86,806
87,807
88,813
89,821
90,830
91,834
92,835
93,837
94,839
95,840
96,841
97,845
98,846
99,856
100,860
101,861
102,864
103,866
104,871
105,872
106,873
107,874
108,880
109,882
110,883
111,884
112,886
113,888
114,891
115,892
116,895
117,897
118,899
119,901
120,904
121,906
122,910
123,911
124,913
125,914
126,917
127,919
128,923
129,927
130,929
131,930
132,932
133,936
134,938
135,941
136,945
137,946
138,948
139,949
140,951
141,952
142,954
143,956
144,958
145,966
146,967
147,970
148,971
149,974
150,975
151,976
152,979
153,980
154,983
155,985
156,986
157,990
158,991
159,993
160,994
161,998
162,1000
163,1001
164,1002
165,1003
166,1004
167,1005
168,1007
169,1009
170,1010
171,1014
172,1015
173,1016
174,1017
175,1018
176,1019
177,1021
178,1022
179,1023
180,1026
181,1028
182,1030
183,1031
184,1033
185,1034
186,1035
187,1041
188,1043
189,1044
190,1045
191,1046
192,1047
193,1050
194,1051
195,1053
196,1056
197,1058
198,1059
199,1060
200,1061
201,1062
202,1063
203,1064
204,1065
205,1066
206,1067
207,1068
208,1070
209,1072
210,1073
211,1075
212,1076
213,1083
214,1086
215,1089
216,1090
217,1091
218,1094
219,1096
220,1099
221,1105
222,1106
223,1109
224,1113
225,1117
226,1118
227,1123
228,1126
229,1127
230,1128
231,1129
232,1132
233,1133
234,1136
235,1139
236,1140
237,1141
238,1142
239,1143
240,1144
241,1146
242,1148
243,1149
244,1150
245,1151
246,1152
247,1153
248,1155
249,1156
250,1157
251,1158
252,1159
253,1161
254,1164
255,1165
256,1169
257,1170
258,1171
259,1172
260,1173
261,1174
262,1176
263,1178
264,1179
265,1180
266,1181
267,1185
268,1189
269,1190
270,1191
271,1192
272,1193
273,1194
274,1195
275,1196
276,1197
277,1199
278,1200
279,1201
280,1202
281,1203
282,1204
283,1205
284,1206
285,1207
286,1208
287,1211
288,1213
289,1214
290,1216
291,1217
292,1218
293,1219
294,1220
295,1222
296,1223
297,1224
298,1225
299,1226
300,1227
301,1228
302,1230
303,1232
304,1233
305,1234
306,1235
307,1236
308,1237
309,1238
310,1239
311,1240
312,1241
313,1242
314,1243
315,1244
316,1245
317,1246
318,1247
319,1248
320,1249
321,1250
322,1251
323,1252
324,1253
325,1254
326,1255
327,1256
328,1257
329,1258
330,1259
331,1260
332,1261
333,1262
334,1263
335,1264
336,1265
337,1266
338,1267
339,1268
340,1269
341,1270
342,1271
343,1273
344,1274
345,1275
346,1276
347,1277
348,1278
349,1279
350,1280
351,1281
352,1282
353,1283
354,1284
355,1285
356,1286
357,1287
358,1288
359,1289
360,1290
361,1291
362,1292
363,1293
364,1294
365,1295
366,1296
367,1297
368,1299
369,1300
370,1301
371,1302
372,1303
373,1304
374,1305
375,1306
