,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,"(0.5778977711995443,)","(0.8121465894911024,)","(0.9909802807701958,)","(0.8253064685397677,)","(0.794195916917589,)","(0.9823209709591336,)","(0.8572154151068794,)","(0.8829975340101454,)","(0.9271542602115207,)","(0.8365350087483724,)","(0.9569395383199056,)","(0.8886361016167534,)","(0.9867194917466905,)","(0.9595130284627279,)","(0.9553046650356717,)","(0.8378401862250434,)",,
1,,"(0.9180618551042344,)","(0.876789304945204,)",,"(0.941124153137207,)","(0.9083806991577148,)","(0.869894387986925,)","(0.9896584841940138,)","(0.9391517851087782,)","(0.9879785537719726,)","(0.9772022538714938,)","(0.9340598636203342,)","(0.9859247803688049,)","(0.9295074886745877,)","(0.9997179879082574,)","(0.9910802953773075,)","(0.9171375857459174,)","(0.6354337904188367,)","(0.9394393073187934,)",
2,,,"(0.9705193625556098,)",,"(0.6471847534179687,)","(0.7759543100992838,)","(0.9959974077012804,)","(0.9983137064509922,)","(0.9935494144757588,)","(0.9675609588623046,)","(0.9742848051918878,)","(0.9949716495143043,)","(0.9400474124484592,)","(0.8835867351955837,)","(0.9563410891426934,)","(0.99249320824941,)","(0.9765166017744277,)","(0.9919460508558485,)","(0.9821233537462023,)","(0.9688555902904934,)"
3,,"(0.9712272750006782,)","(0.9857172634866502,)","(0.931747563680013,)","(0.9954006956683265,)","(0.9903244773546854,)","(0.9450342920091417,)","(0.9190704769558377,)","(0.9904011229674021,)","(0.9892755501800113,)","(0.9895863327715132,)","(0.9673416482077705,)","(0.9654672622680665,)","(0.9792897767490811,)","(0.9957401593526204,)","(0.9474139425489637,)","(0.9924568858411577,)","(0.9867131498124865,)","(0.9942773924933539,)","(0.9894096374511718,)"
4,"(0.9834793064329359,)","(0.970567872789171,)","(0.8668914371066623,)","(0.8497020721435546,)","(0.957180404663086,)","(0.9790857738918728,)","(0.9663672818077935,)","(0.9858603159586589,)","(0.9363169352213542,)","(0.971620766321818,)","(0.9937795215182834,)","(0.9822948985629611,)","(0.8216173595852322,)","(0.997198721435335,)","(0.9956458893087176,)","(0.9881430546442668,)","(0.9579346550835504,)","(0.9904619713624319,)","(0.957837544547187,)","(0.9868222554524739,)"
5,"(0.974124378628201,)","(0.989028951856825,)","(0.9705083953009711,)","(0.9306067996554904,)","(0.9803026199340821,)","(0.859368896484375,)","(0.9648066414727106,)","(0.9951792995134989,)","(0.9942966553899977,)","(0.9843397988213434,)","(0.9987175809012518,)","(0.9989970616168447,)","(0.9371610853407117,)","(0.9931262214978536,)","(0.9946786350674099,)","(0.979728815290663,)","(0.9975354883405897,)","(0.8814912690056695,)","(0.9539228863186306,)","(0.9885590818193224,)"
6,"(0.9482623842027452,)","(0.9156110763549805,)","(0.9910093201531305,)","(0.9972475793626573,)","(0.9518299950493707,)","(0.9977878580490748,)","(0.9414159138997396,)","(0.9971231371164322,)","(0.9488850275675456,)","(0.9936955557929145,)","(0.9799091286129422,)","(0.9827467825677659,)","(0.9978376534250047,)","(0.9716145012113783,)","(0.9967906422085232,)","(0.9846859667036268,)","(0.9695321957270304,)","(0.924771245320638,)","(0.9468984285990397,)","(0.9860753801133898,)"
7,"(0.9894388834635417,)","(0.9642307122548421,)","(0.9861004988352458,)","(0.995898077223036,)","(0.9946470174524519,)","(0.987311225467258,)","(0.9825864579942492,)","(0.9596325609419081,)","(0.998761060502794,)","(0.9787095228830973,)","(0.981032223171658,)","(0.998971610599094,)","(0.9935250401496887,)","(0.9879135476218329,)","(0.9886674616071913,)","(0.9847660276624891,)","(0.9980564085973633,)","(0.9417161676618788,)","(0.938655678431193,)","(0.9931244326962365,)"
8,"(0.821212175157335,)","(0.9916199465592702,)","(0.9677568541632758,)","(0.9965885268317328,)","(0.996423582235972,)","(0.978120846218533,)","(0.9981872126460075,)","(0.9910961853133308,)","(0.9940562936994765,)","(0.9899664302666982,)","(0.9994955513212416,)","(0.998492071363661,)","(0.9997239589691163,)","(0.9541285302903917,)","(0.9865173896153768,)","(0.995976538128323,)","(0.9900449878639646,)","(0.9944060458077325,)","(0.8556777954101562,)","(0.9728378348880344,)"
9,"(0.9486480289035373,)","(0.9953154365221659,)","(0.9813081211513943,)","(0.9996758566962348,)","(0.9784556918674046,)","(0.9928867234124078,)","(0.9990874634848701,)","(0.9889053238762749,)","(0.9916803783840603,)","(0.9998494466145833,)","(0.9969523426559236,)","(0.9994079007042779,)","(0.9950908501942952,)","(0.9845686303244696,)","(0.9853353884485033,)","(0.9952744305133819,)","(0.9900666448805068,)","(0.9100961791144477,)","(0.9835828092363146,)","(0.9827101522021824,)"
