,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],"[(-9.269879, -8.438037)]","[(-9.769671, -7.4889956)]","[(-9.07176, -6.5736814)]","[(-9.230175, -5.193031)]","[(-9.01349, -4.4467325)]","[(-9.114668, -3.7223837)]","[(-9.607711, -2.26151)]","[(-9.698234, -1.041029)]","[(-9.843124, -0.9012205)]","[(-9.082239, 0.858056)]","[(-9.551337, 1.0848967)]","[(-9.2884865, 2.0986488)]","[(-9.845219, 3.6664362)]","[(-9.88109, 4.252033)]",[],[],[],[],[]
1,[],[],"[(-8.436606, -7.6489286)]","[(-8.699315, -6.844897)]","[(-8.751673, -5.899921)]","[(-8.294868, -4.9747257)]","[(-8.516806, -3.7172773)]","[(-8.145189, -2.9770539)]","[(-8.236366, -1.8690339)]","[(-8.013807, -0.24653754)]","[(-8.448407, 0.14000027)]","[(-8.227248, 1.4956287)]","[(-8.603712, 2.9638362)]","[(-8.881249, 3.4301805)]","[(-8.095695, 4.156153)]","[(-8.973162, 5.3538837)]","[(-8.090241, 6.406428)]","[(-8.056993, 7.3567476)]",[],[]
2,[],"[(-7.506503, -8.454229)]","[(-7.9143577, -7.153633)]","[(-7.685382, -6.5859084)]","[(-7.239851, -5.3399906)]","[(-7.5889773, -4.7508216)]","[(-7.017496, -3.0860512)]","[(-7.2427516, -2.430567)]","[(-7.3104043, -1.7498257)]","[(-7.4010124, -0.35762385)]","[(-7.626962, 0.13464)]","[(-7.7528934, 1.1583384)]","[(-7.626452, 2.0635374)]","[(-7.1945543, 3.210024)]","[(-7.5081544, 4.004598)]","[(-7.054229, 5.467494)]","[(-7.096453, 6.836423)]","[(-7.027199, 7.8219323)]","[(-7.587887, 8.054619)]","[(-7.491732, 9.277249)]"
3,[],"[(-6.295393, -8.898386)]","[(-6.2498884, -7.6948237)]","[(-6.959276, -6.2077527)]","[(-6.2373066, -5.6263137)]","[(-6.5672746, -4.66039)]","[(-6.571339, -3.352354)]","[(-6.8755927, -2.4093244)]","[(-6.6140604, -1.1880069)]","[(-6.9120145, -0.004248345)]","[(-6.0630407, 0.14807758)]","[(-6.315879, 1.7886425)]","[(-6.412937, 2.5065222)]","[(-6.2627177, 3.9248512)]","[(-6.0859017, 4.133913)]","[(-6.330142, 5.0475473)]","[(-6.5291357, 6.121018)]","[(-6.3242846, 7.0892243)]","[(-6.9633365, 8.959391)]",[]
4,[],"[(-5.7388997, -8.101548)]","[(-5.996942, -7.9022956)]","[(-5.261029, -6.1180177)]","[(-5.2994385, -5.912138)]","[(-5.089764, -4.184486)]","[(-5.127623, -3.1063535)]","[(-5.6159787, -2.583959)]","[(-5.7228217, -1.4530841)]","[(-5.878215, -0.6226603)]","[(-5.492924, 0.5099389)]","[(-5.54732, 1.1215106)]","[(-5.5996075, 2.6684585)]","[(-5.3240304, 3.1485279)]","[(-5.5725665, 4.535231)]","[(-5.501296, 5.5034227)]","[(-5.7597947, 6.4963355)]","[(-5.6197157, 7.636949)]","[(-5.019878, 8.031472)]","[(-5.369682, 9.000397)]"
5,"[(-4.3565845, -9.036341)]","[(-4.95722, -8.288729)]","[(-4.155544, -7.576979)]","[(-4.7428975, -6.2180843)]","[(-4.7816525, -5.170351)]","[(-4.200754, -4.1483026)]","[(-4.257375, -3.1965923)]","[(-4.765861, -2.3838303)]","[(-4.608561, -1.3005918)]","[(-4.7795544, -0.06771662)]","[(-4.596779, 0.050722003)]","[(-4.2529573, 1.6056577)]","[(-4.347443, 2.2073176)]","[(-4.704745, 3.0914953)]","[(-4.2613096, 4.751264)]","[(-4.934248, 5.229104)]","[(-4.5601873, 6.0196233)]","[(-4.9078374, 7.3703446)]","[(-4.226561, 8.623312)]","[(-4.2136016, 9.590777)]"
6,"[(-3.1151927, -9.580081)]","[(-3.628668, -8.802397)]","[(-3.9554374, -7.3143783)]","[(-3.571406, -6.871181)]","[(-3.964501, -5.2977443)]","[(-3.2223113, -4.313552)]","[(-3.0417495, -3.4010224)]","[(-3.105285, -2.0268657)]","[(-3.03589, -1.92217)]","[(-3.8336182, -0.24901024)]","[(-3.5320067, 0.74575347)]","[(-3.031899, 1.3273301)]","[(-3.2624373, 2.6342254)]","[(-3.4384766, 3.2137687)]","[(-3.1642673, 4.902759)]","[(-3.7848594, 5.225524)]","[(-3.496304, 6.827535)]","[(-3.8249574, 7.5546656)]","[(-3.480287, 8.095004)]","[(-3.675204, 9.685507)]"
7,"[(-2.868238, -9.36111)]","[(-2.961811, -8.100223)]","[(-2.0431602, -7.368522)]","[(-2.3644688, -6.064427)]","[(-2.0287278, -5.0855517)]","[(-2.7966, -4.751193)]","[(-2.3729002, -3.6686792)]","[(-2.5756872, -2.7888408)]","[(-2.162139, -1.2918779)]","[(-2.3096864, -0.17013408)]","[(-2.1605933, 0.7568454)]","[(-2.1905663, 1.098965)]","[(-2.2780058, 2.617152)]","[(-2.1641767, 3.326488)]","[(-2.402687, 4.3023467)]","[(-2.0283096, 5.0445523)]","[(-2.519624, 6.0789905)]","[(-2.794129, 7.4793086)]","[(-2.4695165, 8.402588)]","[(-2.6750681, 9.245341)]"
8,"[(-1.0372885, -9.072655)]","[(-1.2252041, -8.813579)]","[(-1.1762627, -7.0148087)]","[(-1.3927469, -6.3527174)]","[(-1.1712929, -5.3563285)]","[(-1.8007097, -4.000481)]","[(-1.0327283, -3.7598634)]","[(-1.5948184, -2.4602315)]","[(-1.8511225, -1.3318528)]","[(-1.9434236, -0.10499875)]","[(-1.395139, 0.6092229)]","[(-1.1526405, 1.8024447)]","[(-1.1779419, 2.5679924)]","[(-1.7011576, 3.4455135)]","[(-1.6926243, 4.9760838)]","[(-1.3616121, 5.641026)]","[(-1.1082454, 6.964846)]","[(-1.923526, 7.391473)]","[(-1.3194517, 8.488061)]","[(-1.4568546, 9.261621)]"
9,"[(-0.08706036, -9.176992)]","[(-0.7327353, -8.675307)]","[(-0.10364333, -7.8843627)]","[(-0.825929, -6.7737765)]","[(-0.59455204, -5.558327)]","[(-0.037889104, -4.838316)]","[(-0.23115611, -3.1099448)]","[(-0.047609583, -2.078895)]","[(-0.8250635, -1.3545879)]","[(-0.015836028, -0.80123717)]","[(-0.13695695, 0.4396565)]","[(-0.24379463, 1.6826266)]","[(-0.6740624, 2.6218743)]","[(-0.16727936, 3.9521782)]","[(-0.07200241, 4.650641)]","[(-0.51763994, 5.8453975)]","[(-0.2971455, 6.9162035)]","[(-0.14957464, 7.857966)]","[(-0.4855085, 8.040731)]","[(-0.7161214, 9.128436)]"
