,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,60/400,100,70,[0.5928],[0.2775],[0.0372],[0.9981],"[-6.2174,-9.4104]","[9.2135,8.3400]",35.57,1097.93
1,algoQD,1,86/400,100,53,[0.6062],[0.2897],[0.0131],[0.9981],"[-6.9859,-9.4104]","[9.2135,8.3400]",52.13,556.09
2,algoQD,2,105/400,100,48,[0.6272],[0.3015],[0.0107],[0.9991],"[-7.5976,-9.4104]","[9.2135,8.3400]",65.86,554.74
3,algoQD,3,122/400,100,39,[0.6624],[0.2901],[0.0107],[0.9991],"[-7.5976,-9.4104]","[9.2135,9.2180]",80.81,555.82
4,algoQD,4,137/400,100,35,[0.6983],[0.272],[0.0107],[0.9991],"[-8.4011,-9.4104]","[9.2135,9.2180]",95.67,554.73
5,algoQD,5,154/400,100,39,[0.7223],[0.2572],[0.0131],[0.9991],"[-9.5405,-9.4104]","[9.2135,9.2180]",111.24,552.15
6,algoQD,6,161/400,100,30,[0.7479],[0.2435],[0.0131],[0.9991],"[-9.5405,-9.4104]","[9.2135,9.2180]",120.42,550.25
7,algoQD,7,180/400,100,41,[0.7607],[0.238],[0.0131],[0.9991],"[-9.5405,-9.4104]","[9.2135,9.2180]",136.92,554.14
8,algoQD,8,192/400,100,30,[0.7684],[0.2353],[0.0131],[0.9996],"[-9.5405,-9.4104]","[9.2135,9.2180]",147.53,553.82
9,algoQD,9,200/400,100,28,[0.7831],[0.2198],[0.0131],[0.9996],"[-9.5784,-9.4104]","[9.2135,9.2180]",156.61,551.76
10,algoQD,10,211/400,100,29,[0.7906],[0.2194],[0.0131],[0.9996],"[-9.5784,-9.4104]","[9.2135,9.2180]",166.82,552.71
11,algoQD,11,217/400,100,21,[0.7985],[0.2156],[0.0131],[0.9996],"[-9.5784,-9.5374]","[9.2135,9.5423]",173.28,557.20
12,algoQD,12,228/400,100,27,[0.8017],[0.2083],[0.0131],[0.9996],"[-9.5784,-9.5374]","[9.2135,9.5423]",182.79,556.08
13,algoQD,13,236/400,100,23,[0.8132],[0.1998],[0.0138],[0.9996],"[-9.5784,-9.5374]","[9.0664,9.5423]",191.91,551.09
14,algoQD,14,242/400,100,27,[0.8334],[0.1806],[0.0138],[1.],"[-9.5784,-9.8663]","[9.0664,9.5423]",201.69,553.56
15,algoQD,15,251/400,100,24,[0.8364],[0.1783],[0.0138],[1.],"[-9.5784,-9.8663]","[9.8301,9.5423]",209.94,551.87
16,algoQD,16,258/400,100,21,[0.8367],[0.1807],[0.0138],[1.],"[-9.5405,-9.8663]","[9.8301,9.5423]",215.86,555.12
17,algoQD,17,263/400,100,18,[0.8421],[0.172],[0.0138],[1.],"[-9.5405,-9.8663]","[9.8301,9.5423]",221.46,553.87
18,algoQD,18,267/400,100,22,[0.8482],[0.1689],[0.0138],[1.],"[-9.5405,-9.8663]","[9.8301,9.6413]",226.47,551.59
19,algoQD,19,273/400,100,16,[0.8489],[0.167],[0.0138],[1.],"[-9.5405,-9.8663]","[9.8301,9.6413]",231.74,555.00
20,algoQD,20,277/400,100,16,[0.8549],[0.1591],[0.0138],[1.],"[-9.5405,-9.8663]","[9.8301,9.6413]",236.80,554.08
21,algoQD,21,283/400,100,22,[0.8615],[0.1555],[0.0138],[1.],"[-9.5405,-9.9241]","[9.8301,9.6413]",243.80,552.05
22,algoQD,22,286/400,100,20,[0.8659],[0.1529],[0.0138],[1.],"[-9.5405,-9.9241]","[9.8301,9.6413]",247.65,554.75
23,algoQD,23,290/400,100,19,[0.8705],[0.143],[0.2024],[1.],"[-9.5405,-9.9241]","[9.8301,9.6413]",252.46,553.43
24,algoQD,24,294/400,100,16,[0.8747],[0.1378],[0.2024],[1.],"[-9.5405,-9.9241]","[9.8301,9.6413]",257.15,559.08
25,algoQD,25,296/400,100,11,[0.8762],[0.1374],[0.2024],[1.],"[-9.5405,-9.9241]","[9.8301,9.6413]",259.36,555.56
26,algoQD,26,297/400,100,13,[0.8784],[0.1356],[0.2024],[1.],"[-9.5405,-9.9241]","[9.8301,9.6413]",260.89,556.67
27,algoQD,27,303/400,100,19,[0.8763],[0.1426],[0.2024],[1.],"[-9.5405,-9.9241]","[9.8301,9.6413]",265.51,553.07
28,algoQD,28,308/400,100,17,[0.8803],[0.136],[0.2024],[1.],"[-9.5405,-9.9241]","[9.8301,9.6413]",271.12,555.52
29,algoQD,29,313/400,100,19,[0.881],[0.1344],[0.2024],[1.],"[-9.7364,-9.9241]","[9.8301,9.6413]",275.74,550.83
30,algoQD,30,316/400,100,13,[0.8815],[0.1338],[0.2024],[1.],"[-9.7514,-9.9241]","[9.8301,9.6413]",278.56,555.94
31,algoQD,31,317/400,100,11,[0.884],[0.1327],[0.2024],[1.],"[-9.7514,-9.9241]","[9.8301,9.6413]",280.24,552.53
32,algoQD,32,320/400,100,13,[0.885],[0.131],[0.2693],[1.],"[-9.7514,-9.9241]","[9.8301,9.6413]",283.20,556.89
33,algoQD,33,322/400,100,15,[0.8877],[0.1303],[0.2693],[1.],"[-9.9491,-9.9241]","[9.8301,9.6413]",285.83,551.15
34,algoQD,34,324/400,100,12,[0.8892],[0.128],[0.2693],[1.],"[-9.9491,-9.9241]","[9.8301,9.6413]",288.10,553.43
35,algoQD,35,324/400,100,8,[0.89],[0.1278],[0.2693],[1.],"[-9.9491,-9.9241]","[9.8301,9.6413]",288.36,557.70
36,algoQD,36,324/400,100,9,[0.8938],[0.1193],[0.2693],[1.],"[-9.9491,-9.9920]","[9.8301,9.6413]",289.59,550.61
37,algoQD,37,326/400,100,15,[0.8955],[0.1191],[0.2693],[1.],"[-9.9491,-9.9920]","[9.8301,9.6413]",291.94,555.52
38,algoQD,38,327/400,100,8,[0.8968],[0.1185],[0.2693],[1.],"[-9.9491,-9.9920]","[9.8301,9.6413]",293.26,554.75
39,algoQD,39,329/400,100,8,[0.8951],[0.1229],[0.2693],[1.],"[-9.9491,-9.9920]","[9.8301,9.8033]",294.48,554.73
40,algoQD,40,332/400,100,10,[0.8947],[0.1229],[0.2693],[1.],"[-9.9491,-9.9920]","[9.8301,9.8033]",297.05,555.99
41,algoQD,41,332/400,100,10,[0.896],[0.123],[0.2693],[1.],"[-9.9491,-9.9241]","[9.8301,9.8033]",297.48,555.83
42,algoQD,42,334/400,100,9,[0.8957],[0.1236],[0.2693],[1.],"[-9.9491,-9.9241]","[9.8301,9.8033]",299.18,556.95
43,algoQD,43,336/400,100,10,[0.8971],[0.1212],[0.2693],[1.],"[-9.9491,-9.9241]","[9.8301,9.8033]",301.43,560.00
44,algoQD,44,337/400,100,11,[0.8983],[0.1209],[0.2693],[1.],"[-9.9491,-9.9241]","[9.8301,9.8033]",302.73,551.27
45,algoQD,45,340/400,100,15,[0.9025],[0.1145],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",306.86,553.56
46,algoQD,46,343/400,100,12,[0.9024],[0.115],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",309.51,555.38
47,algoQD,47,343/400,100,14,[0.9054],[0.1138],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",310.54,553.36
48,algoQD,48,344/400,100,8,[0.9065],[0.1124],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",311.83,557.48
49,algoQD,49,345/400,100,7,[0.9071],[0.112],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",312.94,553.87
50,algoQD,50,347/400,100,12,[0.9091],[0.1085],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",315.47,554.39
51,algoQD,51,348/400,100,11,[0.9122],[0.1062],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",317.43,554.51
52,algoQD,52,350/400,100,5,[0.9125],[0.1059],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",319.37,555.30
53,algoQD,53,352/400,100,9,[0.9135],[0.1059],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",321.55,551.18
54,algoQD,54,352/400,100,9,[0.9157],[0.1044],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",322.32,554.06
55,algoQD,55,352/400,100,3,[0.9165],[0.1032],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",322.60,554.83
56,algoQD,56,352/400,100,8,[0.9174],[0.1026],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",322.94,554.15
57,algoQD,57,352/400,100,7,[0.9181],[0.1024],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",323.18,555.21
58,algoQD,58,351/400,100,8,[0.9193],[0.1023],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",322.67,554.20
59,algoQD,59,351/400,100,8,[0.92],[0.1024],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",322.91,558.88
60,algoQD,60,353/400,100,12,[0.9216],[0.1],[0.4142],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",325.31,555.80
61,algoQD,61,355/400,100,9,[0.9211],[0.1014],[0.4001],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",326.98,552.78
62,algoQD,62,356/400,100,8,[0.9214],[0.1015],[0.4001],[1.],"[-9.9491,-9.9241]","[9.8301,9.8368]",328.04,554.77
63,algoQD,63,357/400,100,12,[0.9216],[0.1016],[0.4001],[1.],"[-9.9491,-9.9588]","[9.8301,9.8719]",329.01,557.25
64,algoQD,64,358/400,100,6,[0.9217],[0.1023],[0.4001],[1.],"[-9.9491,-9.9241]","[9.8301,9.8719]",329.96,554.78
65,algoQD,65,359/400,100,7,[0.9222],[0.1021],[0.4001],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",331.05,558.60
66,algoQD,66,360/400,100,6,[0.9208],[0.1079],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",331.48,554.54
67,algoQD,67,361/400,100,7,[0.9218],[0.107],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",332.78,553.63
68,algoQD,68,362/400,100,5,[0.9216],[0.1076],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",333.63,556.03
69,algoQD,69,362/400,100,4,[0.9223],[0.1073],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",333.86,551.82
70,algoQD,70,362/400,100,6,[0.9236],[0.1063],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",334.34,555.88
71,algoQD,71,363/400,100,10,[0.925],[0.1047],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",335.78,555.67
72,algoQD,72,363/400,100,8,[0.9264],[0.1035],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",336.28,560.64
73,algoQD,73,364/400,100,5,[0.9267],[0.1034],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",337.31,553.00
74,algoQD,74,364/400,100,5,[0.9275],[0.1028],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",337.60,556.06
75,algoQD,75,365/400,100,6,[0.9281],[0.1022],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",338.76,555.10
76,algoQD,76,366/400,100,6,[0.9286],[0.102],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",339.87,557.20
77,algoQD,77,367/400,100,8,[0.9292],[0.0999],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",341.03,557.09
78,algoQD,78,367/400,100,11,[0.9312],[0.0988],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",341.76,558.37
79,algoQD,79,367/400,100,6,[0.933],[0.0964],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",342.39,554.42
80,algoQD,80,367/400,100,3,[0.9339],[0.0958],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",342.75,558.07
81,algoQD,81,369/400,100,9,[0.9339],[0.0957],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",344.63,560.01
82,algoQD,82,370/400,100,11,[0.9341],[0.0972],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",345.61,554.71
83,algoQD,83,370/400,100,4,[0.9348],[0.0969],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",345.87,557.39
84,algoQD,84,371/400,100,6,[0.9337],[0.1007],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",346.39,543.54
85,algoQD,85,372/400,100,7,[0.9333],[0.1035],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",347.18,541.06
86,algoQD,86,373/400,100,9,[0.9338],[0.1036],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",348.31,528.52
87,algoQD,87,374/400,100,12,[0.9345],[0.1032],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",349.52,504.10
88,algoQD,88,374/400,100,4,[0.9348],[0.1031],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",349.63,500.30
89,algoQD,89,374/400,100,4,[0.9358],[0.1023],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",349.97,503.91
90,algoQD,90,374/400,100,7,[0.9364],[0.1022],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",350.21,502.54
91,algoQD,91,374/400,100,5,[0.9376],[0.1007],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",350.67,500.58
92,algoQD,92,374/400,100,4,[0.9379],[0.1007],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",350.78,503.43
93,algoQD,93,374/400,100,0,[0.9379],[0.1007],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",350.78,487.12
94,algoQD,94,374/400,100,4,[0.9381],[0.1007],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",350.84,484.53
95,algoQD,95,374/400,100,2,[0.9385],[0.1007],[0.2547],[1.],"[-9.9491,-9.9241]","[9.8301,9.9170]",350.98,479.65
96,algoQD,96,374/400,100,8,[0.94],[0.0996],[0.2547],[1.],"[-9.9491,-9.9241]","[9.9221,9.9465]",351.56,480.69
97,algoQD,97,374/400,100,5,[0.9416],[0.0976],[0.2547],[1.],"[-9.9491,-9.9241]","[9.9221,9.9465]",352.16,484.88
98,algoQD,98,374/400,100,2,[0.9417],[0.0977],[0.2547],[1.],"[-9.9491,-9.9241]","[9.9221,9.9465]",352.21,482.42
99,algoQD,99,374/400,100,4,[0.9421],[0.0977],[0.2547],[1.],"[-9.9491,-9.9241]","[9.9221,9.9465]",352.34,5.12
