Format Version,1.23,Take Name,Z-retning_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-15 11.17.53.590 A.M.,Capture Start Frame,12520083,Total Frames in Take,1867,Total Exported Frames,1867,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Q,Q,Q,Q,Q,Q
,ID,"40E39DF8FB0811EE8C9DA3D1AAC468C","40E39DF8FB0811EE8C9DA3D1AAC468C","40E39DF8FB0811EE8C9DA3D1AAC468C","40E39DF8FB0811EE8C9DA3D1AAC468C","40E39DF8FB0811EE8C9DA3D1AAC468C","40E39DF8FB0811EE8C9DA3D1AAC468C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-1.278827,1.759345,-1.537053,-16.289942,12.677876,16.951599
1,0.010000,-1.766590,1.785351,-1.375903,-16.314165,12.665521,16.949030
2,0.020000,-1.895686,2.121505,-1.374857,-16.254734,12.629740,16.898237
3,0.030000,-1.708362,2.016513,-1.214618,-16.247345,12.651452,16.887817
4,0.040000,-2.016287,2.088286,-1.378317,-16.261700,12.646641,16.890633
5,0.050000,-1.415329,2.418530,-1.383343,-16.285715,12.665233,16.884350
6,0.060000,-1.345245,2.337849,-1.546996,-16.271437,12.665039,16.883188
7,0.070000,-1.287867,2.322949,-1.470034,-16.271856,12.660119,16.884590
8,0.080000,-1.466319,1.842289,-1.554676,-16.292864,12.662804,16.935869
9,0.090000,-1.519243,1.752491,-1.786114,-16.303347,12.667224,16.931961
10,0.100000,-1.981278,2.057942,-1.445800,-16.254742,12.639915,16.886852
11,0.110000,-1.921875,2.112757,-1.210898,-16.253643,12.634956,16.894299
12,0.120000,-1.316859,2.318097,-1.484618,-16.268965,12.664482,16.880569
13,0.130000,-1.342005,2.302983,-1.480721,-16.282598,12.675683,16.885824
14,0.140000,-2.114215,1.190860,-1.552953,-16.271530,12.639645,16.945141
15,0.150000,-1.549980,2.380991,-1.386405,-16.277670,12.647167,16.890469
16,0.160000,-1.325130,2.320805,-1.452004,-16.281624,12.673882,16.887238
17,0.170000,-1.528092,1.759117,-1.583906,-16.298351,12.664144,16.941746
18,0.180000,-1.349246,2.312033,-1.521548,-16.280119,12.655933,16.884218
19,0.190000,-1.281727,2.240326,-1.668941,-16.292349,12.655571,16.882826
20,0.200000,-1.145049,2.172985,-1.978986,-16.303488,12.631701,16.885189
21,0.210000,-1.451752,2.396011,-1.460488,-16.274729,12.652485,16.884424
22,0.220000,-2.035709,2.055315,-1.446960,-16.245314,12.640387,16.885447
23,0.230000,-1.436939,2.298348,-1.629088,-16.279341,12.666276,16.877157
24,0.240000,-1.395951,2.294748,-1.541339,-16.282082,12.682706,16.879593
25,0.250000,-1.312270,2.345583,-1.412003,-16.279062,12.674305,16.883347
26,0.260000,-1.677600,1.931120,-1.223228,-16.240149,12.631908,16.894411
27,0.270000,-1.308499,2.354868,-1.396768,-16.281956,12.674457,16.886358
28,0.280000,-1.280029,2.347229,-1.406873,-16.277746,12.674388,16.885036
29,0.290000,-1.303168,2.353868,-1.465613,-16.272383,12.662353,16.884033
30,0.300000,-1.318181,2.360039,-1.437675,-16.276289,12.674710,16.883026
31,0.310000,-1.331112,2.327257,-1.479602,-16.272572,12.662710,16.884541
32,0.320000,-1.474956,1.835036,-1.537762,-16.296038,12.665129,16.935263
33,0.330000,-1.346249,2.318607,-1.502799,-16.272457,12.664360,16.883398
34,0.340000,-1.408065,2.256901,-1.538091,-16.280697,12.682202,16.877378
35,0.350000,-1.324414,2.340657,-1.432550,-16.279091,12.677723,16.883568
36,0.360000,-1.519961,1.869369,-1.647254,-16.302017,12.656646,16.931635
37,0.370000,-1.410109,2.292146,-1.629678,-16.276127,12.673016,16.879549
38,0.380000,-1.498073,1.778182,-1.605821,-16.294041,12.666840,16.940027
39,0.390000,-1.371419,2.316377,-1.501748,-16.269382,12.664138,16.882954
40,0.400000,-1.425828,2.289874,-1.533711,-16.281313,12.681183,16.881327
41,0.410000,-1.334513,2.365124,-1.397294,-16.277370,12.677723,16.881647
42,0.420000,-1.331791,2.317980,-1.413807,-16.277447,12.674528,16.885780
43,0.430000,-1.304006,2.327014,-1.489797,-16.269026,12.665730,16.883240
44,0.440000,-1.347903,2.381083,-1.293476,-16.288023,12.659688,16.888826
45,0.450000,-1.388529,2.289558,-1.492800,-16.278587,12.682368,16.879343
46,0.460000,-1.312314,2.312325,-1.437769,-16.280018,12.673243,16.884844
47,0.470000,-1.310842,2.347109,-1.412949,-16.277683,12.675188,16.882975
48,0.480000,-1.344768,2.339500,-1.526152,-16.274893,12.666040,16.884357
49,0.490000,-1.320128,2.344835,-1.489889,-16.269728,12.665287,16.880753
50,0.500000,-1.400647,2.275487,-1.590280,-16.275431,12.669838,16.880505
51,0.510000,-1.399822,2.242128,-1.655744,-16.272604,12.669773,16.880878
52,0.520000,-1.327917,2.327518,-1.522070,-16.272293,12.663648,16.885611
53,0.530000,-1.322636,2.335268,-1.498030,-16.275164,12.664019,16.883991
54,0.540000,-1.308057,2.341703,-1.495975,-16.270506,12.661680,16.882833
55,0.550000,-1.380788,2.316139,-1.514366,-16.269964,12.664893,16.883411
56,0.560000,-1.429460,2.415877,-1.471457,-16.279760,12.655542,16.884304
57,0.570000,-2.026673,2.055422,-1.456092,-16.251728,12.636731,16.892603
58,0.580000,-1.488336,1.847245,-1.539215,-16.297012,12.664384,16.936487
59,0.590000,-1.315532,2.341308,-1.383559,-16.276154,12.672174,16.882711
60,0.600000,-1.309597,2.349401,-1.498484,-16.269888,12.663206,16.881563
61,0.610000,-1.926720,2.111599,-1.283355,-16.249846,12.628317,16.896152
62,0.620000,-1.386573,2.298772,-1.517695,-16.276819,12.679623,16.879543
63,0.630000,-1.348891,2.289217,-1.549140,-16.271784,12.662196,16.889429
64,0.640000,-1.561758,2.393079,-1.344106,-16.281055,12.658574,16.888466
65,0.650000,-1.556579,2.403026,-1.357788,-16.285889,12.658790,16.890224
66,0.660000,-1.309779,2.319933,-1.433793,-16.281006,12.674585,16.887270
67,0.670000,-1.321725,2.324067,-1.470987,-16.266880,12.664859,16.878635
68,0.680000,-2.026737,2.071646,-1.339882,-16.258326,12.644689,16.890110
69,0.690000,-1.320219,2.303230,-1.437243,-16.281273,12.675608,16.879829
70,0.700000,-1.288424,2.341337,-1.472109,-16.274418,12.661274,16.886671
71,0.710000,-1.308061,2.341700,-1.495972,-16.270506,12.661680,16.882833
72,0.720000,-1.797789,1.961768,-1.304803,-16.237026,12.628679,16.885948
73,0.730000,-1.149365,2.229137,-1.978241,-16.310120,12.636871,16.881907
74,0.740000,-1.311953,2.324728,-1.388297,-16.276047,12.674567,16.882601
75,0.750000,-1.833547,2.122807,-1.211145,-16.254076,12.623544,16.896416
76,0.760000,-1.460391,2.373824,-1.541571,-16.283592,12.656945,16.887089
77,0.770000,-1.331113,2.327260,-1.479604,-16.272572,12.662710,16.884541
78,0.780000,-1.597249,1.815391,-1.488768,-16.302128,12.654745,16.941170
79,0.790000,-1.353336,2.364372,-1.529098,-16.272602,12.666732,16.885651
80,0.800000,-1.333719,2.303543,-1.438986,-16.279982,12.674588,16.888071
81,0.810000,-1.349517,2.323179,-1.505617,-16.272715,12.664497,16.884188
82,0.820000,-1.291043,2.324211,-1.496288,-16.273249,12.659695,16.885950
83,0.830000,-1.132086,2.207498,-1.961966,-16.311081,12.635563,16.879948
84,0.840000,-1.959908,2.113292,-1.249739,-16.256922,12.637808,16.895500
85,0.850000,-1.879028,2.069642,-1.269893,-16.252769,12.647036,16.893171
86,0.860000,-1.845358,2.035710,-1.335290,-16.245586,12.638002,16.894156
87,0.870000,-1.311079,2.345542,-1.410426,-16.279585,12.674080,16.883762
88,0.880000,-1.446701,1.856920,-1.360607,-16.304539,12.674737,16.934139
89,0.890000,-1.345277,2.339181,-1.526956,-16.273144,12.666474,16.882904
90,0.900000,-1.238556,2.335831,-1.316870,-16.282164,12.666970,16.884445
91,0.910000,-1.467554,1.784437,-1.511897,-16.297064,12.664490,16.934795
92,0.920000,-1.348677,2.341420,-1.530527,-16.276909,12.654906,16.883730
93,0.930000,-1.359761,2.322894,-1.519400,-16.271544,12.665714,16.883228
94,0.940000,-1.316631,2.343549,-1.487158,-16.274172,12.663471,16.884214
95,0.950000,-1.273131,2.343642,-1.372552,-16.276663,12.674728,16.883247
96,0.960000,-1.271543,2.350888,-1.381213,-16.279188,12.674433,16.887852
97,0.970000,-1.504145,1.818999,-1.608439,-16.296959,12.665536,16.938717
98,0.980000,-2.026242,2.026075,-1.480764,-16.253469,12.635385,16.895218
99,0.990000,-1.986219,1.303393,-1.365368,-16.270395,12.639175,16.956085
100,1.000000,-1.331275,2.341815,-1.438711,-16.279100,12.676166,16.882948
101,1.010000,-1.521212,1.771645,-1.553600,-16.300030,12.665822,16.939554
102,1.020000,-1.343373,2.349605,-1.520604,-16.275944,12.654421,16.883968
103,1.030000,-1.255948,2.325814,-1.402076,-16.275303,12.657231,16.885138
104,1.040000,-1.293593,2.328858,-1.362324,-16.275934,12.672774,16.882978
105,1.050000,-1.331769,2.334898,-1.510352,-16.274057,12.665120,16.883074
106,1.060000,-1.292042,2.339942,-1.396496,-16.279095,12.674870,16.884237
107,1.070000,-1.331275,2.341815,-1.438711,-16.279100,12.676166,16.882948
108,1.080000,-1.299716,2.331776,-1.425488,-16.280855,12.677174,16.886871
109,1.090000,-1.735867,1.952202,-1.301771,-16.236698,12.639694,16.892082
110,1.100000,-1.935024,2.116907,-1.228019,-16.252760,12.635498,16.893917
111,1.110000,-1.238550,2.335840,-1.316877,-16.282164,12.666970,16.884445
112,1.120000,-1.861794,2.107409,-1.219985,-16.251703,12.621349,16.896957
113,1.130000,-1.310606,2.347537,-1.477733,-16.272539,12.663168,16.883383
114,1.140000,-1.455968,1.814841,-1.708129,-16.299833,12.658101,16.933432
115,1.150000,-1.232140,2.168252,-2.038870,-16.320805,12.653671,16.877359
116,1.160000,-1.244612,2.313909,-1.437745,-16.276106,12.654985,16.886850
117,1.170000,-1.403202,2.391054,-1.370042,-16.287239,12.664024,16.884472
118,1.180000,-1.315786,2.350286,-1.415065,-16.279306,12.674464,16.884146
119,1.190000,-2.086606,1.396618,-1.263168,-16.291046,12.636490,16.965912
120,1.200000,-1.441411,2.266229,-1.960362,-16.317373,12.620826,16.888384
121,1.210000,-1.126564,2.211517,-1.882176,-16.319298,12.642410,16.881231
122,1.220000,-1.703365,1.755854,-1.674582,-16.307962,12.666777,16.940018
123,1.230000,-1.716189,2.017329,-1.337492,-16.239716,12.640427,16.887030
124,1.240000,-1.277108,2.300284,-1.387815,-16.278276,12.671861,16.889309
125,1.250000,-1.312123,2.301151,-1.431264,-16.281956,12.672314,16.887392
126,1.260000,-1.305788,2.309550,-1.520539,-16.277599,12.661303,16.890194
127,1.270000,-1.333141,2.321664,-1.415650,-16.280106,12.673752,16.884867
128,1.280000,-1.370679,2.277099,-1.539132,-16.274885,12.686422,16.875355
129,1.290000,-1.458377,2.370914,-1.437701,-16.287037,12.665508,16.888533
130,1.300000,-1.349987,2.321241,-1.537336,-16.276848,12.663182,16.887941
131,1.310000,-1.369056,2.394319,-1.330249,-16.289112,12.662400,16.884428
132,1.320000,-1.932132,2.103456,-1.293450,-16.250824,12.628805,16.895926
133,1.330000,-1.404375,2.248118,-1.552616,-16.282181,12.682067,16.883043
134,1.340000,-1.349522,2.306839,-1.488167,-16.276628,12.679839,16.878222
135,1.350000,-1.322529,2.305904,-1.522266,-16.276905,12.662673,16.886608
136,1.360000,-1.302258,2.307073,-1.462224,-16.271925,12.658976,16.886316
137,1.370000,-1.313169,2.297794,-1.480015,-16.273491,12.659881,16.886442
138,1.380000,-1.506651,1.846175,-1.580035,-16.298450,12.667744,16.937981
139,1.390000,-1.597795,1.817543,-1.488465,-16.304871,12.655279,16.940857
140,1.400000,-1.335786,2.312050,-1.557550,-16.273712,12.662620,16.886665
141,1.410000,-1.324471,2.352205,-1.415618,-16.278128,12.677172,16.882645
142,1.420000,-1.317335,2.339349,-1.489535,-16.271734,12.664169,16.881721
143,1.430000,-1.306234,2.315846,-1.457435,-16.277657,12.677903,16.887764
144,1.440000,-1.411931,1.816806,-1.514277,-16.305824,12.668012,16.930050
145,1.450000,-1.503310,1.832787,-1.564915,-16.299110,12.667462,16.937267
146,1.460000,-1.331816,2.323056,-1.481990,-16.270134,12.663409,16.882046
147,1.470000,-1.252271,2.303792,-1.429003,-16.277950,12.655933,16.887016
148,1.480000,-1.340465,2.350636,-1.488614,-16.271950,12.660739,16.885092
149,1.490000,-1.294495,2.360993,-1.451559,-16.272644,12.661309,16.885120
150,1.500000,-1.343092,2.321613,-1.507125,-16.272459,12.664582,16.884993
151,1.510000,-2.128678,1.422669,-1.363729,-16.276634,12.628081,16.960386
