Format Version,1.23,Take Name,2_linje1_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-05 03.01.50.249 P.M.,Capture Start Frame,11377937,Total Frames in Take,1740,Total Exported Frames,1740,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2
,ID,"7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.915730,-0.110214,4.852814,27.839834,12.234345,-33.271080
1,0.010000,0.905086,-0.122179,4.842402,27.840809,12.234018,-33.273052
2,0.020000,0.800459,-0.143289,4.915449,27.839178,12.221907,-33.279297
3,0.030000,,,,,,
4,0.040000,,,,,,
5,0.050000,,,,,,
6,0.060000,,,,,,
7,0.070000,,,,,,
8,0.080000,,,,,,
9,0.090000,,,,,,
10,0.100000,,,,,,
11,0.110000,,,,,,
12,0.120000,,,,,,
13,0.130000,,,,,,
14,0.140000,0.890342,-0.110755,4.863817,27.843380,12.235334,-33.272137
15,0.150000,0.895643,-0.119026,4.870966,27.839571,12.234746,-33.273308
16,0.160000,0.896692,-0.113613,4.837537,27.841675,12.237480,-33.270287
17,0.170000,0.907131,-0.130999,4.929625,27.840620,12.234979,-33.271549
18,0.180000,0.912058,-0.120410,4.866843,27.842178,12.236076,-33.268307
19,0.190000,0.929111,-0.114007,4.870387,27.839830,12.234819,-33.272263
20,0.200000,0.917089,-0.098587,4.860647,27.841803,12.233354,-33.271786
21,0.210000,0.883774,-0.167601,4.897917,27.847418,12.227355,-33.276630
22,0.220000,,,,,,
23,0.230000,,,,,,
24,0.240000,,,,,,
25,0.250000,,,,,,
26,0.260000,,,,,,
27,0.270000,,,,,,
28,0.280000,,,,,,
29,0.290000,,,,,,
30,0.300000,,,,,,
31,0.310000,,,,,,
32,0.320000,,,,,,
33,0.330000,0.922647,-0.095073,4.870460,27.840401,12.234241,-33.268894
34,0.340000,0.922134,-0.101697,4.849401,27.841303,12.232533,-33.271687
35,0.350000,0.921624,-0.117232,4.868318,27.840237,12.233944,-33.273422
36,0.360000,0.917058,-0.124679,4.864083,27.843386,12.234587,-33.271008
37,0.370000,0.885623,-0.092785,4.824727,27.841217,12.238739,-33.273598
38,0.380000,0.863898,-0.109338,4.864453,27.841866,12.234351,-33.271484
39,0.390000,0.904999,-0.129162,4.871312,27.842506,12.234448,-33.271511
40,0.400000,0.894882,-0.083513,4.831353,27.841944,12.236847,-33.272114
