Format Version,1.23,Take Name,1_linje1_004,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-05 03.21.07.588 P.M.,Capture Start Frame,11493632,Total Frames in Take,1786,Total Exported Frames,1786,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2
,ID,"7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.668617,-6.233799,0.728321,24.789814,12.127885,-32.384163
1,0.010000,0.465459,-6.405828,0.879608,24.777958,12.132642,-32.378681
2,0.020000,0.709092,-6.219528,0.849843,24.786091,12.138332,-32.384659
3,0.030000,0.692996,-6.245765,0.765146,24.786028,12.127242,-32.381870
4,0.040000,,,,,,
5,0.050000,,,,,,
6,0.060000,,,,,,
7,0.070000,,,,,,
8,0.080000,,,,,,
9,0.090000,,,,,,
10,0.100000,,,,,,
11,0.110000,,,,,,
12,0.120000,0.444876,-6.269636,0.665427,24.780039,12.153998,-32.369495
13,0.130000,0.686099,-6.239136,0.751985,24.786837,12.128038,-32.383419
14,0.140000,,,,,,
15,0.150000,,,,,,
16,0.160000,,,,,,
17,0.170000,,,,,,
18,0.180000,,,,,,
19,0.190000,,,,,,
20,0.200000,,,,,,
21,0.210000,,,,,,
22,0.220000,,,,,,
23,0.230000,,,,,,
24,0.240000,0.733323,-6.215868,0.891719,24.783781,12.135343,-32.383175
25,0.250000,0.667159,-6.216791,0.774176,24.789488,12.131815,-32.385559
26,0.260000,0.696522,-6.217045,0.798508,24.789890,12.127929,-32.385044
27,0.270000,0.695909,-6.234965,0.747482,24.788565,12.127457,-32.383644
28,0.280000,0.712649,-6.256506,0.764659,24.788633,12.124775,-32.381050
29,0.290000,0.694966,-6.218282,0.853089,24.785149,12.139293,-32.382278
30,0.300000,0.570311,-6.374308,0.840763,24.777710,12.140504,-32.375271
31,0.310000,0.590204,-6.360628,0.862160,24.775948,12.138367,-32.376263
32,0.320000,0.655013,-6.221221,0.710440,24.786114,12.129844,-32.382828
33,0.330000,0.682939,-6.206202,0.791855,24.789480,12.129929,-32.384621
34,0.340000,0.656521,-6.214032,0.771329,24.787876,12.132180,-32.382835
35,0.350000,0.586511,-6.378004,0.858903,24.775591,12.138207,-32.374199
36,0.360000,0.720659,-6.285069,0.747065,24.773836,12.134243,-32.382603
37,0.370000,0.681275,-6.215814,0.785740,24.789408,12.130301,-32.385670
38,0.380000,0.661213,-6.211174,0.822029,24.788435,12.127493,-32.384838
