Format Version,1.23,Take Name,1_linje1_005,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-05 03.15.50.180 P.M.,Capture Start Frame,11461902,Total Frames in Take,1766,Total Exported Frames,1766,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2
,ID,"7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.442017,-2.663230,-0.342696,23.221809,12.187851,-36.289013
1,0.010000,0.482366,-2.629266,-0.344681,23.216877,12.190732,-36.287636
2,0.020000,0.476823,-2.627682,-0.342912,23.217314,12.190629,-36.286266
3,0.030000,0.457635,-2.653135,-0.377606,23.220045,12.191172,-36.286995
4,0.040000,0.496595,-2.637266,-0.371241,23.222095,12.190786,-36.288399
5,0.050000,0.661216,-2.482237,-0.472954,23.244469,12.164329,-36.294590
6,0.060000,0.495671,-2.360909,-0.226874,23.257511,12.182960,-36.297783
7,0.070000,0.433220,-2.620374,-0.387021,23.216860,12.189543,-36.286766
8,0.080000,0.571318,-2.345694,-0.322241,23.256933,12.185607,-36.305843
9,0.090000,0.559433,-2.333366,-0.256584,23.259262,12.189084,-36.295570
10,0.100000,0.460445,-2.646512,-0.355872,23.219446,12.186716,-36.286076
11,0.110000,0.452307,-2.629921,-0.392289,23.219370,12.190896,-36.286621
12,0.120000,0.568839,-2.346732,-0.344809,23.254534,12.184258,-36.298389
13,0.130000,0.567730,-2.275521,-0.280467,23.255396,12.188361,-36.304581
14,0.140000,0.480161,-2.651709,-0.362766,23.221098,12.191264,-36.289768
15,0.150000,0.439953,-2.668506,-0.304340,23.213772,12.192544,-36.294468
16,0.160000,0.492486,-2.659881,-0.335276,23.219576,12.191370,-36.288227
17,0.170000,0.444664,-2.623182,-0.262523,23.225002,12.197312,-36.293980
18,0.180000,0.509881,-2.283736,-0.206758,23.257923,12.190878,-36.299408
19,0.190000,0.488749,-2.660401,-0.368000,23.218699,12.188147,-36.290432
20,0.200000,0.548744,-2.310631,-0.323255,23.253363,12.183342,-36.301468
21,0.210000,0.485225,-2.644907,-0.338464,23.218643,12.191069,-36.287109
22,0.220000,0.450987,-2.625518,-0.356686,23.219387,12.188903,-36.287014
23,0.230000,0.605669,-2.331713,-0.367398,23.258198,12.182269,-36.298458
24,0.240000,0.463357,-2.656934,-0.361194,23.218470,12.192123,-36.286644
25,0.250000,0.585916,-2.312421,-0.303964,23.254677,12.181586,-36.307022
