Format Version,1.23,Take Name,1_linje1_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-05 02.41.33.755 P.M.,Capture Start Frame,11256329,Total Frames in Take,1826,Total Exported Frames,1826,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2
,ID,"7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.399818,-6.704175,0.006083,27.061096,12.173044,-30.255709
1,0.010000,-0.464779,-6.662128,-0.068665,27.058157,12.181004,-30.251671
2,0.020000,-0.478748,-6.672458,-0.036295,27.058104,12.181314,-30.252865
3,0.030000,-0.420263,-6.632465,-0.106064,27.063080,12.176293,-30.253071
4,0.040000,-0.414096,-6.635181,-0.101860,27.062279,12.177849,-30.258173
5,0.050000,-0.474221,-6.671601,-0.050657,27.060240,12.181448,-30.253819
6,0.060000,-0.443251,-6.670844,-0.033234,27.059906,12.183572,-30.253750
7,0.070000,-0.443277,-6.710143,-0.084773,27.060556,12.180330,-30.251015
8,0.080000,-0.455249,-6.701603,-0.046709,27.061167,12.183274,-30.253292
9,0.090000,-0.477677,-6.670373,-0.033079,27.059647,12.181357,-30.253298
10,0.100000,-0.432867,-6.684785,-0.067929,27.060017,12.180737,-30.251837
11,0.110000,-0.425128,-6.639372,-0.082262,27.061781,12.179043,-30.258745
12,0.120000,-0.456575,-6.675966,-0.057449,27.060652,12.184973,-30.254683
13,0.130000,-0.434092,-6.679490,-0.053952,27.060270,12.182820,-30.249166
14,0.140000,-0.371501,-6.647340,-0.029804,27.066635,12.175677,-30.261377
15,0.150000,-0.484061,-6.696043,-0.040552,27.058441,12.182386,-30.252069
16,0.160000,-0.444401,-6.668404,-0.054865,27.061352,12.181306,-30.252249
17,0.170000,-0.446607,-6.641021,-0.150478,27.063475,12.175637,-30.254993
18,0.180000,-0.433174,-6.667692,-0.045829,27.059769,12.182283,-30.251497
19,0.190000,-0.466380,-6.659879,-0.061331,27.060335,12.179558,-30.252584
20,0.200000,-0.465206,-6.650351,-0.045854,27.060179,12.180524,-30.252895
21,0.210000,-0.427949,-6.633591,-0.126836,27.064922,12.179502,-30.257534
22,0.220000,-0.457687,-6.664170,-0.058284,27.061621,12.182712,-30.252747
23,0.230000,-0.440212,-6.620931,-0.097313,27.062830,12.178021,-30.258492
24,0.240000,-0.404066,-6.650795,-0.122720,27.063889,12.177840,-30.256998
