Format Version,1.23,Take Name,2_linje1_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-05 02.52.36.087 P.M.,Capture Start Frame,11322540,Total Frames in Take,1788,Total Exported Frames,1788,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2
,ID,"7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.235861,1.596975,0.511456,25.651276,12.155263,-34.198570
1,0.010000,0.260397,1.639944,0.499063,25.650852,12.155126,-34.196709
2,0.020000,0.257418,1.626321,0.508644,25.648426,12.153389,-34.199120
3,0.030000,0.269215,1.616417,0.508973,25.649982,12.153997,-34.197025
4,0.040000,0.285093,1.595703,0.529484,25.654894,12.154363,-34.195515
5,0.050000,0.245380,1.579602,0.528148,25.652317,12.151464,-34.195148
6,0.060000,0.313936,1.607013,0.520614,25.649313,12.155849,-34.203999
7,0.070000,0.249820,1.602666,0.549287,25.651207,12.155602,-34.196327
8,0.080000,0.284952,1.629169,0.513254,25.652617,12.154226,-34.200619
9,0.090000,0.231595,1.618995,0.562507,25.654406,12.153945,-34.197704
10,0.100000,0.238362,1.594009,0.490429,25.653162,12.152490,-34.196499
11,0.110000,0.295782,1.628071,0.487054,25.650402,12.156839,-34.200481
12,0.120000,0.258875,1.625995,0.502931,25.649504,12.153743,-34.198788
13,0.130000,0.229548,1.601101,0.493003,25.653330,12.154433,-34.197609
14,0.140000,0.321043,1.633971,0.520191,25.650215,12.155029,-34.195442
15,0.150000,0.273207,1.592339,0.561881,25.655737,12.156240,-34.194359
16,0.160000,0.229867,1.616038,0.486836,25.651512,12.155899,-34.198997
17,0.170000,0.303880,1.624143,0.500696,25.649155,12.156250,-34.196995
18,0.180000,0.255320,1.581882,0.499741,25.650745,12.159794,-34.196274
19,0.190000,0.270237,1.619456,0.527645,25.651941,12.153416,-34.199375
20,0.200000,0.273840,1.615657,0.541855,25.650961,12.151525,-34.196365
21,0.210000,0.255945,1.593187,0.515495,25.651485,12.153131,-34.199238
22,0.220000,0.281179,1.640102,0.504481,25.652897,12.154363,-34.197754
23,0.230000,0.248048,1.622115,0.558878,25.652527,12.154914,-34.195633
24,0.240000,0.280950,1.611119,0.497285,25.650227,12.155579,-34.200253
25,0.250000,0.228762,1.603793,0.532455,25.655418,12.159025,-34.193535
26,0.260000,0.264557,1.635177,0.525028,25.652796,12.152981,-34.194855
