Format Version,1.23,Take Name,1_linje1_005,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-05 02.49.24.429 P.M.,Capture Start Frame,11303381,Total Frames in Take,1892,Total Exported Frames,1892,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2
,ID,"7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.629912,1.691184,0.611961,27.874989,12.155642,-32.636066
1,0.010000,-0.704382,1.702893,0.585438,27.878016,12.157371,-32.631641
2,0.020000,-0.681712,1.678482,0.642464,27.879316,12.156731,-32.630722
3,0.030000,-0.688215,1.689639,0.622906,27.877123,12.153715,-32.632328
4,0.040000,-0.646572,1.679488,0.624290,27.877426,12.155375,-32.635612
5,0.050000,-0.692414,1.718860,0.618938,27.875555,12.149822,-32.635017
6,0.060000,-0.693239,1.688980,0.559945,27.877348,12.156699,-32.635345
7,0.070000,-0.690151,1.705041,0.620647,27.879602,12.153923,-32.631813
8,0.080000,-0.702217,1.677339,0.593716,27.877829,12.156304,-32.630779
9,0.090000,-0.653821,1.697973,0.617134,27.877354,12.155011,-32.633221
10,0.100000,-0.696492,1.695609,0.621509,27.878099,12.155998,-32.631721
11,0.110000,-0.677867,1.690161,0.635058,27.877432,12.152016,-32.634823
12,0.120000,-0.689579,1.687761,0.613882,27.875614,12.152305,-32.631027
13,0.130000,-0.684953,1.687907,0.639521,27.877790,12.151893,-32.631123
14,0.140000,-0.662681,1.689778,0.643757,27.876606,12.151461,-32.632481
15,0.150000,-0.690365,1.700077,0.645027,27.874491,12.151638,-32.631683
16,0.160000,-0.740217,1.697506,0.593358,27.877068,12.157563,-32.627922
17,0.170000,-0.697706,1.689359,0.591191,27.879721,12.157384,-32.634617
18,0.180000,-0.682394,1.713267,0.582416,27.876562,12.152989,-32.633141
19,0.190000,-0.690896,1.711877,0.623464,27.877510,12.153096,-32.633572
20,0.200000,-0.688262,1.722273,0.605984,27.880341,12.152614,-32.634605
21,0.210000,-0.669013,1.717073,0.608661,27.876223,12.152111,-32.635490
22,0.220000,-0.721027,1.673712,0.602536,27.879805,12.154612,-32.630150
23,0.230000,-0.719296,1.697784,0.593001,27.877314,12.155530,-32.633251
24,0.240000,-0.730456,1.684224,0.614268,27.877811,12.152944,-32.630474
25,0.250000,-0.683401,1.706615,0.588569,27.876717,12.157347,-32.629505
26,0.260000,-0.677799,1.699096,0.595754,27.877314,12.156209,-32.634880
