Format Version,1.23,Take Name,Z_TWoff_B_1_linje1_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-05 02.05.05.766 P.M.,Capture Start Frame,11037605,Total Frames in Take,1784,Total Exported Frames,1784,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2
,ID,"7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.811392,-4.695032,1.144113,29.845774,12.169019,-33.283794
1,0.010000,-0.701976,-4.629064,1.075148,29.850235,12.161794,-33.286175
2,0.020000,-0.762018,-4.651004,1.065204,29.854753,12.159945,-33.286774
3,0.030000,-0.769200,-4.663660,1.188343,29.846998,12.168811,-33.284199
4,0.040000,-0.770018,-4.657558,1.122384,29.848730,12.167068,-33.287415
5,0.050000,-0.722896,-4.656104,1.066591,29.850540,12.153861,-33.279961
6,0.060000,-0.699507,-4.640570,1.074673,29.849154,12.159642,-33.283909
7,0.070000,-0.787751,-4.679169,1.140045,29.849613,12.166729,-33.287258
8,0.080000,-0.785745,-4.657313,1.153925,29.850418,12.165071,-33.285027
9,0.090000,-0.722612,-4.657901,1.107095,29.847273,12.150780,-33.278400
10,0.100000,-0.759655,-4.667623,1.132142,29.848867,12.168220,-33.287277
11,0.110000,-0.741504,-4.700457,1.213258,29.842800,12.159029,-33.274742
12,0.120000,-0.694300,-4.649680,1.018602,29.851467,12.146811,-33.279346
13,0.130000,-0.751473,-4.636022,1.142349,29.848618,12.163057,-33.288124
14,0.140000,-0.747534,-4.667288,1.096182,29.854164,12.161179,-33.284435
15,0.150000,-0.726107,-4.682502,1.167605,29.843880,12.160990,-33.279854
16,0.160000,-0.807263,-4.709398,1.153957,29.849117,12.166264,-33.281967
17,0.170000,-0.799817,-4.689115,1.153210,29.848829,12.168275,-33.284958
18,0.180000,-0.757899,-4.657124,1.126792,29.845106,12.167042,-33.286404
19,0.190000,-0.764489,-4.698501,1.093667,29.847807,12.154371,-33.278873
20,0.200000,-0.683176,-4.627593,1.033984,29.850651,12.145280,-33.277573
21,0.210000,-0.699585,-4.643286,1.112406,29.852098,12.160056,-33.283413
22,0.220000,-0.693147,-4.651390,1.053558,29.850677,12.144833,-33.273502
23,0.230000,-0.758590,-4.662956,1.191700,29.846016,12.166232,-33.282230
24,0.240000,-0.724196,-4.658572,1.066397,29.851162,12.161073,-33.286736
25,0.250000,-0.787201,-4.689946,1.131722,29.847055,12.167176,-33.285336
