,x,z,y_rot,ind
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0
2,-0.00065353105,0.00090615684,1.6071432,0
3,-0.002437349,0.0041963737,3.0690358,0
4,-0.005103244,0.008501634,4.374073,0
5,-0.008215235,0.0131298825,5.513048,0
6,-0.011421216,0.017754005,6.477834,0
7,-0.014602652,0.022130555,7.2812448,0
8,-0.017618423,0.02615298,7.94494,0
9,-0.01591628,0.029493388,8.372287,0
10,-0.0141767515,0.04070938,8.581051,0
11,-0.011836585,0.05889105,8.678347,0
12,-0.0075508514,0.0800993,8.342616,0
13,-0.002991327,0.09465201,8.021946,0
14,-0.00079667196,0.10297994,7.3928475,0
15,-0.0032578371,0.109650254,6.8338842,0
16,-0.005331196,0.11575024,6.293779,0
17,-0.006897513,0.11958571,5.92799,0
18,-0.010148209,0.123250335,5.945727,0
19,-0.017650617,0.13768867,6.1465125,0
20,-0.025390534,0.15267405,5.913818,0
21,-0.03302319,0.17444706,5.4546976,0
22,-0.04128714,0.20513971,4.9791265,0
23,-0.05110103,0.23940267,4.312274,0
24,-0.05904352,0.2728179,3.555153,0
25,-0.06580476,0.31045952,2.549661,0
26,-0.07119542,0.34826726,1.4091733,0
27,-0.07992661,0.3832549,0.23559439,0
28,-0.086035,0.41728777,-0.8550123,0
29,-0.09164141,0.45331153,-1.8602613,0
30,-0.0969822,0.4884888,-2.8365493,0
31,-0.09536973,0.52951634,-4.0077224,0
32,-0.087922156,0.56367767,-5.2641006,0
33,-0.07976601,0.5970759,-6.5290847,0
34,-0.069972046,0.63132775,-7.6663527,0
35,-0.056680463,0.66523767,-8.923433,0
36,-0.04290988,0.69609475,-10.324038,0
37,-0.030105496,0.7216307,-11.65494,0
38,-0.016995832,0.7432734,-12.717989,0
39,-0.010293841,0.75310755,-12.883852,0
40,-0.0007136925,0.7638523,-13.449282,0
41,0.008180243,0.7700321,-13.65143,0
42,0.016993497,0.77596873,-13.691774,0
43,0.026710195,0.7816775,-13.617006,0
44,0.037744306,0.7862257,-13.442293,0
45,0.04823354,0.78752303,-13.168978,0
46,0.057487495,0.7840321,-12.847597,0
47,0.064921685,0.78311086,-12.433443,0
48,0.07213093,0.7833195,-11.683687,0
49,0.07893476,0.78673816,-10.914949,0
50,0.08472136,0.79179186,-10.1781025,0
51,0.0900011,0.7983539,-9.409578,0
52,0.097993925,0.8037935,-8.486513,0
53,0.10363191,0.81050354,-7.709322,0
54,0.10886789,0.8155512,-6.7250996,0
55,0.11238974,0.8189857,-6.0105915,0
56,0.11335791,0.8203164,-5.7800922,0
57,0.11131857,0.8191988,-6.1457844,0
58,0.09944533,0.8481794,-6.370119,0
59,0.088371366,0.8552296,-6.196108,0
60,0.08561331,0.8467578,-6.47278,0
61,0.093392,0.82218975,-6.0549335,0
62,0.10038349,0.79284227,-5.5827045,0
63,0.10253668,0.7649815,-6.2173786,0
64,0.10662667,0.7379961,-6.3473225,0
65,0.11002719,0.7094552,-6.3781147,0
