,x,z,y_rot,ind
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0
2,0.009259884,0.0025656098,-0.56573486,0
3,0.021034423,0.007808756,-1.1441956,0
4,0.032390684,0.013954844,-1.7098083,0
5,0.042496286,0.020100933,-2.2554932,0
6,0.051203597,0.0257466,-2.7974243,0
7,0.058428355,0.030707113,-3.3225098,0
8,0.064177334,0.034937978,-3.8267517,0
9,0.068614274,0.03850378,-4.3096313,0
10,0.07160412,0.041290328,-4.8123474,0
11,0.07159506,0.043009274,-5.590027,0
12,0.07085247,0.04493572,-6.475067,0
13,0.07539762,0.04797981,-6.9117737,0
14,0.07671988,0.05203274,-6.8499146,0
15,0.07772471,0.05142228,-6.8746033,0
16,0.07979685,0.04907888,-7.0634766,0
17,0.08180716,0.04627725,-7.314575,0
18,0.083290495,0.04454363,-7.527893,0
19,0.083910845,0.044068232,-7.6621094,0
20,0.08303891,0.044524834,-7.7288513,0
21,0.08114303,0.045989215,-7.6538086,0
22,0.07779004,0.047919918,-7.4567566,0
23,0.07302016,0.050120752,-7.11026,0
24,0.06740649,0.051915724,-6.5794983,0
25,0.061784405,0.052836664,-6.107605,0
26,0.055439312,0.05320054,-5.618347,0
27,0.04628009,0.052426055,-5.3175354,0
28,0.035433676,0.05131194,-5.015167,0
29,0.0223996,0.04952547,-4.8398438,0
30,0.0078067556,0.0477497,-4.7029724,0
31,-0.008552972,0.045525663,-4.6138916,0
32,-0.024795625,0.04404425,-4.4443054,0
33,-0.041654553,0.042463675,-4.3396606,0
34,-0.057434663,0.04136771,-4.099121,0
35,-0.072514355,0.040167123,-3.9164734,0
36,-0.08498505,0.039908387,-3.5976257,0
37,-0.09536216,0.039765544,-3.2382812,0
38,-0.103502505,0.039862856,-2.812378,0
39,-0.114284255,0.038631476,-3.060028,0
40,-0.1184064,0.03682287,-3.1013794,0
41,-0.12194656,0.03476762,-3.354889,0
42,-0.12596741,0.0324488,-3.7045593,0
43,-0.13056044,0.03016116,-4.065399,0
44,-0.1358825,0.027860722,-4.4368286,0
45,-0.1418773,0.02595648,-4.676819,0
46,-0.14831704,0.023738986,-4.913147,0
47,-0.15490276,0.025138145,-4.841522,0
48,-0.16216306,0.024109935,-4.6160583,0
49,-0.16956297,0.022217777,-4.350281,0
50,-0.17665437,0.020287327,-4.1677856,0
51,-0.18379407,0.017988293,-3.9259644,0
52,-0.19021638,0.017025206,-4.001526,0
53,-0.19436619,0.018963428,-4.320801,0
54,-0.2001403,0.029705375,-4.502594,0
55,-0.19885303,0.04427769,-4.8395996,0
56,-0.19356784,0.061759748,-5.1428833,0
57,-0.18363416,0.082299225,-5.428131,0
58,-0.17143767,0.10583277,-5.667267,0
59,-0.15820026,0.13190433,-5.8389587,0
60,-0.14542845,0.16012914,-5.972046,0
61,-0.13542362,0.19157867,-5.976837,0
62,-0.12716311,0.22537379,-5.936096,0
63,-0.12093138,0.2604673,-5.8479004,0
64,-0.11655879,0.29687932,-5.728119,0
