Format Version,1.23,Take Name,1_linje1_004,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-05 03.41.45.136 P.M.,Capture Start Frame,11617346,Total Frames in Take,1845,Total Exported Frames,1845,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee2,Qutee2,Qutee2,Qutee2,Qutee2,Qutee2
,ID,"565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.917576,7.129669,-2.275437,26.921896,12.219429,-35.577946
1,0.010000,0.896171,7.110646,-2.187202,26.921410,12.231284,-35.572681
2,0.020000,0.882423,7.105878,-2.228029,26.926146,12.226969,-35.573586
3,0.030000,0.906732,7.101797,-2.222903,26.920813,12.223617,-35.577377
4,0.040000,0.940498,7.114783,-2.227114,26.916155,12.227806,-35.575764
5,0.050000,0.899356,7.112335,-2.180243,26.919683,12.233167,-35.572739
6,0.060000,0.814032,7.068309,-2.227327,26.919449,12.217553,-35.577480
7,0.070000,0.883623,7.107995,-2.246123,26.920860,12.223303,-35.577393
8,0.080000,0.968929,7.043189,-2.459371,26.914167,12.215149,-35.574036
9,0.090000,0.875824,7.063608,-2.245193,26.919703,12.225760,-35.570599
10,0.100000,0.900307,7.083466,-2.145472,26.920738,12.233867,-35.571758
11,0.110000,0.874754,7.146221,-2.187746,26.920296,12.224154,-35.577965
12,0.120000,0.911649,7.060053,-2.137652,26.919127,12.234335,-35.569954
13,0.130000,0.904690,7.109197,-2.183465,26.919750,12.234214,-35.575348
14,0.140000,0.905205,7.044993,-2.182013,26.915459,12.232132,-35.568035
15,0.150000,0.885447,7.070989,-2.301813,26.919937,12.216673,-35.580601
16,0.160000,0.907104,7.096248,-2.298222,26.919403,12.225924,-35.576485
17,0.170000,0.890536,7.126951,-2.187515,26.916733,12.227657,-35.575378
18,0.180000,0.891984,7.139325,-2.131660,26.921272,12.232162,-35.577511
19,0.190000,0.827301,7.050052,-2.239678,26.920885,12.219587,-35.578896
20,0.200000,0.871431,7.082109,-2.162088,26.918894,12.227394,-35.576164
21,0.210000,0.863325,7.133060,-2.261598,26.918554,12.214601,-35.582916
