Format Version,1.23,Take Name,1_linje1_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-05 04.03.40.635 P.M.,Capture Start Frame,11748852,Total Frames in Take,1670,Total Exported Frames,1670,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee2,Qutee2,Qutee2,Qutee2,Qutee2,Qutee2
,ID,"565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-4.452201,11.805829,-2.122633,26.094782,12.419750,-39.474251
1,0.010000,-4.435249,11.929499,-2.169105,26.085911,12.426007,-39.455540
2,0.020000,-4.486270,11.920513,-2.123712,26.088165,12.434411,-39.462006
3,0.030000,-4.465602,11.899604,-2.100169,26.093540,12.431579,-39.464848
4,0.040000,-4.434496,11.901610,-2.213171,26.085863,12.429204,-39.467590
5,0.050000,-4.492095,11.927649,-2.119715,26.090956,12.432536,-39.461983
6,0.060000,-4.386248,11.883508,-2.171984,26.085054,12.430568,-39.463566
7,0.070000,-4.437953,11.919319,-2.181199,26.082123,12.427915,-39.457001
8,0.080000,-4.438147,11.933270,-2.117445,26.088861,12.433834,-39.462322
9,0.090000,-4.422617,11.902688,-2.101690,26.091503,12.436197,-39.464020
10,0.100000,-4.494630,11.904202,-2.102195,26.088577,12.432611,-39.457520
11,0.110000,-4.477066,11.820481,-2.039841,26.095140,12.425252,-39.471779
12,0.120000,-4.481352,11.877108,-2.100298,26.094536,12.433414,-39.462105
13,0.130000,-4.438990,11.916542,-2.050814,26.087172,12.430353,-39.460743
14,0.140000,-4.434021,11.914082,-2.175244,26.085451,12.425576,-39.462353
15,0.150000,-4.473987,11.935239,-2.130657,26.088598,12.433413,-39.463913
16,0.160000,-4.461585,11.921342,-2.077219,26.081387,12.431737,-39.459400
17,0.170000,-4.382771,11.911945,-2.182333,26.084038,12.430574,-39.460155
18,0.180000,-4.460037,11.878389,-2.148292,26.084944,12.427294,-39.458736
19,0.190000,-4.487986,11.901015,-2.174773,26.085960,12.427415,-39.457451
20,0.200000,-4.463979,11.893769,-2.089887,26.092493,12.431321,-39.463379
21,0.210000,-4.411941,11.903605,-2.182420,26.084372,12.428092,-39.459667
