Format Version,1.23,Take Name,341_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-23 12.18.13.579 P.M.,Capture Start Frame,14870252,Total Frames in Take,5433,Total Exported Frames,5433,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee,Qutee,Qutee,Qutee,Qutee,Qutee
,ID,"D113A30015711EF8C9DA3D1AAC468C","D113A30015711EF8C9DA3D1AAC468C","D113A30015711EF8C9DA3D1AAC468C","D113A30015711EF8C9DA3D1AAC468C","D113A30015711EF8C9DA3D1AAC468C","D113A30015711EF8C9DA3D1AAC468C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.356196,-5.326805,-1.162542,-16.082476,12.526685,15.521754
1,0.010000,-0.468271,-5.050728,-0.787674,-16.092154,12.548107,15.476443
2,0.020000,0.231523,-5.004479,-1.056046,-16.091515,12.566918,15.595240
3,0.030000,0.439558,-4.848132,-0.752881,-16.099218,12.596612,15.542945
4,0.040000,0.220914,-4.997306,-1.027474,-16.094639,12.565419,15.598406
5,0.050000,0.502506,-4.806077,-0.705913,-16.100866,12.594713,15.541818
6,0.060000,0.269288,-5.047544,-1.058959,-16.089764,12.569960,15.591763
7,0.070000,-0.306344,-5.330777,-1.078491,-16.077179,12.527202,15.527849
8,0.080000,0.237812,-5.011462,-1.068209,-16.093849,12.565996,15.597503
9,0.090000,-0.469407,-4.990288,-0.810208,-16.085215,12.545487,15.478306
10,0.100000,0.406833,-4.778524,-0.758803,-16.093182,12.594925,15.545527
11,0.110000,-0.359783,-5.332798,-1.150080,-16.081287,12.521720,15.521595
12,0.120000,-0.309028,-5.326606,-1.105636,-16.077965,12.523101,15.523185
13,0.130000,0.268446,-4.981479,-1.011167,-16.092394,12.564221,15.599126
14,0.140000,0.236999,-5.003291,-1.063771,-16.090244,12.566312,15.596527
15,0.150000,0.365353,-4.754080,-0.763608,-16.096884,12.591078,15.549109
16,0.160000,0.264143,-5.027672,-1.043491,-16.092154,12.565056,15.594188
17,0.170000,-0.490321,-5.028185,-0.797301,-16.092131,12.549353,15.473008
18,0.180000,-0.358794,-5.305773,-1.169180,-16.077330,12.524958,15.526347
19,0.190000,0.257088,-5.028828,-1.056014,-16.094734,12.564747,15.595754
20,0.200000,0.242805,-5.009707,-1.060180,-16.090778,12.566108,15.595833
21,0.210000,-0.342216,-5.295941,-1.138682,-16.076084,12.524192,15.525347
22,0.220000,0.230140,-5.013078,-1.016481,-16.093500,12.566683,15.598580
23,0.230000,0.247801,-5.045489,-1.035838,-16.093582,12.570551,15.598429
24,0.240000,0.225520,-5.010136,-1.022839,-16.092777,12.568994,15.598947
25,0.250000,0.268401,-4.922592,-0.669777,-16.104187,12.595389,15.563541
26,0.260000,-0.434303,-5.031977,-0.763945,-16.087931,12.548101,15.476920
27,0.270000,0.242805,-5.009707,-1.060180,-16.090778,12.566108,15.595833
28,0.280000,-0.356591,-5.321769,-1.120110,-16.081991,12.519330,15.519351
29,0.290000,-0.107873,-5.299112,-0.457145,-16.135651,12.621345,15.588668
30,0.300000,0.433636,-4.793364,-0.726795,-16.102032,12.594861,15.544766
31,0.310000,0.283176,-4.929868,-0.671295,-16.100645,12.592000,15.561949
32,0.320000,0.223923,-4.928583,-0.699223,-16.102612,12.595819,15.564487
33,0.330000,0.236999,-5.003291,-1.063771,-16.090244,12.566312,15.596527
34,0.340000,-0.315664,-5.346542,-1.136726,-16.078821,12.525105,15.524329
35,0.350000,-0.331251,-5.335422,-1.103248,-16.075844,12.527454,15.525240
36,0.360000,-0.290626,-5.328600,-1.098532,-16.076607,12.520245,15.521709
37,0.370000,-0.297989,-5.342819,-1.074769,-16.078373,12.525826,15.527779
38,0.380000,-0.309201,-5.284492,-1.107093,-16.073254,12.524308,15.526637
39,0.390000,0.216536,-5.021970,-1.088274,-16.092167,12.569943,15.594147
40,0.400000,0.251766,-5.024529,-1.059600,-16.094271,12.565008,15.596296
41,0.410000,0.247272,-5.030817,-1.054744,-16.095409,12.567856,15.594456
42,0.420000,0.258429,-5.021657,-1.047022,-16.091631,12.565257,15.594849
43,0.430000,-0.316785,-5.310934,-1.116178,-16.077358,12.523460,15.525405
44,0.440000,-0.449744,-4.975383,-0.779867,-16.080566,12.549119,15.476801
45,0.450000,-0.330408,-5.305662,-1.113830,-16.079725,12.521399,15.524533
46,0.460000,0.221884,-5.005188,-1.004299,-16.099270,12.566384,15.600740
47,0.470000,0.253072,-5.035609,-1.050511,-16.095911,12.567632,15.593874
48,0.480000,-0.450448,-5.009753,-0.776447,-16.086845,12.549514,15.480611
49,0.490000,0.233366,-5.026175,-1.025389,-16.094578,12.566109,15.594231
50,0.500000,0.373875,-4.798040,-0.776187,-16.098476,12.592888,15.548441
51,0.510000,0.258953,-5.029478,-1.035236,-16.093468,12.565672,15.592842
52,0.520000,-0.297984,-5.324359,-1.072683,-16.077028,12.525918,15.529379
53,0.530000,0.227149,-5.022306,-1.084471,-16.092274,12.567634,15.595086
54,0.540000,0.403598,-4.770068,-0.766752,-16.097752,12.589312,15.550019
55,0.550000,0.294111,-5.010092,-0.993852,-16.095106,12.563223,15.596503
56,0.560000,-0.323593,-5.312715,-1.078070,-16.080421,12.526371,15.524456
57,0.570000,-0.134259,-4.730045,-1.419969,-16.096840,12.588274,15.640779
58,0.580000,0.223302,-5.017606,-1.060031,-16.095634,12.566863,15.594297
59,0.590000,0.409735,-4.824659,-0.762791,-16.099825,12.592178,15.545726
60,0.600000,-0.297557,-5.335792,-1.116244,-16.077528,12.522772,15.522882
61,0.610000,0.289002,-4.998932,-0.987724,-16.094971,12.564424,15.597126
62,0.620000,0.392541,-4.781877,-0.738223,-16.102276,12.592742,15.551026
63,0.630000,0.262718,-5.017757,-1.030521,-16.093817,12.566310,15.595271
64,0.640000,-0.269013,-5.333719,-1.084571,-16.074810,12.523693,15.521845
65,0.650000,-0.304719,-5.330369,-1.133681,-16.078234,12.524943,15.525598
66,0.660000,-0.297599,-5.310750,-1.120928,-16.075172,12.526408,15.525845
67,0.670000,0.268536,-5.023582,-1.026683,-16.094360,12.566111,15.594623
68,0.680000,-0.445523,-5.023241,-0.762868,-16.088919,12.545611,15.478672
69,0.690000,0.286357,-5.012928,-1.006377,-16.092552,12.563870,15.594996
70,0.700000,-0.321131,-5.316159,-1.107865,-16.079704,12.520951,15.523726
71,0.710000,-0.332738,-5.327608,-1.126592,-16.079334,12.527982,15.526878
72,0.720000,-0.459416,-4.977779,-0.732598,-16.083759,12.546268,15.472147
73,0.730000,0.268530,-5.023568,-1.026669,-16.094360,12.566108,15.594623
74,0.740000,0.257086,-5.019567,-1.024924,-16.094948,12.566805,15.593968
75,0.750000,0.203816,-5.028242,-1.098583,-16.094151,12.569534,15.594125
76,0.760000,0.248650,-5.039718,-1.067510,-16.093706,12.566571,15.593457
77,0.770000,0.444974,-4.786035,-0.724159,-16.103102,12.591648,15.546528
78,0.780000,0.260730,-4.999504,-1.035534,-16.089638,12.564635,15.595908
79,0.790000,0.255643,-5.019114,-0.986473,-16.096449,12.567525,15.599072
80,0.800000,-0.495117,-5.024584,-0.814797,-16.089378,12.548764,15.477988
81,0.810000,0.244425,-5.003367,-1.043427,-16.092831,12.564723,15.596388
82,0.820000,-0.384497,-5.310882,-1.174301,-16.078911,12.522244,15.522106
83,0.830000,-0.444107,-5.008091,-0.794601,-16.085003,12.544266,15.477540
84,0.840000,-0.075902,-5.269920,-0.395657,-16.138142,12.619750,15.592508
85,0.850000,0.291274,-5.047451,-1.030156,-16.092051,12.568010,15.593511
86,0.860000,-0.315600,-5.328314,-1.119552,-16.076969,12.524576,15.523197
87,0.870000,0.342806,-4.821938,-0.689767,-16.110489,12.596135,15.549046
88,0.880000,0.453189,-4.808687,-0.743975,-16.101582,12.592922,15.542754
89,0.890000,-0.351342,-5.297475,-1.137147,-16.076511,12.523567,15.523336
90,0.900000,-0.471677,-5.024523,-0.767968,-16.087511,12.543854,15.481308
91,0.910000,0.258429,-5.021657,-1.047022,-16.091631,12.565257,15.594849
92,0.920000,0.248472,-5.030723,-1.005851,-16.094704,12.568040,15.596617
93,0.930000,0.257095,-5.028836,-1.056011,-16.094730,12.564746,15.595754
94,0.940000,-0.411300,-5.293515,-1.181587,-16.078667,12.523248,15.520363
95,0.950000,0.264143,-5.027671,-1.043491,-16.092154,12.565056,15.594188
96,0.960000,0.286738,-5.004405,-0.992924,-16.097961,12.564123,15.598597
97,0.970000,-0.356167,-5.295038,-1.144299,-16.075922,12.523937,15.523410
98,0.980000,0.237723,-5.036769,-1.063307,-16.094532,12.567422,15.592679
99,0.990000,0.447470,-4.820271,-0.721769,-16.103859,12.597425,15.543936
100,1.000000,-0.453828,-4.986802,-0.783028,-16.083399,12.544044,15.476240
101,1.010000,0.259524,-5.018561,-1.036440,-16.095997,12.565703,15.597141
102,1.020000,0.241023,-4.999810,-1.048086,-16.092379,12.567358,15.596926
103,1.030000,0.258953,-5.029478,-1.035236,-16.093468,12.565672,15.592842
104,1.040000,0.259966,-5.020044,-1.030391,-16.094265,12.564440,15.594110
105,1.050000,-0.509590,-4.991785,-0.782225,-16.089655,12.545437,15.474852
106,1.060000,0.306183,-5.045103,-1.014432,-16.093687,12.566127,15.594948
107,1.070000,-0.419161,-4.969575,-0.772845,-16.085072,12.545347,15.479697
108,1.080000,-0.492796,-5.024679,-0.810830,-16.090246,12.548141,15.478198
109,1.090000,-0.339228,-5.338746,-1.132331,-16.078844,12.521497,15.517339
110,1.100000,-0.370002,-5.328379,-1.144459,-16.082291,12.522103,15.520101
111,1.110000,-0.333401,-5.317302,-1.122373,-16.077978,12.523479,15.522451
112,1.120000,-0.084212,-5.258590,-0.402207,-16.133362,12.619177,15.590684
113,1.130000,-0.270257,-5.349244,-1.073889,-16.075972,12.527375,15.527670
114,1.140000,-0.350241,-5.327232,-1.144536,-16.080488,12.521337,15.522814
115,1.150000,0.253909,-5.042567,-1.076535,-16.091480,12.569846,15.594627
116,1.160000,-0.444330,-5.024483,-0.733703,-16.088703,12.545951,15.474481
117,1.170000,-0.460850,-5.037510,-0.744718,-16.088099,12.550116,15.482895
118,1.180000,-0.401587,-5.277658,-1.168729,-16.079346,12.519838,15.526147
119,1.190000,-0.336563,-5.339014,-1.141538,-16.079912,12.523371,15.522660
120,1.200000,0.231523,-5.004479,-1.056046,-16.091515,12.566918,15.595240
121,1.210000,-0.535554,-5.542420,-0.287328,-16.127201,12.589344,15.525585
122,1.220000,-0.340689,-5.320303,-1.125114,-16.077835,12.522750,15.520933
123,1.230000,-0.373769,-5.283080,-1.134613,-16.075293,12.521037,15.527469
124,1.240000,-0.336517,-5.306523,-1.125321,-16.077291,12.523738,15.523510
125,1.250000,0.248650,-5.039718,-1.067510,-16.093706,12.566571,15.593457
126,1.260000,-0.325206,-5.335769,-1.140499,-16.079798,12.524099,15.522570
127,1.270000,-0.314887,-5.323373,-1.111732,-16.078163,12.521492,15.523023
128,1.280000,0.456973,-4.808656,-0.741340,-16.101038,12.591742,15.544327
129,1.290000,-0.080282,-5.271148,-0.396783,-16.134224,12.620976,15.588973
130,1.300000,-0.360182,-5.292857,-1.141544,-16.076950,12.521955,15.523037
131,1.310000,-0.304735,-5.313352,-1.109108,-16.080360,12.522914,15.523561
132,1.320000,-0.356718,-5.341152,-1.156388,-16.080599,12.521418,15.521455
133,1.330000,-0.455452,-4.998516,-0.760726,-16.084135,12.546051,15.474121
134,1.340000,0.424147,-4.822413,-0.745063,-16.101906,12.590258,15.547178
135,1.350000,-0.309281,-5.330681,-1.085601,-16.081009,12.524308,15.526371
136,1.360000,0.402949,-4.843019,-0.789954,-16.101519,12.593987,15.544280
137,1.370000,-0.323945,-5.322198,-1.114367,-16.079346,12.521264,15.522964
138,1.380000,-0.388530,-5.318727,-1.142417,-16.082357,12.516080,15.516639
139,1.390000,0.264143,-5.027671,-1.043491,-16.092154,12.565056,15.594188
140,1.400000,0.264146,-5.027673,-1.043489,-16.092154,12.565056,15.594186
141,1.410000,-0.310863,-5.322393,-1.113586,-16.078497,12.522139,15.525110
