Format Version,1.23,Take Name,363_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-23 12.43.21.972 P.M.,Capture Start Frame,15021041,Total Frames in Take,1642,Total Exported Frames,1642,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee,Qutee,Qutee,Qutee,Qutee,Qutee
,ID,"D113A30015711EF8C9DA3D1AAC468C","D113A30015711EF8C9DA3D1AAC468C","D113A30015711EF8C9DA3D1AAC468C","D113A30015711EF8C9DA3D1AAC468C","D113A30015711EF8C9DA3D1AAC468C","D113A30015711EF8C9DA3D1AAC468C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.041772,-2.913882,1.061462,-18.826557,12.639735,15.908691
1,0.010000,-0.109653,-2.863040,0.972249,-18.818529,12.653796,15.912678
2,0.020000,0.655203,-2.434297,1.373882,-18.808628,12.626564,15.904154
3,0.030000,-0.037078,-2.839002,1.011009,-18.819134,12.655099,15.913655
4,0.040000,0.471167,-2.666870,1.474307,-18.792751,12.617864,15.910231
5,0.050000,0.174139,-2.612600,0.762284,-18.824894,12.658932,15.915984
6,0.060000,0.510421,-2.584654,0.982762,-18.808910,12.640781,15.919171
7,0.070000,0.391774,-2.674233,1.548698,-18.796162,12.622434,15.907863
8,0.080000,-0.057203,-2.830848,0.990444,-18.816734,12.653083,15.909721
9,0.090000,0.167530,-2.616452,0.800397,-18.828606,12.659642,15.917423
10,0.100000,0.162583,-2.752751,1.301270,-18.808027,12.633795,15.904745
11,0.110000,-0.084394,-2.834390,1.000593,-18.816874,12.651917,15.909960
12,0.120000,-0.053721,-2.833797,0.988711,-18.814066,12.655631,15.910831
13,0.130000,0.021671,-2.753085,0.888410,-18.817326,12.653666,15.908811
14,0.140000,0.200037,-2.743814,1.290566,-18.808525,12.633796,15.902249
15,0.150000,-0.121139,-2.888596,0.945326,-18.821083,12.654161,15.913157
16,0.160000,-0.086897,-2.843252,1.006415,-18.816248,12.652494,15.911320
17,0.170000,-0.066495,-2.851129,1.026702,-18.818666,12.654507,15.915237
18,0.180000,-0.094249,-2.829217,1.017211,-18.815964,12.654209,15.908594
19,0.190000,-0.064489,-2.816802,1.001205,-18.816454,12.654805,15.907018
20,0.200000,0.132894,-2.740823,0.806193,-18.815617,12.660292,15.949060
21,0.210000,-0.057210,-2.830859,0.990441,-18.816734,12.653083,15.909719
22,0.220000,0.056378,-2.691880,0.902264,-18.821526,12.661393,15.932824
23,0.230000,0.027788,-2.884707,1.076963,-18.823893,12.640752,15.910324
24,0.240000,0.167530,-2.616452,0.800397,-18.828606,12.659642,15.917423
25,0.250000,-0.073224,-2.864599,1.036385,-18.817764,12.655027,15.916580
26,0.260000,-0.087812,-2.857853,0.968668,-18.816990,12.654866,15.911547
27,0.270000,-0.043786,-2.813521,0.940187,-18.811520,12.654204,15.908329
28,0.280000,0.023264,-2.917182,1.066194,-18.825237,12.641159,15.911272
29,0.290000,0.032142,-2.684505,0.862823,-18.820295,12.661616,15.929893
30,0.300000,0.252647,-2.814317,1.205576,-18.799400,12.634693,15.920221
31,0.310000,0.163529,-2.638435,0.736342,-18.827381,12.659289,15.916387
32,0.320000,0.028470,-2.889667,0.869311,-18.811123,12.653108,15.924356
33,0.330000,-0.046380,-2.902096,1.026346,-18.814995,12.667714,15.924783
34,0.340000,0.004814,-2.896071,0.852604,-18.811430,12.654517,15.925736
35,0.350000,0.193920,-2.620588,0.820244,-18.825010,12.660998,15.916880
36,0.360000,-0.047260,-2.820562,0.979242,-18.814953,12.655110,15.909513
37,0.370000,0.195734,-2.743121,1.283274,-18.805862,12.636911,15.904286
38,0.380000,0.664424,-2.443109,1.373614,-18.805656,12.629340,15.905073
39,0.390000,-0.061302,-2.879569,1.024786,-18.820351,12.653296,15.914252
40,0.400000,-0.022409,-2.897679,1.074885,-18.810850,12.663359,15.925652
41,0.410000,-0.078133,-2.850887,0.980784,-18.818340,12.655719,15.908819
42,0.420000,-0.073210,-2.864597,1.036374,-18.817762,12.655025,15.916580
43,0.430000,0.159318,-2.613028,0.817553,-18.827566,12.661997,15.915853
44,0.440000,0.019848,-2.896576,0.856746,-18.811913,12.653637,15.924893
45,0.450000,0.031695,-2.899659,1.033063,-18.826130,12.643133,15.911632
46,0.460000,0.223145,-2.377966,1.513834,-18.768896,12.642664,15.890882
47,0.470000,0.024950,-2.866937,0.925174,-18.810909,12.649987,15.919688
48,0.480000,-0.061016,-2.890854,1.029413,-18.817120,12.656437,15.916714
49,0.490000,-0.094219,-2.861678,0.941164,-18.815271,12.652007,15.910676
50,0.500000,0.044010,-2.882205,0.912511,-18.807938,12.652366,15.924404
51,0.510000,-0.036934,-2.829398,1.010817,-18.816174,12.651619,15.908307
52,0.520000,-0.094550,-2.871324,0.978348,-18.816086,12.655390,15.912889
53,0.530000,0.061905,-2.696320,0.921901,-18.822359,12.658006,15.915382
54,0.540000,0.022656,-2.892179,0.927887,-18.812801,12.653560,15.926978
55,0.550000,-0.097994,-2.868430,0.980103,-18.818752,12.652842,15.911775
56,0.560000,-0.022770,-2.873334,0.884563,-18.806683,12.651046,15.921445
57,0.570000,0.372106,-2.634956,1.573287,-18.797953,12.618643,15.900813
58,0.580000,0.050532,-2.712545,0.840298,-18.823116,12.658254,15.930393
59,0.590000,-0.100736,-2.832204,1.153862,-18.821238,12.665099,15.908441
60,0.600000,0.165710,-2.755183,1.299054,-18.805357,12.636335,15.905891
61,0.610000,0.050532,-2.712544,0.840298,-18.823116,12.658254,15.930393
62,0.620000,0.064645,-2.708503,0.831654,-18.827061,12.658802,15.917458
63,0.630000,0.166238,-2.609521,0.779541,-18.823864,12.661285,15.914434
64,0.640000,0.172490,-2.621086,0.799507,-18.825727,12.662341,15.918344
65,0.650000,0.165710,-2.755183,1.299054,-18.805357,12.636335,15.905891
66,0.660000,0.387649,-2.646665,1.597806,-18.799984,12.620679,15.904593
67,0.670000,-0.053402,-2.824134,0.951459,-18.813248,12.652249,15.908618
68,0.680000,0.416443,-2.562093,1.636102,-18.795107,12.615363,15.901670
69,0.690000,-0.051486,-2.880182,0.993134,-18.818155,12.658511,15.916512
70,0.700000,0.133324,-2.662257,0.739578,-18.833477,12.661258,15.919189
71,0.710000,-0.047265,-2.820577,0.979239,-18.814955,12.655112,15.909515
72,0.720000,-0.024678,-2.881124,0.920699,-18.810987,12.650849,15.922674
73,0.730000,-0.053402,-2.824134,0.951459,-18.813248,12.652249,15.908618
74,0.740000,0.200037,-2.743814,1.290566,-18.808525,12.633796,15.902249
75,0.750000,0.045145,-2.686020,0.921080,-18.823387,12.660941,15.929987
76,0.760000,-0.026378,-2.889267,1.097018,-18.816963,12.666309,15.924623
77,0.770000,0.304148,-2.620481,1.183523,-18.815531,12.641789,15.924013
78,0.780000,0.554912,-2.531091,1.422215,-18.797489,12.629225,15.917320
79,0.790000,-0.066721,-2.841712,1.026745,-18.815685,12.651032,15.909915
80,0.800000,-0.085387,-2.855017,0.953772,-18.814478,12.651481,15.910130
81,0.810000,0.068021,-2.753559,0.757585,-18.822712,12.659780,15.945930
82,0.820000,0.004758,-2.879644,0.855181,-18.808897,12.651452,15.919751
83,0.830000,-0.080172,-2.829784,0.996694,-18.817150,12.651973,15.909977
84,0.840000,0.033589,-2.717227,0.818378,-18.820930,12.662352,15.932897
85,0.850000,-0.007173,-2.904334,0.943602,-18.812317,12.652969,15.928604
86,0.860000,-0.068299,-2.856018,0.964144,-18.819241,12.653428,15.910177
87,0.870000,-0.068299,-2.856018,0.964144,-18.819241,12.653428,15.910177
88,0.880000,-0.053398,-2.824129,0.951476,-18.813248,12.652249,15.908620
89,0.890000,0.019848,-2.896576,0.856746,-18.811913,12.653637,15.924893
90,0.900000,-0.096773,-2.838086,1.023011,-18.815342,12.654787,15.909955
91,0.910000,0.548178,-2.524943,1.423405,-18.800501,12.626364,15.916175
92,0.920000,-0.095206,-2.826468,1.149241,-18.819193,12.667392,15.908244
93,0.930000,0.497506,-2.580992,1.015935,-18.813688,12.640306,15.920968
94,0.940000,0.535937,-2.523213,1.460573,-18.804401,12.626987,15.917834
95,0.950000,-0.057213,-2.830858,0.990453,-18.816734,12.653084,15.909721
96,0.960000,0.043962,-2.710906,0.857959,-18.821997,12.660638,15.928656
97,0.970000,-0.076742,-2.832653,0.994926,-18.814478,12.654522,15.911089
98,0.980000,0.249708,-2.652755,0.736420,-18.822470,12.656935,15.927596
99,0.990000,0.158872,-2.822653,0.919817,-18.832809,12.652101,15.931669
100,1.000000,0.112765,-2.643330,0.937928,-18.835583,12.672006,15.916586
101,1.010000,0.056378,-2.691880,0.902264,-18.821526,12.661393,15.932824
102,1.020000,-0.005438,-2.896566,0.908025,-18.808025,12.653218,15.927389
103,1.030000,-0.102937,-2.849547,0.962532,-18.819431,12.653272,15.911335
104,1.040000,0.300904,-2.650295,1.397202,-18.801870,12.624410,15.906969
105,1.050000,0.167530,-2.616452,0.800397,-18.828606,12.659642,15.917423
106,1.060000,0.205847,-2.737497,1.282601,-18.806484,12.635769,15.902042
107,1.070000,0.413049,-2.622404,1.516566,-18.792276,12.620883,15.899153
108,1.080000,-0.050268,-2.865422,1.055528,-18.814606,12.656121,15.916294
109,1.090000,-0.068101,-2.813610,1.128747,-18.815596,12.665158,15.905732
110,1.100000,0.239673,-2.679102,0.710719,-18.824949,12.657269,15.927945
111,1.110000,0.144415,-2.636133,0.766213,-18.830950,12.660880,15.918761
112,1.120000,-0.003367,-2.925622,0.975082,-18.825638,12.641448,15.911111
113,1.130000,-0.098149,-2.823261,1.147979,-18.821857,12.664525,15.907100
114,1.140000,0.179525,-2.617685,0.761517,-18.822046,12.661571,15.916803
115,1.150000,0.126281,-2.697097,0.662269,-18.829922,12.664154,15.918757
116,1.160000,-0.057210,-2.830859,0.990441,-18.816734,12.653083,15.909719
117,1.170000,-0.051124,-2.824932,0.982879,-18.814692,12.655059,15.909489
118,1.180000,-0.067122,-2.860044,0.997022,-18.811708,12.656771,15.916464
119,1.190000,0.030475,-2.789135,0.927616,-18.815392,12.659323,15.916465
120,1.200000,0.299268,-2.686315,0.880244,-18.832054,12.651380,15.917150
121,1.210000,-0.083473,-2.846106,1.004613,-18.813574,12.655042,15.912429
122,1.220000,0.156878,-2.642225,0.774375,-18.831085,12.659997,15.917815
123,1.230000,0.148187,-2.684859,0.769003,-18.832323,12.666472,15.925678
124,1.240000,-0.046947,-2.810899,0.941996,-18.814138,12.651731,15.907303
125,1.250000,0.024470,-2.884483,0.892349,-18.808514,12.653806,15.925768
126,1.260000,-0.003418,-3.056768,0.998448,-18.792347,12.650514,15.886723
127,1.270000,0.031217,-2.689090,0.883067,-18.825235,12.659889,15.933214
128,1.280000,0.104532,-2.650801,0.925473,-18.836033,12.672626,15.916322
129,1.290000,-0.068299,-2.856018,0.964144,-18.819241,12.653428,15.910177
130,1.300000,0.044397,-2.920052,1.112314,-18.822079,12.646395,15.917641
131,1.310000,0.283304,-2.701407,1.464836,-18.808237,12.626633,15.912771
132,1.320000,0.159315,-2.613034,0.817546,-18.827564,12.661997,15.915853
133,1.330000,0.167528,-2.616447,0.800400,-18.828604,12.659642,15.917423
134,1.340000,0.674527,-2.461167,1.404560,-18.807226,12.632026,15.910713
135,1.350000,0.559431,-2.487673,1.200419,-18.811182,12.633745,15.912183
136,1.360000,0.173688,-2.384168,1.652272,-18.771832,12.651901,15.888469
137,1.370000,0.147224,-2.642693,0.970933,-18.831141,12.675592,15.923776
138,1.380000,0.194375,-2.699495,0.818997,-18.825569,12.673813,15.934568
139,1.390000,0.182265,-2.638875,0.829777,-18.827446,12.664871,15.923958
140,1.400000,0.020035,-2.728168,0.877035,-18.826450,12.666501,15.941699
141,1.410000,0.664424,-2.443109,1.373614,-18.805656,12.629340,15.905073
142,1.420000,-0.067679,-2.884380,1.190339,-18.816509,12.668727,15.920409
143,1.430000,-0.028582,-2.727600,1.240476,-18.834028,12.690332,15.945107
144,1.440000,0.675117,-2.477100,1.461789,-18.806925,12.638375,15.913175
145,1.450000,0.170895,-2.751727,1.468842,-18.812777,12.651138,15.906809
