Format Version,1.23,Take Name,155_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-27 04.08.57.168 P.M.,Capture Start Frame,471098,Total Frames in Take,1420,Total Exported Frames,1420,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Q,Q,Q,Q,Q,Q
,ID,"9E3EFA7F049D11EF8C9DA3D1AAC468C","9E3EFA7F049D11EF8C9DA3D1AAC468C","9E3EFA7F049D11EF8C9DA3D1AAC468C","9E3EFA7F049D11EF8C9DA3D1AAC468C","9E3EFA7F049D11EF8C9DA3D1AAC468C","9E3EFA7F049D11EF8C9DA3D1AAC468C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-8.338760,14.958549,-2.438093,-13.477613,13.083755,14.705708
1,0.010000,-7.117083,15.903236,-6.464995,-13.294466,12.952299,14.548270
2,0.020000,-10.965518,17.019550,-5.700912,-13.244785,12.817121,14.246085
3,0.030000,-12.275494,17.985386,-4.006644,-13.138379,12.955753,14.038004
4,0.040000,-13.156653,18.456272,-6.804198,-13.016622,12.860405,13.675473
5,0.050000,-13.758879,18.976351,-6.134865,-12.990549,12.889689,13.495831
6,0.060000,-14.229306,19.773315,-6.964286,-12.870763,12.871986,13.239482
7,0.070000,-15.740986,20.547844,-7.724310,-12.796581,12.909113,12.997861
8,0.080000,-16.781914,21.013367,-7.514046,-12.711075,12.901193,12.766412
9,0.090000,-17.725229,21.498676,-8.522267,-12.571907,12.892159,12.515905
10,0.100000,-17.206436,21.503986,-7.275772,-12.397432,13.145596,12.277788
11,0.110000,-17.164520,22.244104,-10.587554,-12.276978,12.972789,12.064026
12,0.120000,-19.024515,23.363855,-9.887521,-12.268831,12.815094,11.981956
13,0.130000,-19.951538,24.235741,-9.897564,-12.187349,12.785660,11.924288
14,0.140000,-21.731251,25.866552,-13.146917,-12.049363,12.931860,11.760347
15,0.150000,-20.349985,24.692030,-12.506674,-11.903733,12.746070,11.588226
16,0.160000,-20.703922,25.255610,-12.720587,-11.811027,12.674414,11.520720
17,0.170000,-21.053431,26.043913,-13.297349,-11.710053,12.658691,11.392417
18,0.180000,-20.549952,25.608271,-12.762025,-11.548157,13.019438,11.192866
19,0.190000,-19.214560,26.885103,-16.293516,-11.384908,12.752316,11.078496
20,0.200000,-20.360464,27.591591,-16.178934,-11.398771,12.613656,11.102432
21,0.210000,-19.850033,27.885345,-17.838905,-11.284965,12.573995,11.046680
22,0.220000,-19.928934,28.614111,-18.483866,-11.260845,12.598085,11.028622
23,0.230000,-20.547033,28.631033,-18.178173,-11.291639,12.523039,11.013649
24,0.240000,-20.061369,29.149427,-18.802946,-11.365611,12.555033,10.964129
25,0.250000,-20.257517,29.355247,-18.675077,-11.435646,12.521081,10.876133
26,0.260000,-21.458183,30.477684,-20.300045,-11.390081,12.542648,10.711488
27,0.270000,-21.886063,30.562313,-20.753565,-11.494913,12.569407,10.672574
28,0.280000,-21.279612,30.279097,-20.131346,-11.609964,12.542504,10.710723
29,0.290000,-22.247663,30.326286,-20.963636,-11.658037,12.598922,10.655487
30,0.300000,-22.113794,30.021534,-21.124321,-11.736654,12.671602,10.631433
31,0.310000,-22.851107,30.539566,-20.783838,-11.927199,12.705055,10.669845
32,0.320000,-23.794558,31.050856,-21.392195,-12.029099,12.755534,10.580491
33,0.330000,-24.047352,30.000189,-19.335999,-12.248282,12.765208,10.777481
34,0.340000,-23.310583,29.015017,-20.028002,-12.376192,12.945703,10.812141
35,0.350000,-24.684359,29.077177,-18.245485,-12.647872,12.954506,10.943476
36,0.360000,-24.857273,28.132883,-17.864899,-12.885645,13.042088,10.987224
37,0.370000,-25.696495,27.326567,-15.504090,-13.184495,13.120322,11.148918
38,0.380000,-25.957941,26.199038,-15.028178,-13.458668,13.248636,11.281989
39,0.390000,-26.718443,24.933401,-13.491368,-13.754595,13.324973,11.477257
40,0.400000,-26.587986,24.075762,-12.027865,-14.093468,13.364460,11.711074
41,0.410000,-25.993925,22.362665,-9.635240,-14.462278,13.369125,12.004666
42,0.420000,-27.823481,21.166418,-10.014388,-14.810225,13.549452,12.227289
43,0.430000,-24.785156,18.137432,-8.200918,-15.159200,13.566891,12.476561
44,0.440000,-25.034546,16.066004,-4.346770,-15.751163,13.325305,12.951608
45,0.450000,-24.175289,15.570166,-7.980367,-15.475583,13.435416,12.936733
46,0.460000,-24.175287,15.570173,-7.980365,-15.278337,13.569411,13.174089
47,0.470000,-23.721998,15.736228,-6.113763,-15.371740,13.806152,13.585719
48,0.480000,-22.238335,15.426935,-7.729808,-15.406959,13.973658,14.017355
49,0.490000,-21.801376,16.341455,-8.096097,-15.256311,14.204868,14.289248
50,0.500000,-21.227402,16.709293,-8.392305,-15.062194,14.372513,14.553067
51,0.510000,-21.227402,16.709286,-8.392306,-15.001884,14.579672,14.965073
52,0.520000,-20.253222,16.520103,-7.090678,-14.856820,14.872530,15.369244
53,0.530000,-17.891560,16.540806,-8.158546,-14.748269,14.886834,15.848616
54,0.540000,-17.972183,16.037157,-6.547583,-14.591228,15.188694,16.211300
55,0.550000,-17.213409,15.629240,-6.911852,-14.466678,15.271449,16.667923
56,0.560000,-14.999496,15.944481,-9.566098,-14.364036,15.149227,17.223988
57,0.570000,-15.186280,15.481307,-7.009995,-14.277720,15.374501,17.751043
58,0.580000,-14.716085,15.790837,-7.636187,-14.138217,15.490370,18.300894
59,0.590000,-14.716085,15.790839,-7.636192,-14.055875,15.621525,18.893024
60,0.600000,-11.670488,16.157413,-12.587400,-13.684462,15.524155,19.514933
61,0.610000,-10.482018,15.406866,-10.273835,-13.576886,15.705535,20.143282
62,0.620000,-7.471166,15.283431,-10.692187,-13.424248,15.460457,20.883581
63,0.630000,-7.164946,14.739808,-8.744096,-13.260256,15.567830,21.599691
64,0.640000,-3.440101,13.560469,-9.170317,-12.978119,15.602122,22.412693
65,0.650000,-2.532537,14.352545,-12.278134,-12.855389,15.237612,23.156702
66,0.660000,-0.458339,14.440634,-11.878728,-12.697090,15.115624,23.980455
67,0.670000,-0.203596,13.771486,-11.556392,-12.545994,14.827288,24.754992
68,0.680000,2.476989,13.681373,-11.548090,-12.374285,14.667067,25.732464
