Format Version,1.23,Take Name,21_003,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-23 01.23.18.588 P.M.,Capture Start Frame,15260624,Total Frames in Take,1858,Total Exported Frames,1858,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee,Qutee,Qutee,Qutee,Qutee,Qutee
,ID,"D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,1.168197,-0.093130,-2.271645,-15.711111,12.517716,17.022913
1,0.010000,3.021995,0.023530,0.097161,-15.729281,12.358572,17.025911
2,0.020000,1.129074,-0.097697,-2.267241,-15.710298,12.515031,17.023893
3,0.030000,1.157970,-0.086743,-2.307285,-15.704304,12.513544,17.021446
4,0.040000,1.342934,0.010531,-2.037508,-15.701492,12.502954,17.029715
5,0.050000,2.999017,0.035988,0.150142,-15.723789,12.360278,17.023794
6,0.060000,1.168189,-0.093130,-2.271651,-15.711047,12.517691,17.022820
7,0.070000,1.134221,-0.112917,-2.280007,-15.712770,12.513969,17.025318
8,0.080000,1.148878,-0.130901,-2.321429,-15.713112,12.510788,17.027754
9,0.090000,1.163768,-0.093309,-2.289958,-15.709660,12.509892,17.029728
10,0.100000,1.176085,-0.095780,-2.204564,-15.712294,12.510986,17.025206
11,0.110000,1.137597,-0.128140,-2.287429,-15.715631,12.513269,17.026484
12,0.120000,1.377637,0.018194,-1.997839,-15.699011,12.492044,17.035753
13,0.130000,1.220918,-0.149996,-2.305389,-15.710870,12.514750,17.021946
14,0.140000,1.148869,-0.130963,-2.321439,-15.712982,12.510713,17.027596
15,0.150000,1.188292,-0.089624,-2.287002,-15.715928,12.517561,17.023754
16,0.160000,1.198069,-0.122802,-2.286297,-15.711671,12.518370,17.023607
17,0.170000,1.170498,-0.115180,-2.270765,-15.708642,12.517780,17.019800
18,0.180000,1.173317,-0.108343,-2.284423,-15.713431,12.516597,17.024145
19,0.190000,1.173526,-0.145317,-2.323280,-15.711384,12.512527,17.027100
20,0.200000,1.048306,-0.189554,-2.288064,-15.697774,12.505992,17.016693
21,0.210000,1.162726,-0.118266,-2.315989,-15.710658,12.512580,17.023390
22,0.220000,1.281087,-0.124021,-2.224168,-15.716609,12.507677,17.022362
23,0.230000,1.183091,-0.113430,-2.293063,-15.717837,12.516314,17.024300
24,0.240000,1.202847,-0.088664,-2.294356,-15.710698,12.512647,17.028860
25,0.250000,1.198063,-0.122919,-2.286297,-15.711554,12.518295,17.023417
26,0.260000,1.129094,-0.097734,-2.267213,-15.710505,12.515076,17.024071
27,0.270000,1.168202,-0.093142,-2.271625,-15.711305,12.517759,17.022980
28,0.280000,1.212700,-0.140788,-2.327690,-15.712047,12.515175,17.025970
29,0.290000,1.461480,0.054508,-1.952500,-15.702176,12.493502,17.034637
30,0.300000,1.187964,-0.126278,-2.325816,-15.713875,12.513432,17.026672
31,0.310000,0.992709,-0.191992,-2.294152,-15.701705,12.500856,17.020229
32,0.320000,1.173319,-0.108300,-2.284414,-15.713565,12.516653,17.024227
33,0.330000,1.176694,-0.123492,-2.291839,-15.716364,12.515937,17.025419
34,0.340000,3.002237,0.021512,0.144666,-15.726380,12.359650,17.024660
35,0.350000,1.145632,-0.115697,-2.314268,-15.710467,12.511494,17.026787
36,0.360000,1.185818,-0.134182,-2.314012,-15.709160,12.514470,17.022396
37,0.370000,1.204665,-0.110456,-2.308701,-15.706841,12.516883,17.023809
38,0.380000,1.187956,-0.126342,-2.325820,-15.713805,12.513391,17.026543
39,0.390000,1.013240,-0.173040,-2.251028,-15.702083,12.506970,17.016262
40,0.400000,1.191114,-0.101027,-2.319895,-15.712566,12.514496,17.024580
41,0.410000,1.171763,-0.109319,-2.279517,-15.714079,12.516938,17.023981
42,0.420000,1.375129,-0.008687,-2.074715,-15.704170,12.497646,17.035429
43,0.430000,1.251621,-0.108507,-2.246064,-15.708552,12.512777,17.024809
44,0.440000,1.183518,-0.112244,-2.314881,-15.711551,12.514345,17.025385
45,0.450000,1.192785,-0.091099,-2.276097,-15.705625,12.519521,17.021595
