Format Version,1.23,Take Name,61_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-23 01.32.20.551 P.M.,Capture Start Frame,15314803,Total Frames in Take,1714,Total Exported Frames,1714,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee,Qutee,Qutee,Qutee,Qutee,Qutee
,ID,"D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,1.794234,3.702899,0.087226,-15.772017,12.508996,16.408304
1,0.010000,1.775074,3.716045,0.064304,-15.772079,12.510482,16.410412
2,0.020000,1.738920,3.648146,0.059507,-15.766841,12.505923,16.412752
3,0.030000,1.807727,3.708299,0.103920,-15.770645,12.507942,16.407860
4,0.040000,1.745174,3.706498,0.128438,-15.772976,12.511463,16.405029
5,0.050000,1.529250,3.291382,0.974558,-15.822537,12.578574,16.450520
6,0.060000,1.617236,3.712310,-0.151490,-15.768223,12.526338,16.416882
7,0.070000,1.896534,3.797924,-0.287964,-15.752761,12.483863,16.399094
8,0.080000,1.895761,3.808277,-0.288538,-15.752217,12.483891,16.398718
9,0.090000,1.776493,3.693014,0.102190,-15.777164,12.511380,16.406507
10,0.100000,1.776323,3.694214,0.102217,-15.777100,12.511408,16.406818
11,0.110000,1.777277,3.699633,0.104134,-15.776649,12.511344,16.408388
12,0.120000,1.617596,3.702058,-0.090396,-15.779527,12.524692,16.427879
13,0.130000,1.775074,3.716045,0.064304,-15.772079,12.510482,16.410412
14,0.140000,1.752741,3.701441,0.103603,-15.773463,12.514814,16.409664
15,0.150000,1.793474,3.688167,0.057605,-15.774420,12.508006,16.411451
16,0.160000,1.815864,3.704441,0.113879,-15.770621,12.507328,16.407619
17,0.170000,1.613880,3.755661,-0.093525,-15.778093,12.524518,16.422472
18,0.180000,1.807341,3.705570,0.104286,-15.770955,12.508406,16.413572
19,0.190000,1.063732,3.415843,0.254571,-15.751878,12.464534,16.359747
20,0.200000,1.785201,3.689962,0.048069,-15.772477,12.509280,16.414707
21,0.210000,1.761679,3.675041,0.052605,-15.770904,12.507245,16.410837
22,0.220000,1.730857,3.687798,0.074057,-15.770790,12.516728,16.398157
23,0.230000,1.778176,3.704106,0.067166,-15.770247,12.510448,16.407303
24,0.240000,1.760704,3.700463,0.080946,-15.770260,12.508154,16.410513
25,0.250000,1.804199,3.692752,0.077048,-15.770340,12.517540,16.399490
26,0.260000,1.769362,3.707287,0.124788,-15.774790,12.513520,16.411966
27,0.270000,1.787467,3.684411,0.115208,-15.777098,12.510547,16.404909
28,0.280000,1.514153,3.266310,0.987716,-15.820646,12.581505,16.446819
29,0.290000,1.794914,3.698183,0.087420,-15.772198,12.508933,16.406876
30,0.300000,1.777370,3.710272,0.066900,-15.769993,12.510509,16.408724
31,0.310000,1.584173,3.714541,-0.065864,-15.775053,12.525192,16.429441
32,0.320000,1.769223,3.718601,0.123878,-15.774422,12.513052,16.405216
33,0.330000,1.535052,3.294737,0.978814,-15.823214,12.584898,16.450975
34,0.340000,1.535147,3.284055,0.983306,-15.822474,12.583388,16.445961
35,0.350000,1.777382,3.709940,0.066926,-15.770021,12.510530,16.408957
36,0.360000,1.779975,3.711929,0.136442,-15.772718,12.512347,16.402802
37,0.370000,1.745931,3.701394,0.129346,-15.770836,12.511599,16.403828
38,0.380000,1.770082,3.690789,0.091782,-15.770409,12.507421,16.408672
39,0.390000,1.774466,3.720439,0.064114,-15.771832,12.510527,16.411488
40,0.400000,1.795190,3.666772,0.058880,-15.775471,12.508109,16.413511
41,0.410000,1.035649,3.418130,0.259293,-15.749760,12.462616,16.361280
42,0.420000,1.904172,3.689312,-0.281526,-15.757978,12.483776,16.406874
43,0.430000,1.759289,3.735726,0.113175,-15.772183,12.513946,16.407928
44,0.440000,1.777527,3.703188,0.067500,-15.770470,12.510952,16.413521
45,0.450000,1.187546,3.524137,-0.156566,-15.726766,12.435513,16.347458
46,0.460000,1.872943,3.780062,-0.283037,-15.751414,12.482290,16.399996
47,0.470000,1.745538,3.687106,0.084607,-15.774775,12.506878,16.412834
