Format Version,1.23,Take Name,416_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-23 01.47.22.693 P.M.,Capture Start Frame,15404987,Total Frames in Take,1864,Total Exported Frames,1864,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee,Qutee,Qutee,Qutee,Qutee,Qutee
,ID,"D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C","D0FDE0FE015E11EF8C9DA3D1AAC468C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,1.061256,-1.229329,-2.632780,-16.625957,12.461143,15.919752
1,0.010000,1.036023,-1.236899,-2.553359,-16.628258,12.467178,15.920255
2,0.020000,1.038884,-1.212779,-2.526693,-16.629396,12.470696,15.917137
3,0.030000,1.048897,-1.216344,-2.606615,-16.627506,12.463438,15.919847
4,0.040000,1.033318,-1.224078,-2.557045,-16.627083,12.467393,15.921532
5,0.050000,1.000285,-1.235687,-2.550564,-16.628342,12.464590,15.921293
6,0.060000,1.051611,-1.229173,-2.602928,-16.628555,12.463270,15.918654
7,0.070000,1.030980,-1.216864,-2.583768,-16.628212,12.475867,15.926335
8,0.080000,1.067142,-1.236896,-2.581836,-16.628740,12.461987,15.917208
9,0.090000,1.057897,-1.232185,-2.565346,-16.624720,12.463881,15.921476
10,0.100000,1.051568,-1.229191,-2.602979,-16.628553,12.463273,15.918652
11,0.110000,,,,,,
12,0.120000,,,,,,
13,0.130000,,,,,,
14,0.140000,,,,,,
15,0.150000,,,,,,
16,0.160000,,,,,,
17,0.170000,1.045393,-1.237657,-2.582294,-16.625628,12.465078,15.921472
18,0.180000,1.042685,-1.224849,-2.585977,-16.624569,12.465190,15.922770
19,0.190000,,,,,,
20,0.200000,,,,,,
21,0.210000,,,,,,
22,0.220000,,,,,,
23,0.230000,,,,,,
24,0.240000,,,,,,
25,0.250000,,,,,,
26,0.260000,,,,,,
27,0.270000,,,,,,
28,0.280000,,,,,,
29,0.290000,,,,,,
30,0.300000,,,,,,
31,0.310000,1.034195,-1.219607,-2.557346,-16.627964,12.467337,15.920342
32,0.320000,1.030933,-1.246316,-2.536174,-16.631859,12.468184,15.920135
33,0.330000,1.036812,-1.232453,-2.553714,-16.629114,12.467028,15.919125
34,0.340000,1.076590,-1.208328,-2.638386,-16.626560,12.462349,15.916925
35,0.350000,1.045360,-1.237665,-2.582345,-16.625731,12.464925,15.921558
36,0.360000,1.048898,-1.216345,-2.606619,-16.627485,12.463408,15.919868
37,0.370000,1.056736,-1.222540,-2.599622,-16.617954,12.490433,15.908390
38,0.380000,1.049709,-1.211890,-2.606916,-16.628258,12.463440,15.918631
39,0.390000,1.073733,-1.223837,-2.615856,-16.624929,12.460111,15.919574
40,0.400000,1.042126,-1.231686,-2.538300,-16.623901,12.487483,15.916853
41,0.410000,1.051598,-1.229168,-2.602917,-16.628662,12.463169,15.918526
42,0.420000,1.025496,-1.246876,-2.552042,-16.627026,12.466340,15.920931
43,0.430000,1.052125,-1.215072,-2.590947,-16.621830,12.484635,15.916660
44,0.440000,1.048236,-1.225581,-2.634877,-16.623459,12.460567,15.921615
45,0.450000,1.061405,-1.241841,-2.528211,-16.630756,12.485594,15.929148
46,0.460000,1.055112,-1.241554,-2.608840,-16.625759,12.462923,15.921785
47,0.470000,1.065129,-1.213079,-2.608101,-16.628363,12.464437,15.917073
48,0.480000,0.653784,-1.019893,-3.146422,-16.626389,12.497864,15.953512
49,0.490000,1.035994,-1.236907,-2.553408,-16.628368,12.467053,15.920362
50,0.500000,1.061253,-1.229328,-2.632776,-16.626049,12.460995,15.919748
51,0.510000,1.014431,-1.270529,-2.461650,-16.624891,12.496120,15.920204
52,0.520000,1.069850,-1.253735,-2.587451,-16.625196,12.461626,15.921667
53,0.530000,1.061458,-1.215583,-2.560529,-16.622963,12.463633,15.922740
54,0.540000,1.033148,-1.227238,-2.670884,-16.621973,12.463415,15.917164
55,0.550000,1.037840,-1.208504,-2.573602,-16.628876,12.465910,15.918226
56,0.560000,0.622230,-1.022734,-3.118369,-16.625629,12.503317,15.957234
57,0.570000,1.042688,-1.224839,-2.585978,-16.624571,12.465191,15.922771
