,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[(-9.197423, -9.111162)]",[],"[(-9.018374, -7.4557347)]",[],"[(-9.841458, -5.7626624)]","[(-9.880187, -4.3482037)]","[(-9.638934, -3.2371948)]","[(-9.815901, -2.0678701)]","[(-9.859252, -1.7084279)]","[(-9.942325, -0.68208987)]","[(-9.422319, 0.7749258)]","[(-9.047049, 1.5584077)]","[(-9.736605, 2.0956535)]","[(-9.354339, 3.5886135)]","[(-9.001186, 4.433396)]","[(-9.01243, 5.740941)]","[(-9.452449, 6.9088335)]","[(-9.615193, 7.352987)]","[(-9.388675, 8.470407)]",[]
1,[],"[(-8.758488, -8.050989)]","[(-8.174715, -7.039478)]","[(-8.042415, -6.089306)]","[(-8.730014, -5.1418657)]","[(-8.674004, -4.0131745)]","[(-8.123738, -3.337905)]","[(-8.86576, -2.865385)]","[(-8.524771, -1.3445908)]","[(-8.516146, -0.18074664)]","[(-8.088141, 0.29186094)]","[(-8.843319, 1.3018728)]","[(-8.602712, 2.225963)]","[(-8.551775, 3.633341)]","[(-8.559392, 4.1515374)]","[(-8.268559, 5.364468)]","[(-8.953904, 6.6136765)]","[(-8.2819605, 7.32484)]","[(-8.110808, 8.037628)]","[(-8.371423, 9.169072)]"
2,[],"[(-7.3949413, -8.120254)]","[(-7.4061913, -7.784194)]","[(-7.233407, -6.3150754)]","[(-7.032008, -5.4984803)]","[(-7.3075337, -4.3532424)]","[(-7.032963, -3.1122994)]","[(-7.744855, -2.045988)]","[(-7.0750046, -1.8759687)]","[(-7.7178974, -0.81804264)]","[(-7.1337514, 0.07004306)]","[(-7.753497, 1.2034283)]","[(-7.5562806, 2.9223094)]","[(-7.1033177, 3.2079017)]","[(-7.59319, 4.214989)]","[(-7.6621947, 5.46511)]","[(-7.837249, 6.871385)]","[(-7.5253143, 7.520685)]",[],"[(-7.655033, 9.474946)]"
3,"[(-6.367329, -9.567696)]","[(-6.548179, -8.459617)]","[(-6.850536, -7.861076)]","[(-6.736998, -6.4378285)]","[(-6.1325197, -5.9989223)]","[(-6.894089, -4.911919)]","[(-6.375511, -3.2131138)]","[(-6.796707, -2.7185304)]","[(-6.091967, -1.9193865)]","[(-6.380053, -0.70647085)]","[(-6.1085677, 0.14521931)]","[(-6.45073, 1.3446419)]","[(-6.3051167, 2.0824814)]","[(-6.3147106, 3.1687002)]","[(-6.2209973, 4.09456)]","[(-6.3133626, 5.581783)]","[(-6.6919894, 6.5328984)]","[(-6.975926, 7.190823)]","[(-6.5981045, 8.340899)]","[(-6.5610657, 9.660907)]"
4,"[(-5.717654, -9.889292)]","[(-5.8613367, -8.629406)]","[(-5.1956925, -7.042177)]","[(-5.160658, -6.4837523)]","[(-5.824558, -5.567733)]","[(-5.740343, -4.9289155)]","[(-5.3072915, -3.819807)]","[(-5.810677, -2.6908536)]","[(-5.8675895, -1.4409502)]","[(-5.016854, -0.9586517)]","[(-5.3867483, 0.40164474)]","[(-5.3197465, 1.600416)]","[(-5.4350076, 2.7554321)]","[(-5.501627, 3.9263117)]","[(-5.778233, 4.021126)]","[(-5.700225, 5.2475095)]","[(-5.860367, 6.6460023)]","[(-5.5015273, 7.971848)]","[(-5.5608144, 8.008008)]","[(-5.429031, 9.340327)]"
5,"[(-4.933959, -9.194754)]","[(-4.0626097, -8.277628)]","[(-4.2032824, -7.370422)]","[(-4.1467366, -6.7697477)]","[(-4.94051, -5.918148)]","[(-4.9887776, -4.6566086)]","[(-4.105961, -3.107975)]","[(-4.3168817, -2.5403793)]","[(-4.0149155, -1.4401438)]","[(-4.1834173, -0.39811)]","[(-4.594452, 0.13929637)]","[(-4.5217586, 1.3650833)]","[(-4.523678, 2.2217593)]","[(-4.1218157, 3.6203074)]","[(-4.104348, 4.234457)]","[(-4.1741204, 5.0340195)]","[(-4.186788, 6.396708)]","[(-4.2358785, 7.148417)]","[(-4.244021, 8.243592)]","[(-4.1306953, 9.315967)]"
6,"[(-3.288094, -9.0675535)]","[(-3.236653, -8.282617)]","[(-3.0459447, -7.735385)]","[(-3.2257617, -6.5837436)]","[(-3.0160382, -5.027695)]","[(-3.155056, -4.8189206)]","[(-3.2036855, -3.110563)]","[(-3.3361976, -2.9610317)]","[(-3.4215395, -1.6657246)]","[(-3.5152106, -0.24123786)]","[(-3.5694256, 0.07768374)]","[(-3.9423323, 1.3369732)]","[(-3.4007933, 2.1279027)]","[(-3.3813324, 3.672191)]","[(-3.059498, 4.700161)]","[(-3.5125601, 5.862)]","[(-3.324023, 6.4915266)]","[(-3.442584, 7.9216847)]","[(-3.4507143, 8.118814)]","[(-3.1246147, 9.376939)]"
7,"[(-2.8135304, -9.66726)]","[(-2.6053452, -8.604919)]","[(-2.65014, -7.9031186)]","[(-2.1824331, -6.932456)]","[(-2.9416132, -5.428828)]","[(-2.0340466, -4.2638044)]","[(-2.7923298, -3.7480364)]","[(-2.0555232, -2.0552237)]","[(-2.2702866, -1.2565852)]","[(-2.2414422, -0.75712883)]","[(-2.338364, 0.078323215)]","[(-2.9673803, 1.0923392)]","[(-2.1687016, 2.996468)]","[(-2.1322014, 3.863683)]","[(-2.5569055, 4.903201)]","[(-2.4518363, 5.715088)]","[(-2.5538735, 6.9391575)]","[(-2.821342, 7.3405867)]","[(-2.887096, 8.2887)]","[(-2.2639027, 9.966941)]"
8,"[(-1.0973159, -9.416853)]","[(-1.7941241, -8.727796)]","[(-1.298672, -7.921136)]","[(-1.3077862, -6.252954)]","[(-1.378018, -5.7264)]","[(-1.7527477, -4.852)]","[(-1.2859477, -3.2592003)]","[(-1.8028241, -2.6738977)]","[(-1.6106893, -1.7838736)]","[(-1.2812613, -0.28819087)]","[(-1.8685187, 0.08243989)]","[(-1.0074836, 1.6354635)]","[(-1.7368939, 2.9308536)]","[(-1.1103244, 3.2208831)]","[(-1.6793145, 4.6239676)]","[(-1.700723, 5.1364107)]","[(-1.0108378, 6.209889)]","[(-1.9506127, 7.0449862)]","[(-1.680022, 8.133165)]","[(-1.2034225, 9.431387)]"
9,"[(-0.6380905, -9.565407)]","[(-0.39117262, -8.119471)]","[(-0.92686546, -7.8530354)]","[(-0.29030848, -6.759929)]","[(-0.22905764, -5.1267815)]","[(-0.39867663, -4.4334264)]","[(-0.9181479, -3.4160082)]","[(-0.23388182, -2.3923204)]","[(-0.0767241, -1.1283422)]","[(-0.7263007, -0.8355687)]","[(-0.022395786, 0.1751987)]","[(-0.1562503, 1.9741861)]","[(-0.7219005, 2.456002)]","[(-0.51563627, 3.59723)]","[(-0.5976531, 4.3628044)]","[(-0.30746353, 5.5895987)]","[(-0.5215062, 6.814403)]","[(-0.35557762, 7.2684026)]","[(-0.18239787, 8.915065)]","[(-0.7572792, 9.035856)]"
