,0
0,12
1,27
2,71
3,100
4,130
5,142
6,157
7,176
8,198
9,206
10,215
11,237
12,238
13,247
14,265
15,281
16,301
17,307
18,308
19,317
20,326
21,331
22,338
23,346
24,361
25,362
26,393
27,416
28,421
29,429
30,430
31,434
32,453
33,454
34,456
35,458
36,490
37,491
38,496
39,499
40,500
41,509
42,514
43,515
44,516
45,517
46,528
47,534
48,544
49,546
50,547
51,551
52,556
53,557
54,568
55,572
56,580
57,587
58,592
59,594
60,598
61,601
62,606
63,612
64,613
65,616
66,619
67,624
68,627
69,629
70,636
71,638
72,639
73,644
74,645
75,646
76,656
77,657
78,659
79,669
80,686
81,696
82,697
83,698
84,700
85,706
86,707
87,714
88,716
89,731
90,736
91,737
92,738
93,739
94,749
95,753
96,754
97,756
98,761
99,767
100,771
101,774
102,776
103,779
104,786
105,788
106,790
107,794
108,796
109,797
110,801
111,804
112,805
113,809
114,810
115,813
116,814
117,816
118,817
119,820
120,822
121,830
122,832
123,833
124,834
125,836
126,837
127,840
128,841
129,842
130,853
131,856
132,858
133,859
134,864
135,865
136,866
137,869
138,875
139,876
140,878
141,880
142,883
143,890
144,892
145,894
146,895
147,899
148,902
149,904
150,905
151,906
152,908
153,909
154,910
155,912
156,913
157,914
158,915
159,916
160,920
161,922
162,923
163,926
164,927
165,928
166,929
167,933
168,936
169,937
170,938
171,941
172,943
173,945
174,946
175,948
176,949
177,950
178,953
179,954
180,958
181,959
182,961
183,968
184,969
185,973
186,974
187,975
188,979
189,980
190,981
191,983
192,987
193,989
194,991
195,992
196,993
197,994
198,995
199,1000
200,1003
201,1004
202,1006
203,1007
204,1010
205,1011
206,1013
207,1014
208,1016
209,1017
210,1019
211,1023
212,1025
213,1029
214,1033
215,1034
216,1035
217,1036
218,1037
219,1040
220,1041
221,1044
222,1047
223,1048
224,1049
225,1052
226,1055
227,1056
228,1057
229,1058
230,1059
231,1060
232,1063
233,1066
234,1068
235,1069
236,1070
237,1073
238,1074
239,1077
240,1078
241,1079
242,1081
243,1083
244,1087
245,1088
246,1090
247,1092
248,1093
249,1094
250,1095
251,1096
252,1097
253,1098
254,1100
255,1101
256,1102
257,1104
258,1105
259,1106
260,1108
261,1110
262,1111
263,1113
264,1114
265,1116
266,1117
267,1118
268,1120
269,1121
270,1122
271,1123
272,1124
273,1125
274,1126
275,1128
276,1129
277,1130
278,1131
279,1132
280,1134
281,1138
282,1139
283,1140
284,1144
285,1145
286,1146
287,1147
288,1150
289,1151
290,1153
291,1154
292,1156
293,1157
294,1158
295,1159
296,1160
297,1161
298,1162
299,1164
300,1165
301,1166
302,1167
303,1168
304,1171
305,1172
306,1173
307,1174
308,1176
309,1178
310,1180
311,1181
312,1184
313,1185
314,1186
315,1187
316,1188
317,1189
318,1190
319,1191
320,1194
321,1195
322,1196
323,1197
324,1198
325,1199
326,1200
327,1201
328,1202
329,1203
330,1204
331,1205
332,1206
333,1207
334,1208
335,1209
336,1210
337,1211
338,1212
339,1213
340,1215
341,1216
342,1217
343,1218
344,1219
345,1220
346,1221
347,1222
348,1224
349,1225
350,1226
351,1227
352,1228
353,1229
354,1230
355,1231
356,1232
357,1233
358,1234
359,1235
360,1236
361,1237
362,1238
363,1239
364,1240
365,1241
366,1242
367,1243
368,1244
369,1245
370,1246
371,1247
372,1248
373,1249
374,1250
375,1251
376,1252
