,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,51/400,100,65,[0.6678],[0.2535],[0.0942],[0.9931],"[-6.2949,-7.8467]","[5.5144,4.6981]",34.06,1166.92
1,algoQD,1,73/400,100,40,[0.6812],[0.2439],[0.0942],[0.9931],"[-8.6911,-7.8467]","[8.0136,5.4742]",49.73,600.91
2,algoQD,2,89/400,100,37,[0.7158],[0.2306],[0.0942],[0.9931],"[-8.6911,-7.8467]","[8.0255,6.9431]",63.70,605.01
3,algoQD,3,105/400,100,39,[0.7256],[0.2361],[0.0919],[0.9931],"[-8.6911,-7.7969]","[8.5531,6.9431]",76.19,601.65
4,algoQD,4,121/400,100,35,[0.7493],[0.2336],[0.0919],[0.9948],"[-8.6911,-8.4708]","[8.5531,6.9431]",90.66,608.22
5,algoQD,5,131/400,100,30,[0.7751],[0.2128],[0.114],[0.9948],"[-8.6911,-8.4708]","[8.5549,6.9431]",101.53,612.75
6,algoQD,6,143/400,100,26,[0.7854],[0.2152],[0.114],[0.9983],"[-8.6911,-9.1935]","[8.5549,6.9431]",112.31,609.86
7,algoQD,7,149/400,100,30,[0.8121],[0.1962],[0.0649],[0.9983],"[-8.6911,-9.1935]","[8.5549,7.5314]",121.01,621.61
8,algoQD,8,160/400,100,25,[0.8235],[0.181],[0.0649],[0.9983],"[-8.6911,-9.1935]","[9.2628,7.5314]",131.77,613.54
9,algoQD,9,176/400,100,29,[0.8245],[0.1718],[0.1162],[0.9995],"[-9.0586,-9.1935]","[9.2628,7.5314]",145.11,613.45
10,algoQD,10,185/400,100,20,[0.8323],[0.1621],[0.1477],[0.9995],"[-9.0586,-9.1935]","[9.2628,9.4765]",153.98,613.90
11,algoQD,11,192/400,100,23,[0.8394],[0.1536],[0.1978],[0.9995],"[-9.0586,-9.1935]","[9.3569,9.4765]",161.17,616.40
12,algoQD,12,201/400,100,21,[0.8415],[0.1543],[0.1223],[0.9995],"[-9.0586,-9.1935]","[9.3665,9.4765]",169.14,609.74
13,algoQD,13,212/400,100,22,[0.8375],[0.157],[0.1223],[0.9995],"[-9.0586,-9.1935]","[9.3665,9.4765]",177.54,604.47
14,algoQD,14,216/400,100,16,[0.839],[0.1563],[0.1223],[0.9995],"[-9.0586,-9.1935]","[9.3665,9.4765]",181.22,614.85
15,algoQD,15,222/400,100,18,[0.8376],[0.1609],[0.1223],[0.9995],"[-9.0586,-9.1935]","[9.3665,9.4765]",185.95,614.79
16,algoQD,16,228/400,100,21,[0.8374],[0.1688],[0.1223],[0.9995],"[-9.0586,-9.1935]","[9.3665,9.4765]",190.93,608.93
17,algoQD,17,233/400,100,20,[0.8423],[0.1632],[0.1223],[0.9995],"[-9.0586,-9.1935]","[9.3665,9.4765]",196.26,613.26
18,algoQD,18,235/400,100,23,[0.8502],[0.1567],[0.1223],[0.9995],"[-9.0586,-9.6813]","[9.3665,9.4765]",199.80,610.24
19,algoQD,19,242/400,100,22,[0.8499],[0.1598],[0.1223],[0.9995],"[-9.0586,-9.7790]","[9.3665,9.4765]",205.68,611.52
20,algoQD,20,244/400,100,12,[0.8489],[0.1629],[0.1223],[0.9995],"[-9.0586,-9.7790]","[9.3665,9.4765]",207.13,615.54
21,algoQD,21,246/400,100,12,[0.854],[0.1607],[0.1223],[0.9995],"[-9.0586,-9.7790]","[9.3665,9.4765]",210.08,616.91
22,algoQD,22,254/400,100,19,[0.8549],[0.1649],[0.0936],[0.9997],"[-9.0586,-9.7790]","[9.5685,9.4765]",217.14,619.14
