,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,1,3,2,2,4,5,4,2,1,2,1,2,0,1
1,0,0,0,0,3,1,1,3,4,6,3,6,3,2,2,6,3,1,0,1
2,0,0,0,2,2,3,4,1,3,2,5,5,4,4,4,3,3,3,0,0
3,0,0,1,4,1,2,4,4,2,3,5,8,5,5,3,4,3,1,2,1
4,0,3,2,3,4,2,3,2,6,6,7,5,3,5,5,2,3,2,2,2
5,1,0,4,4,3,3,4,4,5,3,5,5,2,3,5,5,5,3,2,1
6,2,4,3,3,2,5,3,4,6,7,6,4,5,3,4,5,5,3,2,3
7,2,3,4,3,5,5,4,3,3,3,7,5,4,5,4,3,3,4,4,2
8,2,3,4,3,2,4,8,4,5,7,7,5,4,10,3,3,4,3,2,2
9,3,4,4,2,4,3,6,3,6,1,9,5,8,5,5,4,4,2,5,3
10,4,4,4,6,3,4,4,2,6,9,6,7,5,2,1,6,7,2,2,2
11,2,5,2,4,3,5,8,8,4,6,8,3,9,3,5,4,3,3,2,2
12,1,4,5,3,2,4,2,4,7,3,7,4,5,4,6,4,2,3,1,1
13,1,2,6,4,5,3,3,7,5,4,3,4,4,1,6,5,4,3,1,1
14,3,2,1,2,3,3,6,2,3,3,8,3,2,4,1,2,1,0,1,1
15,0,0,1,1,3,2,4,5,8,4,4,4,4,2,2,4,2,1,1,1
16,1,2,1,2,2,3,2,1,4,4,4,2,3,1,3,2,1,1,0,0
17,0,1,1,1,0,2,3,2,3,4,3,3,3,5,2,3,0,0,0,0
18,0,0,0,0,2,1,2,2,1,3,1,4,3,1,3,1,0,0,0,0
19,0,0,0,0,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
