,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,"(0.9098861694335938,)","(0.7021382225884332,)",,"(0.996464627318912,)","(0.7865558624267578,)","(0.9596135960684882,)","(0.9781628847122192,)","(0.9391151481204563,)","(0.9931995709737141,)","(0.7405480914645725,)","(0.7386592653062609,)",,"(0.5324849446614583,)",,,
1,"(0.5612702263726128,)",,,,"(0.43894814385308156,)","(0.9108671188354492,)","(0.8716270022922092,)","(0.9956058614783817,)","(0.919961871041192,)","(0.997047084901068,)","(0.9934040917290582,)","(0.9360795232984754,)","(0.9719719039069281,)","(0.874084218343099,)","(0.8143125534057617,)","(0.8520978715684678,)","(0.9960265854994456,)","(0.7505244149102105,)","(0.9725884993871053,)",
2,"(0.6866851382785373,)",,"(0.8744634734259711,)","(0.4621735466851128,)","(0.8277979744805231,)","(0.9554032219780816,)","(0.9572937965393067,)","(0.9874038563834296,)","(0.9824123329586453,)","(0.9593948788113065,)","(0.9904530882835388,)","(0.9700972080230713,)","(0.975098106596205,)","(0.876650153266059,)","(0.9998401737875409,)","(0.9994146953026454,)","(0.45133840772840705,)","(0.7950848049587673,)","(0.33817736307779944,)","(0.43041445414225254,)"
3,"(0.9912650459342532,)","(0.6701857037014431,)","(0.9947188754876455,)","(0.8573810577392578,)","(0.858885998196072,)","(0.9396182590060764,)","(0.9969171024031109,)","(0.9956654340028763,)","(0.9928218649493323,)","(0.99493072297838,)","(0.9991931703355578,)","(0.9910259134239621,)","(0.9682716714011298,)","(0.9676365746392144,)","(0.967941223250495,)","(0.9692841609319051,)","(0.9564129643970065,)","(0.9310727649264865,)",,
4,"(0.9348164982265896,)","(0.7111290401882595,)","(0.7042252434624565,)","(0.8237731509738498,)","(0.7348739624023437,)","(0.8887314690483941,)","(0.9409723175896538,)","(0.9776265621185303,)","(0.9933920568890042,)","(0.9999663167529635,)","(0.9707850774129232,)","(0.982694168885549,)","(0.9776627990934584,)","(0.974901721212599,)","(0.9875765721003215,)","(0.991650852892134,)","(0.9839533050855,)","(0.8366320716010199,)",,
5,"(0.9727446662055121,)","(0.8763381428188748,)","(0.6903221554226345,)","(0.9528622892167833,)","(0.8805623584323459,)","(0.9908977144294315,)","(0.9445817735460069,)","(0.957881236076355,)","(0.9614612076017591,)","(0.9948818935288324,)","(0.9894722289509243,)","(0.9981995741526286,)","(0.9808874885241191,)","(0.9629739973280165,)","(0.9938117901484171,)","(0.9749927838643392,)","(0.9535620636410184,)","(0.9765246311823527,)","(0.7343875461154514,)",
6,"(0.958214079009162,)","(0.8856041590372721,)","(0.8124560462103949,)","(0.9710979329215156,)","(0.9312969048817953,)","(0.9940119127432505,)","(0.9926468802822961,)","(0.9941598170333439,)","(0.9934740073151058,)","(0.9957068337334527,)","(0.993870660993788,)","(0.993411335017946,)","(0.9970107820298937,)","(0.9629616737365723,)","(0.9754680554072063,)","(0.9899904727935791,)","(0.9901071972317166,)","(0.8976594924926757,)","(0.8064421547783746,)","(0.8528344048394098,)"
7,"(0.978668216864268,)","(0.9532917658487956,)","(0.9202413558959961,)","(0.9957372466723124,)","(0.9860115051269531,)","(0.9860281176037259,)","(0.9970458136664496,)","(0.9976416693793403,)","(0.966132108370463,)","(0.9925202859772576,)","(0.9890784806675381,)","(0.9749629762437608,)","(0.9932478308677674,)","(0.9944592896434996,)","(0.9909915400875939,)","(0.8969797664218478,)","(0.928129620022244,)","(0.9514792124430338,)","(0.8921918021308051,)","(0.777712525261773,)"
8,"(0.9970429526435004,)","(0.8694503466288248,)","(0.9572207901212905,)","(0.9955181996027629,)","(0.9974396376146211,)","(0.9874445994695028,)","(0.9503977775573731,)","(0.9860727945963542,)","(0.9999009476767646,)","(0.9998825427558687,)","(0.9892694267961714,)","(0.9919871442847782,)","(0.9970825990041097,)","(0.9946509573194716,)","(0.9556267632378472,)","(0.9993878311581081,)","(0.9903211381700304,)","(0.9994650214910508,)","(0.9271906322903103,)","(0.987464862399631,)"
9,"(0.9171010547214085,)","(0.9785256942113241,)","(0.9929805397987366,)","(0.9497310691409641,)","(0.9923405978414748,)","(0.9984181722005209,)","(0.9948992345068189,)","(0.9957787781953812,)","(0.9993134710523818,)","(0.9998998501234584,)","(0.9998471736907959,)","(0.9960636350843641,)","(0.9878544025950962,)","(0.985388904147678,)","(0.986106875207689,)","(0.9961945669518577,)","(0.9930041253566741,)","(0.9704335742526584,)","(0.9569826311535305,)","(0.9966118706597222,)"
