,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,2,3,3,1,1,3,1,2,3,0,0,0,0,1,0
1,0,0,1,1,2,1,3,2,2,2,1,2,3,0,1,0,1,1,1,0
2,0,2,3,2,2,3,5,5,3,3,4,4,1,1,3,2,3,1,0,1
3,0,1,2,3,2,3,6,2,3,7,3,4,3,4,2,2,2,3,1,1
4,0,1,3,2,3,1,4,3,2,1,6,4,2,4,3,2,2,3,2,0
5,2,1,3,2,3,2,3,5,4,4,3,2,3,5,5,5,1,5,2,0
6,1,4,4,1,4,5,4,4,3,5,6,3,3,6,3,1,2,1,3,1
7,1,2,4,3,3,4,6,9,5,4,3,3,5,4,4,5,4,3,2,6
8,2,2,2,1,3,9,4,7,5,10,5,5,6,7,7,3,4,3,5,5
9,4,2,2,2,5,6,6,7,7,7,7,4,3,5,8,5,3,3,4,2
10,2,2,3,3,3,4,4,4,3,9,5,7,4,6,6,5,3,3,1,4
11,1,2,2,2,3,3,5,8,7,7,7,5,5,7,3,5,3,3,2,2
12,1,1,4,5,3,5,4,3,9,4,4,6,10,5,1,4,2,2,4,4
13,0,2,3,4,4,1,2,3,1,7,8,2,3,3,3,4,3,5,3,4
14,2,2,4,2,3,8,5,3,2,6,9,3,3,5,4,2,3,4,3,1
15,1,1,2,2,4,4,3,3,3,3,5,4,3,3,3,4,2,2,3,6
16,0,1,3,2,2,2,2,5,4,4,3,4,4,3,3,4,3,4,1,2
17,0,1,0,2,1,1,3,5,2,3,4,3,2,2,2,2,3,3,2,3
18,0,1,0,2,4,3,3,4,2,4,5,3,4,3,2,4,2,2,3,2
19,0,0,0,1,1,2,3,1,4,3,2,4,1,2,3,0,2,3,1,0
