,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,"(0.9722789022657606,)","(0.48930914137098525,)","(0.7309345881144206,)","(0.9467460155487061,)","(0.7461014217800563,)","(0.961489799287584,)","(0.9134979671902127,)","(0.9311905490027533,)",,"(0.9853019052081637,)","(0.5867245144314236,)","(0.4277141994900173,)",,,,,,
1,"(0.9748261769612631,)",,,"(0.8806305461459689,)","(0.898386828104655,)","(0.9842185788684421,)","(0.8452320416768392,)","(0.9554279910193549,)","(0.9630700005425348,)","(0.816611565483941,)","(0.929029311074151,)","(0.9328991889953613,)","(0.8890223185221354,)","(0.5977828979492188,)","(0.7798536512586806,)","(0.4886234283447265,)",,,,
2,"(0.7848327212863498,)","(0.9943328115675184,)","(0.9582010375128852,)","(0.9683383650249905,)","(0.9478237417009142,)","(0.9093402862548828,)","(0.9512829727596707,)","(0.9043063587612576,)","(0.9538998815748426,)","(0.9713405821058485,)","(0.9284739971160889,)","(0.8832088576422797,)","(0.8082434548272027,)","(0.9779440376493665,)","(0.6654517279730903,)","(0.7113001505533854,)","(0.7161665598551432,)",,,
3,"(0.8020803875393338,)","(0.9295185830858018,)","(0.9749623722500271,)","(0.99920637872484,)","(0.9979768382178412,)","(0.97540283203125,)","(0.9949657069312201,)","(0.9855561335881551,)","(0.9534966945648193,)","(0.9985200034247504,)","(0.9863072978125678,)","(0.9298720412784153,)","(0.9914140873485141,)","(0.9296746889750163,)","(0.7439821667141384,)","(0.8829010857476128,)","(0.6925877465142144,)","(0.7293728298611111,)",,
4,"(0.9960553275214301,)","(0.993629847632514,)","(0.9763532691531711,)","(0.9510803858439127,)","(0.9998826291826036,)","(0.9540590074327256,)","(0.9953584829966228,)","(0.9860214445326063,)","(0.9991347153981527,)","(0.9972203546100192,)","(0.9910861757066515,)","(0.9964396688673232,)","(0.9657041708628337,)","(0.9413788477579752,)","(0.8487602763705784,)","(0.9739474058151245,)","(0.9980224821302626,)","(0.9714668009016248,)","(0.8308019002278646,)",
5,"(0.9551839192708333,)","(0.9791167418162028,)","(0.9793494436475966,)","(0.9737073103586833,)","(0.9866269747416179,)","(0.9684112548828125,)","(0.998265086279975,)","(0.9953542308674919,)","(0.9931158734692468,)","(0.9957407057285309,)","(0.9721059428320991,)","(0.9730048709445529,)","(0.9892428159713745,)","(0.9977702981895871,)","(0.8344658745659722,)","(0.919004249572754,)","(0.83526062435574,)","(0.9637007342444526,)","(0.9738149219089084,)","(0.693912590874566,)"
6,"(0.9094440990024143,)","(0.9624153772989908,)","(0.9736294746398926,)","(0.969087897406684,)","(0.9933628135257297,)","(0.9939179049597846,)","(0.9794035289022658,)","(0.9901194519466824,)","(0.9982381608751085,)","(0.9920738716920217,)","(0.9786980575985379,)","(0.988775634765625,)","(0.9606165303124322,)","(0.9971845557292303,)","(0.9135703298780653,)","(0.83560791015625,)","(0.9955228053861194,)","(0.9329149881998697,)","(0.9645792113410102,)",
7,"(0.9754991637335884,)","(0.9967230293485854,)","(0.8987788836161296,)","(0.981129052903917,)","(0.900991333855523,)","(0.9916739675733778,)","(0.9885732465320163,)","(0.9884392420450846,)","(0.9694273418850369,)","(0.9846920198864407,)","(0.9921189606189728,)","(0.9809802651405335,)","(0.9754041698243883,)","(0.9934490548239814,)","(0.9983387417263455,)","(0.95901976691352,)","(0.9749473068449233,)","(0.9656926367017958,)","(0.9403656429714626,)","(0.9493715551164416,)"
8,"(0.8994252310858832,)","(0.9442315366533067,)","(0.951030535168118,)","(0.9928777482774522,)","(0.9598200056287978,)","(0.9994101961453755,)","(0.9971681594848633,)","(0.995757089720832,)","(0.9979627662234836,)","(0.9993025218447049,)","(0.9988527443673876,)","(0.9963131616512935,)","(0.9953952689965566,)","(0.9703517728381686,)","(0.9718456957075331,)","(0.9939772844314575,)","(0.992172368367513,)","(0.9650792227851019,)","(0.9872419304317899,)","(0.9906196547879114,)"
9,"(0.9729092650943332,)","(0.9623943911658392,)","(0.9432108349270291,)","(0.9903957333829668,)","(0.9802140580283271,)","(0.9756946086883544,)","(0.9985318846172757,)","(0.9999155195222961,)","(0.9965616252687243,)","(0.9986498001548979,)","(0.9995919867522187,)","(0.9990538203881847,)","(0.9973078360160191,)","(0.942668342590332,)","(0.9702744642893474,)","(0.9680437114503648,)","(0.9830708397759331,)","(0.9543136490715874,)","(0.9591159635119968,)","(0.9763853073120117,)"
