,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,42/400,100,61,[0.714],[0.2503],[0.0121],[1.],"[-4.1502,-4.3440]","[6.2148,5.5034]",29.99,819.11
1,algoQD,1,61/400,100,36,[0.7155],[0.2494],[0.0121],[1.],"[-4.1502,-5.3531]","[6.2148,6.0246]",43.65,415.85
2,algoQD,2,78/400,100,33,[0.7154],[0.2639],[0.0121],[1.],"[-4.9309,-6.6781]","[6.2148,6.0246]",55.81,411.55
3,algoQD,3,87/400,100,25,[0.7301],[0.2585],[0.0121],[1.],"[-4.9309,-7.2805]","[6.2148,6.0246]",63.52,412.77
4,algoQD,4,95/400,100,19,[0.733],[0.2658],[0.0098],[1.],"[-5.3436,-7.2805]","[6.2148,6.0246]",69.64,414.95
5,algoQD,5,101/400,100,16,[0.7406],[0.2619],[0.0098],[1.],"[-5.3436,-7.2805]","[6.2148,6.0246]",74.80,412.28
6,algoQD,6,112/400,100,22,[0.7565],[0.2549],[0.0098],[1.],"[-5.3436,-8.7537]","[6.2148,6.0502]",84.73,417.11
7,algoQD,7,117/400,100,13,[0.7774],[0.2409],[0.0098],[1.],"[-6.0379,-8.7537]","[6.2148,6.0502]",90.95,414.62
8,algoQD,8,125/400,100,25,[0.7884],[0.2325],[0.0121],[1.],"[-6.0379,-8.7537]","[6.2148,6.0502]",98.55,413.08
9,algoQD,9,133/400,100,17,[0.7912],[0.2241],[0.0121],[1.],"[-6.0379,-8.7537]","[8.9845,6.0502]",105.22,412.75
10,algoQD,10,139/400,100,16,[0.8143],[0.196],[0.1748],[1.],"[-6.0379,-8.7537]","[8.9845,6.8310]",113.19,413.33
11,algoQD,11,145/400,100,23,[0.8195],[0.1972],[0.174],[1.],"[-6.0379,-8.7537]","[8.9845,7.1036]",118.83,414.70
12,algoQD,12,153/400,100,19,[0.8265],[0.1867],[0.174],[1.],"[-7.7921,-8.7537]","[8.9845,7.1036]",126.46,413.58
13,algoQD,13,159/400,100,21,[0.839],[0.1692],[0.174],[1.],"[-7.7921,-8.7537]","[8.9845,7.7248]",133.41,415.32
14,algoQD,14,166/400,100,19,[0.8437],[0.1691],[0.174],[1.],"[-7.7921,-8.7537]","[8.9845,8.1053]",140.05,412.99
15,algoQD,15,170/400,100,15,[0.8493],[0.1652],[0.174],[1.],"[-7.7921,-8.7537]","[8.9845,8.1053]",144.39,415.59
16,algoQD,16,177/400,100,19,[0.8506],[0.1642],[0.174],[1.],"[-7.7921,-8.7537]","[8.9845,8.1053]",150.56,415.24
17,algoQD,17,186/400,100,16,[0.8481],[0.1657],[0.174],[1.],"[-7.7921,-9.9902]","[8.9845,8.1053]",157.74,412.26
18,algoQD,18,189/400,100,14,[0.8489],[0.1677],[0.174],[1.],"[-7.7921,-9.9902]","[8.9845,8.1053]",160.45,413.51
19,algoQD,19,195/400,100,17,[0.8571],[0.154],[0.174],[1.],"[-7.7921,-9.9902]","[8.9845,8.1053]",167.13,414.74
20,algoQD,20,202/400,100,16,[0.851],[0.1602],[0.174],[1.],"[-7.7921,-9.9902]","[8.9845,8.1053]",171.91,414.47
21,algoQD,21,208/400,100,15,[0.856],[0.1573],[0.174],[1.],"[-9.2557,-9.9902]","[8.9845,8.6840]",178.05,414.01
22,algoQD,22,213/400,100,15,[0.8588],[0.1589],[0.174],[1.],"[-9.2557,-9.9902]","[8.9845,8.6840]",182.93,416.26
23,algoQD,23,217/400,100,14,[0.865],[0.1505],[0.2784],[1.],"[-9.2557,-9.9902]","[8.9845,8.6840]",187.70,414.53
24,algoQD,24,219/400,100,12,[0.8698],[0.146],[0.2784],[1.],"[-9.2557,-9.9902]","[8.9845,8.6840]",190.49,416.83
25,algoQD,25,224/400,100,18,[0.8743],[0.1444],[0.2784],[1.],"[-9.2557,-9.9902]","[8.9845,8.6840]",195.84,413.62
26,algoQD,26,228/400,100,13,[0.8744],[0.1461],[0.2784],[1.],"[-9.5230,-9.9902]","[8.9845,8.6840]",199.37,415.93
27,algoQD,27,231/400,100,13,[0.8746],[0.1484],[0.2784],[1.],"[-9.5230,-9.9902]","[8.9845,8.6840]",202.02,415.41
28,algoQD,28,233/400,100,12,[0.8737],[0.1514],[0.2784],[1.],"[-9.5230,-9.9902]","[8.9845,8.6840]",203.58,419.77
29,algoQD,29,237/400,100,10,[0.8746],[0.1505],[0.2784],[1.],"[-9.5230,-9.9902]","[8.9845,8.6840]",207.28,413.60
30,algoQD,30,239/400,100,11,[0.8768],[0.1503],[0.2784],[1.],"[-9.5230,-9.9902]","[8.9845,8.6840]",209.55,414.66
31,algoQD,31,241/400,100,11,[0.88],[0.1459],[0.2784],[1.],"[-9.5230,-9.9902]","[8.9845,9.5118]",212.08,416.14
32,algoQD,32,246/400,100,16,[0.8802],[0.1452],[0.2784],[1.],"[-9.5312,-9.9902]","[8.9845,9.5118]",216.53,416.76
33,algoQD,33,250/400,100,17,[0.881],[0.1503],[0.2112],[1.],"[-9.5312,-9.9902]","[8.9845,9.5118]",220.24,419.67
34,algoQD,34,255/400,100,12,[0.8776],[0.1555],[0.1402],[1.],"[-9.5312,-9.9902]","[9.8287,9.5118]",223.79,422.30
35,algoQD,35,260/400,100,12,[0.8824],[0.1421],[0.2112],[1.],"[-9.5312,-9.9902]","[9.8287,9.5118]",229.43,419.56
36,algoQD,36,265/400,100,10,[0.882],[0.1424],[0.2112],[1.],"[-9.5312,-9.9902]","[9.8287,9.5118]",233.74,421.88
37,algoQD,37,266/400,100,15,[0.8869],[0.1383],[0.2112],[1.],"[-9.6907,-9.9902]","[9.8287,9.5118]",235.90,417.93
38,algoQD,38,269/400,100,9,[0.8896],[0.1319],[0.2112],[1.],"[-9.6907,-9.9965]","[9.8287,9.5118]",239.31,417.33
39,algoQD,39,273/400,100,8,[0.8892],[0.1333],[0.2112],[1.],"[-9.6907,-9.9965]","[9.8287,9.5118]",242.74,415.62
40,algoQD,40,275/400,100,10,[0.8918],[0.1299],[0.2112],[1.],"[-9.6907,-9.9965]","[9.8287,9.5118]",245.26,422.13
41,algoQD,41,279/400,100,12,[0.89],[0.1317],[0.2112],[1.],"[-9.9516,-9.9965]","[9.8287,9.5118]",248.32,416.92
42,algoQD,42,282/400,100,8,[0.8922],[0.1301],[0.2112],[1.],"[-9.9516,-9.9965]","[9.8287,9.5118]",251.60,416.59
43,algoQD,43,285/400,100,11,[0.8916],[0.1335],[0.2112],[1.],"[-9.9516,-9.9965]","[9.8287,9.5118]",254.11,415.33
44,algoQD,44,286/400,100,9,[0.8923],[0.1333],[0.2112],[1.],"[-9.9516,-9.9965]","[9.8287,9.5118]",255.21,413.86
45,algoQD,45,288/400,100,9,[0.8944],[0.1315],[0.2112],[1.],"[-9.9516,-9.9965]","[9.8287,9.5118]",257.58,414.34
