,0
0,45
1,90
2,108
3,125
4,149
5,150
6,157
7,160
8,174
9,189
10,201
11,239
12,262
13,265
14,284
15,286
16,297
17,299
18,336
19,340
20,373
21,374
22,382
23,385
24,392
25,420
26,435
27,453
28,456
29,470
30,471
31,476
32,477
33,480
34,484
35,494
36,495
37,497
38,499
39,502
40,506
41,513
42,518
43,520
44,523
45,526
46,531
47,547
48,555
49,558
50,563
51,566
52,568
53,573
54,580
55,584
56,587
57,590
58,595
59,606
60,607
61,617
62,620
63,623
64,626
65,635
66,639
67,642
68,654
69,656
70,658
71,675
72,680
73,682
74,683
75,687
76,694
77,696
78,699
79,701
80,702
81,706
82,707
83,710
84,711
85,716
86,721
87,725
88,730
89,731
90,733
91,736
92,737
93,738
94,745
95,746
96,751
97,752
98,762
99,765
100,766
101,767
102,768
103,771
104,774
105,778
106,779
107,787
108,790
109,799
110,802
111,803
112,807
113,808
114,809
115,811
116,814
117,818
118,819
119,820
120,821
121,823
122,825
123,830
124,831
125,833
126,834
127,838
128,843
129,845
130,849
131,852
132,858
133,860
134,861
135,862
136,863
137,867
138,871
139,872
140,873
141,874
142,876
143,878
144,879
145,880
146,881
147,882
148,884
149,888
150,889
151,890
152,891
153,892
154,893
155,894
156,895
157,896
158,898
159,899
160,909
161,910
162,911
163,912
164,916
165,917
166,919
167,921
168,922
169,924
170,929
171,930
172,933
173,934
174,939
175,940
176,941
177,942
178,943
179,944
180,947
181,948
182,949
183,950
184,951
185,952
186,953
187,954
188,956
189,959
190,960
191,961
192,963
193,964
194,965
195,968
196,974
197,975
198,978
199,979
200,980
201,984
202,985
203,986
204,987
205,989
206,990
207,992
208,993
209,994
210,996
211,997
212,999
213,1001
214,1002
215,1003
216,1004
217,1006
218,1010
219,1011
220,1012
221,1013
222,1014
223,1015
224,1019
225,1020
226,1022
227,1026
228,1028
229,1029
230,1030
231,1031
232,1032
233,1035
234,1036
235,1037
236,1038
237,1040
238,1041
239,1044
240,1046
241,1048
242,1049
243,1050
244,1051
245,1052
246,1053
247,1054
248,1055
249,1056
250,1057
251,1058
252,1059
253,1060
254,1061
255,1062
256,1063
257,1064
258,1065
259,1067
260,1069
261,1073
262,1074
263,1076
264,1078
265,1080
266,1081
267,1082
268,1083
269,1084
270,1085
271,1086
272,1087
273,1088
274,1089
275,1090
276,1091
277,1092
278,1093
279,1094
280,1095
281,1096
282,1097
283,1098
284,1099
285,1100
286,1102
287,1103
288,1105
289,1106
290,1107
291,1109
292,1110
293,1111
294,1113
295,1114
296,1115
297,1118
298,1119
299,1120
300,1121
301,1122
302,1123
303,1124
304,1125
305,1126
306,1127
307,1128
308,1129
309,1130
310,1131
311,1132
312,1133
313,1134
314,1135
315,1136
316,1137
317,1138
318,1139
319,1140
320,1141
321,1142
322,1145
323,1146
324,1147
325,1148
326,1149
327,1150
328,1151
329,1153
330,1154
331,1155
332,1156
333,1157
334,1158
335,1159
336,1160
337,1161
338,1162
339,1164
340,1165
341,1166
342,1167
343,1168
344,1169
345,1170
346,1171
347,1172
348,1173
349,1175
350,1176
351,1177
352,1178
353,1179
354,1181
355,1182
356,1183
357,1184
358,1185
359,1186
360,1187
361,1188
362,1189
363,1190
364,1191
365,1192
