,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.110122, -7.3291616)]",[],[],"[(-9.105574, -4.0710735)]","[(-9.097641, -3.9426136)]",[],"[(-9.168934, -1.9611515)]","[(-9.763375, -0.082031615)]","[(-9.045458, 0.7565706)]","[(-9.892194, 1.3435125)]","[(-9.563662, 2.4392781)]","[(-9.01601, 3.7868137)]","[(-9.276298, 4.6296864)]",[],[],[],[],[]
1,[],[],[],[],"[(-8.681976, -5.231958)]","[(-8.333933, -4.9037194)]","[(-8.21613, -3.655414)]","[(-8.907224, -2.2924144)]","[(-8.674808, -1.890442)]","[(-8.603181, -0.584776)]","[(-8.397443, 0.39539874)]","[(-8.631483, 1.636626)]","[(-8.040155, 2.535071)]","[(-8.156877, 3.9957078)]","[(-8.159802, 4.0602903)]","[(-8.633561, 5.01374)]",[],[],[],[]
2,[],"[(-7.136952, -8.659375)]","[(-7.0485415, -7.3241167)]","[(-7.0380306, -6.288318)]","[(-7.221795, -5.1754985)]","[(-7.1564665, -4.634341)]","[(-7.6490307, -3.6140804)]","[(-7.3293834, -2.7430148)]","[(-7.5318465, -1.7960689)]","[(-7.573244, -0.07117212)]","[(-7.1346984, 0.65472114)]","[(-7.797384, 1.1511732)]","[(-7.7868414, 2.519979)]","[(-7.5690813, 3.472998)]","[(-7.9553814, 4.8948183)]","[(-7.9157667, 5.4425287)]","[(-7.0687737, 6.5840387)]","[(-7.612014, 7.601076)]",[],[]
3,[],[],"[(-6.1411295, -7.246882)]","[(-6.1357694, -6.7376)]","[(-6.853293, -5.539326)]","[(-6.886926, -4.4109273)]","[(-6.7006865, -3.4751017)]","[(-6.412491, -2.4465866)]","[(-6.0410676, -1.0328755)]","[(-6.0329285, -0.9813575)]","[(-6.1853104, 0.121350564)]","[(-6.1581697, 1.3573645)]","[(-6.5224285, 2.8742068)]","[(-6.772021, 3.3145106)]","[(-6.5754504, 4.9485765)]","[(-6.069739, 5.8967237)]","[(-6.644323, 6.675727)]","[(-6.3376513, 7.779709)]","[(-6.5544033, 8.2779875)]",[]
4,"[(-5.5900826, -9.228129)]","[(-5.790247, -8.697087)]","[(-5.273402, -7.457725)]","[(-5.2644773, -6.2051263)]","[(-5.0173936, -5.9956236)]","[(-5.7149835, -4.775046)]","[(-5.2857175, -3.6784923)]","[(-5.855632, -2.3428726)]","[(-5.6099973, -1.8899008)]","[(-5.4129257, -0.87799674)]","[(-5.248489, 0.2460305)]","[(-5.035307, 1.676435)]","[(-5.5558305, 2.2587395)]","[(-5.933664, 3.366681)]","[(-5.1709905, 4.9414835)]","[(-5.0777564, 5.1298394)]","[(-5.0180154, 6.940421)]","[(-5.3463244, 7.404746)]","[(-5.0215144, 8.031637)]","[(-5.2870345, 9.109456)]"
5,"[(-4.995506, -9.13813)]","[(-4.929964, -8.830738)]","[(-4.296026, -7.4666896)]","[(-4.1179786, -6.5416465)]","[(-4.12199, -5.111032)]","[(-4.2992163, -4.954058)]","[(-4.5820785, -3.0371828)]","[(-4.174715, -2.4434721)]","[(-4.991496, -1.1346358)]","[(-4.8601465, -0.865625)]","[(-4.3362646, 0.15167949)]","[(-4.700064, 1.854902)]","[(-4.4641914, 2.6729271)]","[(-4.632318, 3.0370572)]","[(-4.6012583, 4.4307566)]","[(-4.69945, 5.1606035)]","[(-4.0345306, 6.094965)]","[(-4.523376, 7.639642)]","[(-4.6294246, 8.330016)]","[(-4.36372, 9.03158)]"
6,"[(-3.135271, -9.280381)]","[(-3.3292346, -8.339206)]","[(-3.7340536, -7.6110897)]","[(-3.4991174, -6.025621)]","[(-3.0191205, -5.8898764)]","[(-3.2625475, -4.0775704)]","[(-3.7545547, -3.076527)]","[(-3.3416169, -2.7939036)]","[(-3.5604076, -1.5574806)]","[(-3.9196918, -0.2866967)]","[(-3.7959702, 0.6024501)]","[(-3.4151716, 1.968389)]","[(-3.9844055, 2.8545785)]","[(-3.6735334, 3.815626)]","[(-3.9700162, 4.5645866)]","[(-3.6923454, 5.588652)]","[(-3.6196895, 6.3238425)]","[(-3.543791, 7.928896)]","[(-3.7590554, 8.042542)]","[(-3.8449886, 9.657072)]"
7,"[(-2.3840578, -9.257825)]","[(-2.015809, -8.806593)]","[(-2.6758354, -7.912293)]","[(-2.25796, -6.332289)]","[(-2.8731892, -5.458005)]","[(-2.7982323, -4.536509)]","[(-2.3112986, -3.6066277)]","[(-2.3049746, -2.7705433)]","[(-2.6831722, -1.1102226)]","[(-2.5896587, -0.4740509)]","[(-2.3280249, 0.11650771)]","[(-2.9189785, 1.3171388)]","[(-2.3855312, 2.0427394)]","[(-2.0803776, 3.2683892)]","[(-2.5014355, 4.761854)]","[(-2.533911, 5.209155)]","[(-2.5176864, 6.302174)]","[(-2.2851412, 7.2731047)]","[(-2.992376, 8.466569)]","[(-2.2927992, 9.097583)]"
8,"[(-1.4743742, -9.500073)]","[(-1.6981134, -8.827246)]","[(-1.1120045, -7.2734356)]","[(-1.8690175, -6.062913)]","[(-1.3553042, -5.267373)]","[(-1.1953329, -4.829483)]","[(-1.985381, -3.9936435)]","[(-1.6506377, -2.2614298)]","[(-1.1904093, -1.549266)]","[(-1.036164, -0.3166066)]","[(-1.6374054, 0.6912823)]","[(-1.3131268, 1.6057017)]","[(-1.1438937, 2.0988212)]","[(-1.050878, 3.105078)]","[(-1.4937472, 4.447494)]","[(-1.6831405, 5.6560163)]","[(-1.9920505, 6.2676077)]","[(-1.5587013, 7.753716)]","[(-1.7886842, 8.706339)]","[(-1.4932848, 9.545376)]"
9,"[(-0.5270361, -9.664094)]","[(-0.25645685, -8.159764)]","[(-0.17464603, -7.860144)]","[(-0.7195663, -6.259327)]","[(-0.74821293, -5.9624176)]","[(-0.5804023, -4.077736)]","[(-0.1183256, -3.201015)]","[(-0.043051176, -2.1985757)]","[(-0.6305267, -1.2037717)]","[(-0.08069712, -0.3078957)]","[(-0.34831822, 0.013950117)]","[(-0.1643251, 1.3242987)]","[(-0.33437726, 2.4529283)]","[(-0.91406256, 3.9205203)]","[(-0.7911598, 4.0369234)]","[(-0.6175053, 5.0931673)]","[(-0.47258517, 6.3217993)]","[(-0.57298446, 7.351715)]","[(-0.7635398, 8.39484)]","[(-0.7495917, 9.193052)]"
10,"[(0.99624383, -9.62197)]","[(0.8013501, -8.404181)]","[(0.6899364, -7.13602)]","[(0.21335031, -6.0964284)]","[(0.26097035, -5.5148444)]","[(0.9577525, -4.473863)]","[(0.04422299, -3.44724)]","[(0.08508381, -2.7350514)]","[(0.03908228, -1.4371779)]","[(0.36875588, -0.17312479)]","[(0.6200385, 0.1502657)]","[(0.8957431, 1.7942209)]","[(0.17416103, 2.0241058)]","[(0.63637406, 3.2077115)]","[(0.3550941, 4.4326186)]","[(0.5319458, 5.8307157)]","[(0.2595563, 6.958844)]","[(0.25540498, 7.723997)]","[(0.74546593, 8.170055)]","[(0.78838503, 9.775149)]"
11,"[(1.3077229, -9.409008)]","[(1.1424791, -8.161286)]","[(1.5477322, -7.323779)]","[(1.2683519, -6.0047545)]","[(1.4420842, -5.2126966)]","[(1.1726928, -4.417738)]","[(1.7639416, -3.6307294)]","[(1.7125679, -2.7850175)]","[(1.5645487, -1.6906911)]","[(1.9880115, -0.8919783)]","[(1.4585953, 0.16852832)]","[(1.591899, 1.4032433)]","[(1.7384173, 2.7488804)]","[(1.5130937, 3.7221649)]","[(1.3931117, 4.335634)]","[(1.316002, 5.8612947)]","[(1.9178587, 6.609075)]","[(1.8986039, 7.4691806)]","[(1.9342104, 8.18592)]","[(1.4977596, 9.412685)]"
12,"[(2.141139, -9.701789)]","[(2.3615086, -8.48076)]","[(2.6299272, -7.292298)]","[(2.656812, -6.948016)]","[(2.434151, -5.8174872)]","[(2.2426674, -4.8906655)]","[(2.4016426, -3.928347)]","[(2.0669806, -2.9963777)]","[(2.0300987, -1.2161154)]","[(2.6538064, -0.06089774)]","[(2.3756115, 0.36091867)]","[(2.9276917, 1.7791882)]","[(2.3214908, 2.661313)]","[(2.7000923, 3.5213647)]","[(2.0479965, 4.796994)]","[(2.4206848, 5.943826)]","[(2.3780007, 6.2933865)]","[(2.034588, 7.5581055)]","[(2.6078455, 8.279263)]","[(2.4470458, 9.059425)]"
13,"[(3.0761027, -9.257853)]","[(3.5928507, -8.195215)]","[(3.394593, -7.535338)]","[(3.265297, -6.043558)]","[(3.0668743, -5.2521777)]","[(3.5446868, -4.0474086)]","[(3.8099692, -3.161947)]","[(3.3777208, -2.6806042)]","[(3.2289457, -1.0714227)]","[(3.482498, -0.39539805)]","[(3.6718106, 0.8263778)]","[(3.9625142, 1.8677181)]","[(3.436176, 2.3510048)]","[(3.3099263, 3.727235)]","[(3.2072432, 4.005789)]","[(3.7210839, 5.104989)]","[(3.3995085, 6.359848)]","[(3.8409264, 7.6751723)]","[(3.4646833, 8.441485)]","[(3.110568, 9.147959)]"
14,[],"[(4.366973, -8.668001)]","[(4.3538957, -7.655239)]","[(4.7312627, -6.879404)]","[(4.025371, -5.9194164)]","[(4.9551806, -4.531941)]","[(4.887474, -3.977575)]","[(4.1206603, -2.186297)]","[(4.4272633, -1.5784222)]","[(4.857489, -0.7732904)]","[(4.176909, 0.4653024)]","[(4.2236123, 1.264017)]","[(4.8448358, 2.521052)]","[(4.3837557, 3.529911)]","[(4.0151286, 4.5776296)]","[(4.140723, 5.769164)]","[(4.1616306, 6.994268)]","[(4.45524, 7.3601446)]","[(4.8613887, 8.426185)]","[(4.2367268, 9.396898)]"
15,"[(5.622946, -9.898822)]","[(5.726605, -8.50275)]","[(5.2817593, -7.215425)]","[(5.1548853, -6.261741)]","[(5.9449186, -5.031755)]","[(5.9266043, -4.5057955)]","[(5.55362, -3.2756982)]","[(5.9601617, -2.9654713)]","[(5.0811543, -1.0032176)]","[(5.2247353, -0.883469)]","[(5.66706, 0.19589448)]","[(5.0768423, 1.6622527)]","[(5.045398, 2.3891153)]","[(5.5687757, 3.0878143)]","[(5.789708, 4.698382)]","[(5.3569365, 5.4461603)]","[(5.065837, 6.247301)]","[(5.599373, 7.420586)]","[(5.0537443, 8.835614)]","[(5.646457, 9.965096)]"
16,[],[],"[(6.9624705, -7.547475)]","[(6.257048, -6.3926845)]","[(6.854136, -5.3630495)]","[(6.74284, -4.3054433)]","[(6.4513445, -3.873084)]","[(6.4632244, -2.9258285)]","[(6.082061, -1.6579976)]","[(6.9986806, -0.48483992)]","[(6.4985356, 0.4971384)]","[(6.947397, 1.8811921)]","[(6.6170993, 2.270768)]","[(6.9230695, 3.3175538)]","[(6.720975, 4.2377553)]","[(6.1388273, 5.942679)]","[(6.3980217, 6.9509363)]","[(6.5733557, 7.387588)]","[(6.379209, 8.939022)]",[]
17,[],[],"[(7.6318808, -7.652045)]","[(7.439788, -6.6369534)]","[(7.2070737, -5.100809)]","[(7.294405, -4.602154)]","[(7.227853, -3.2448726)]","[(7.054413, -2.6099522)]","[(7.280179, -1.4534622)]","[(7.347002, -0.48012242)]","[(7.351014, 0.7596488)]","[(7.837814, 1.3443123)]","[(7.0295978, 2.1353476)]","[(7.8182387, 3.6804428)]","[(7.450756, 4.0618606)]","[(7.567545, 5.838759)]","[(7.320006, 6.1627474)]","[(7.535757, 7.0801654)]","[(7.5382643, 8.119338)]",[]
18,[],[],"[(8.583408, -7.071938)]","[(8.254841, -6.518168)]",[],"[(8.181702, -4.1175013)]","[(8.52516, -3.2191782)]","[(8.007596, -2.4626212)]",[],"[(8.077685, -0.88240623)]","[(8.003845, 0.5164529)]","[(8.449169, 1.3894081)]","[(8.835392, 2.0630863)]","[(8.442319, 3.7028146)]","[(8.463648, 4.7636113)]","[(8.373654, 5.388814)]","[(8.297541, 6.0805645)]","[(8.807244, 7.674049)]","[(8.238053, 8.00287)]",[]
19,[],[],[],[],[],[],"[(9.052219, -3.468815)]","[(9.757878, -2.3778615)]","[(9.108481, -1.8309247)]","[(9.011081, -0.09130752)]","[(9.98314, 0.704775)]",[],"[(9.242925, 2.164578)]","[(9.9783535, 3.11018)]","[(9.279666, 4.1732416)]","[(9.756321, 5.3313475)]",[],"[(9.639061, 7.7117443)]",[],[]
