,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,31/400,100,45,[0.7253],[0.2398],[0.1766],[0.9983],"[-5.4594,-4.4233]","[6.2377,6.0512]",22.48,2072.10
1,algoQD,1,47/400,100,26,[0.7185],[0.2547],[0.1766],[0.9984],"[-5.4594,-4.4233]","[6.4392,6.0512]",33.77,1042.45
2,algoQD,2,66/400,100,27,[0.7146],[0.2626],[0.1319],[0.9984],"[-8.8508,-6.0466]","[6.9877,6.0512]",47.17,1041.00
3,algoQD,3,87/400,100,32,[0.7152],[0.2515],[0.0964],[0.9984],"[-8.8508,-6.0466]","[6.9877,8.0831]",62.22,1039.69
4,algoQD,4,111/400,100,34,[0.7134],[0.2416],[0.1124],[0.9999],"[-8.8508,-8.1675]","[6.9877,8.2841]",79.19,1040.94
5,algoQD,5,125/400,100,29,[0.7287],[0.23],[0.1124],[0.9999],"[-8.8508,-8.1675]","[7.5678,8.7838]",91.09,1040.49
6,algoQD,6,141/400,100,33,[0.7557],[0.2166],[0.144],[0.9999],"[-8.8508,-8.1675]","[7.5678,9.8959]",106.56,1040.90
7,algoQD,7,156/400,100,27,[0.7531],[0.2298],[0.0073],[0.9999],"[-8.8508,-8.1675]","[8.2514,9.8959]",117.48,1041.38
8,algoQD,8,169/400,100,27,[0.7692],[0.2093],[0.0073],[0.9999],"[-8.8508,-8.1675]","[9.0966,9.8959]",129.99,1041.34
9,algoQD,9,178/400,100,23,[0.7718],[0.2139],[0.0073],[0.9999],"[-8.8508,-8.7909]","[9.0966,9.8959]",137.38,1042.32
10,algoQD,10,185/400,100,27,[0.7836],[0.2063],[0.0073],[0.9999],"[-8.8508,-8.7909]","[9.9527,9.8959]",144.97,1041.27
11,algoQD,11,195/400,100,21,[0.7931],[0.2029],[0.0073],[0.9999],"[-8.8508,-8.7909]","[9.9527,9.8959]",154.66,1041.60
12,algoQD,12,201/400,100,17,[0.801],[0.2007],[0.0073],[0.9999],"[-8.8508,-8.7909]","[9.9527,9.8959]",161.00,1042.70
13,algoQD,13,211/400,100,19,[0.8038],[0.1988],[0.0073],[0.9999],"[-8.8508,-8.7909]","[9.9527,9.8959]",169.60,1041.22
14,algoQD,14,217/400,100,16,[0.8108],[0.1909],[0.0073],[0.9999],"[-8.8508,-8.7909]","[9.9527,9.8959]",175.94,1042.38
15,algoQD,15,222/400,100,16,[0.8096],[0.1992],[0.0073],[0.9999],"[-8.8508,-8.7909]","[9.9527,9.8959]",179.72,1040.01
16,algoQD,16,224/400,100,14,[0.8156],[0.1931],[0.0073],[0.9999],"[-8.8508,-8.7909]","[9.9527,9.8959]",182.70,1039.20
17,algoQD,17,232/400,100,18,[0.8185],[0.1881],[0.0073],[0.9999],"[-8.8508,-8.7909]","[9.9527,9.9824]",189.89,1038.96
18,algoQD,18,240/400,100,16,[0.8186],[0.1825],[0.0226],[0.9999],"[-8.8508,-8.7909]","[9.9527,9.9824]",196.46,1037.95
19,algoQD,19,245/400,100,19,[0.8231],[0.1813],[0.0226],[0.9999],"[-8.8508,-8.7909]","[9.9527,9.9824]",201.67,1037.82
20,algoQD,20,247/400,100,14,[0.8235],[0.1862],[0.0226],[0.9999],"[-9.2235,-8.7909]","[9.9527,9.9824]",203.39,1038.44
21,algoQD,21,254/400,100,17,[0.8216],[0.189],[0.0226],[0.9999],"[-9.2235,-8.7909]","[9.9527,9.9824]",208.69,1038.44
22,algoQD,22,256/400,100,16,[0.8292],[0.1844],[0.0038],[0.9999],"[-9.2235,-8.7909]","[9.9527,9.9824]",212.27,1038.03
23,algoQD,23,262/400,100,16,[0.8303],[0.1839],[0.0038],[0.9999],"[-9.2235,-9.4372]","[9.9527,9.9824]",217.55,1038.18
24,algoQD,24,266/400,100,11,[0.8312],[0.1787],[0.0038],[0.9999],"[-9.2235,-9.4372]","[9.9527,9.9824]",221.11,1037.53
25,algoQD,25,271/400,100,19,[0.8356],[0.1792],[0.0038],[0.9999],"[-9.2235,-9.4372]","[9.9527,9.9824]",226.44,1039.77
26,algoQD,26,272/400,100,14,[0.8398],[0.1778],[0.0038],[0.9999],"[-9.2235,-9.4372]","[9.9527,9.9824]",228.42,1037.50
27,algoQD,27,273/400,100,5,[0.8418],[0.1774],[0.0038],[0.9999],"[-9.2235,-9.4372]","[9.9527,9.9824]",229.82,1038.07
28,algoQD,28,277/400,100,18,[0.8426],[0.1785],[0.0038],[0.9999],"[-9.2235,-9.4372]","[9.9527,9.9824]",233.39,1037.17
29,algoQD,29,278/400,100,16,[0.8491],[0.1743],[0.0038],[0.9999],"[-9.2235,-9.4372]","[9.9527,9.9824]",236.05,1039.78
30,algoQD,30,279/400,100,13,[0.8525],[0.1751],[0.0038],[0.9999],"[-9.2235,-9.4372]","[9.9527,9.9824]",237.85,1037.67
31,algoQD,31,284/400,100,15,[0.8502],[0.1796],[0.0038],[0.9999],"[-9.2235,-9.4372]","[9.9527,9.9824]",241.46,1038.27
32,algoQD,32,286/400,100,12,[0.8518],[0.1838],[0.0038],[0.9999],"[-9.2235,-9.4372]","[9.9527,9.9824]",243.61,1039.49
33,algoQD,33,289/400,100,7,[0.8526],[0.1828],[0.0038],[0.9999],"[-9.2235,-9.4372]","[9.9527,9.9824]",246.40,1038.93
