,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],"[(-9.010332, -6.4389424)]",[],[],"[(-9.350572, -3.801647)]","[(-9.8158865, -2.5077708)]","[(-9.204678, -1.3809737)]","[(-9.612632, -0.37588838)]","[(-9.716837, 0.61705256)]","[(-9.011179, 1.0296283)]","[(-9.070915, 2.0638628)]","[(-9.411759, 3.3958948)]","[(-9.112215, 4.3341475)]",[],"[(-9.450596, 6.8871064)]","[(-9.632246, 7.8082256)]","[(-9.006111, 8.186489)]",[]
1,[],"[(-8.588152, -8.278294)]",[],"[(-8.33883, -6.012382)]","[(-8.621454, -5.454255)]","[(-8.675458, -4.922292)]","[(-8.8383465, -3.3638012)]","[(-8.491266, -2.6856165)]","[(-8.696505, -1.8888398)]","[(-8.262969, -0.47886413)]","[(-8.723717, 0.15721288)]","[(-8.936814, 1.0283933)]","[(-8.718129, 2.4155908)]","[(-8.028016, 3.5441728)]","[(-8.523293, 4.346941)]","[(-8.200687, 5.122805)]","[(-8.218236, 6.737323)]","[(-8.529426, 7.4325905)]","[(-8.800269, 8.3574)]","[(-8.454627, 9.337107)]"
2,[],"[(-7.043097, -8.5795)]",[],"[(-7.117451, -6.197077)]","[(-7.2100487, -5.2474184)]","[(-7.759058, -4.46264)]","[(-7.3668995, -3.643122)]","[(-7.7701874, -2.7760215)]","[(-7.220728, -1.843911)]","[(-7.181087, -0.66437864)]","[(-7.203412, 0.04955651)]","[(-7.973973, 1.2131923)]","[(-7.541677, 2.1191206)]","[(-7.059822, 3.85653)]","[(-7.6043572, 4.244465)]","[(-7.670757, 5.7554345)]","[(-7.3275833, 6.20562)]","[(-7.709312, 7.901546)]","[(-7.563089, 8.1409855)]","[(-7.664067, 9.171346)]"
3,[],"[(-6.1602445, -8.566025)]","[(-6.8713093, -7.689378)]","[(-6.2366548, -6.0317354)]","[(-6.2190194, -5.824097)]","[(-6.213151, -4.6522655)]","[(-6.1867795, -3.5155795)]","[(-6.416179, -2.809651)]","[(-6.327633, -1.2489201)]","[(-6.385399, -0.29505756)]","[(-6.8519154, 0.19008696)]","[(-6.70791, 1.0468086)]","[(-6.837758, 2.4243307)]","[(-6.2453265, 3.4598494)]","[(-6.6096287, 4.4139004)]","[(-6.5203853, 5.0369987)]","[(-6.469262, 6.5256085)]","[(-6.1937246, 7.935533)]","[(-6.6235905, 8.178813)]","[(-6.0926776, 9.821846)]"
4,[],"[(-5.344915, -8.716828)]","[(-5.65559, -7.1855946)]","[(-5.6698346, -6.181884)]","[(-5.742592, -5.248603)]","[(-5.536755, -4.824891)]","[(-5.7228684, -3.5772982)]","[(-5.2041135, -2.1506472)]","[(-5.280815, -1.0104132)]","[(-5.230097, -0.26312247)]","[(-5.7499604, 0.6665189)]","[(-5.6694236, 1.1312023)]","[(-5.3753533, 2.0969229)]","[(-5.57167, 3.4125075)]","[(-5.4723234, 4.826119)]","[(-5.106749, 5.039564)]","[(-5.494682, 6.734843)]","[(-5.5352144, 7.587089)]","[(-5.8428564, 8.67605)]","[(-5.094499, 9.50449)]"
5,"[(-4.3711033, -9.851587)]","[(-4.629655, -8.29264)]","[(-4.7814755, -7.2726936)]","[(-4.4868784, -6.362596)]","[(-4.1590867, -5.66235)]","[(-4.6126404, -4.146439)]","[(-4.3186502, -3.8488038)]","[(-4.2204504, -2.177971)]","[(-4.13187, -1.2447604)]","[(-4.1881733, -0.98012227)]","[(-4.2617517, 0.18725428)]","[(-4.734644, 1.3947803)]","[(-4.7255273, 2.9914348)]","[(-4.818565, 3.9802697)]","[(-4.940552, 4.8968425)]","[(-4.662615, 5.0603347)]","[(-4.0054536, 6.7538004)]","[(-4.2325387, 7.0149717)]","[(-4.415661, 8.424375)]","[(-4.633331, 9.711279)]"
6,"[(-3.8177953, -9.893978)]","[(-3.463108, -8.178359)]","[(-3.1642334, -7.610547)]","[(-3.9250586, -6.318802)]","[(-3.9174676, -5.885445)]","[(-3.3401227, -4.276867)]","[(-3.3728027, -3.206653)]","[(-3.4837193, -2.115329)]","[(-3.2838979, -1.412623)]","[(-3.0646713, -0.26103076)]","[(-3.3108115, 0.94780886)]","[(-3.2531154, 1.0532726)]","[(-3.3970368, 2.2029457)]","[(-3.0374744, 3.548635)]","[(-3.229314, 4.526859)]","[(-3.2029762, 5.676574)]","[(-3.4670057, 6.911792)]","[(-3.6151536, 7.25285)]","[(-3.8987818, 8.758649)]","[(-3.0839188, 9.8751)]"
7,"[(-2.259448, -9.462685)]","[(-2.6819525, -8.520454)]","[(-2.3472295, -7.1010203)]","[(-2.0709903, -6.473002)]","[(-2.6226602, -5.4118853)]","[(-2.1093557, -4.411708)]","[(-2.2605493, -3.6634297)]","[(-2.790049, -2.0358953)]","[(-2.0750322, -1.4001749)]","[(-2.1080372, -0.9584601)]","[(-2.4158328, 0.9519479)]","[(-2.5142145, 1.675452)]","[(-2.9278355, 2.6113749)]","[(-2.7607532, 3.4534678)]","[(-2.316463, 4.653327)]","[(-2.3831542, 5.732863)]","[(-2.4902134, 6.0224714)]","[(-2.2729108, 7.455851)]","[(-2.841327, 8.823691)]","[(-2.6393769, 9.903307)]"
8,"[(-1.1773233, -9.3317)]","[(-1.843329, -8.439017)]","[(-1.4791961, -7.5780854)]","[(-1.8151993, -6.4018803)]","[(-1.5917811, -5.1922283)]","[(-1.7293398, -4.299668)]","[(-1.0357018, -3.967518)]","[(-1.3971417, -2.3500865)]","[(-1.2694757, -1.0295248)]","[(-1.0644469, -0.22101955)]","[(-1.1956489, 0.13467331)]","[(-1.8981699, 1.8552319)]","[(-1.67244, 2.2879975)]","[(-1.4675956, 3.05217)]","[(-1.7421463, 4.8631363)]","[(-1.1254771, 5.1712976)]","[(-1.702568, 6.3362617)]","[(-1.8499596, 7.113311)]","[(-1.8484865, 8.505511)]","[(-1.2431834, 9.605427)]"
9,"[(-0.7557698, -9.060772)]","[(-0.9888157, -8.411213)]","[(-0.3764724, -7.5970783)]","[(-0.4799005, -6.713726)]","[(-0.4611732, -5.2119617)]","[(-0.10623661, -4.0747843)]","[(-0.013174913, -3.426465)]","[(-0.1073934, -2.47421)]","[(-0.11368936, -1.4466785)]","[(-0.1870806, -0.09733832)]","[(-0.36537635, 0.039217003)]","[(-0.78058016, 1.2951683)]","[(-0.3520716, 2.4713888)]","[(-0.38534486, 3.4829667)]","[(-0.7163449, 4.5507517)]","[(-0.119660854, 5.974527)]","[(-0.83080715, 6.0981426)]","[(-0.03789772, 7.8260674)]","[(-0.61461574, 8.155051)]","[(-0.22253174, 9.246879)]"
