,0
0,23
1,49
2,90
3,129
4,136
5,145
6,158
7,164
8,167
9,169
10,174
11,176
12,177
13,182
14,183
15,222
16,244
17,268
18,275
19,278
20,284
21,285
22,290
23,306
24,315
25,329
26,339
27,342
28,351
29,355
30,358
31,383
32,384
33,394
34,405
35,406
36,413
37,433
38,445
39,453
40,462
41,465
42,468
43,471
44,472
45,475
46,477
47,479
48,483
49,507
50,510
51,511
52,513
53,522
54,525
55,533
56,535
57,542
58,547
59,559
60,560
61,563
62,564
63,565
64,567
65,572
66,586
67,590
68,592
69,596
70,603
71,605
72,612
73,614
74,618
75,620
76,621
77,622
78,623
79,625
80,629
81,638
82,639
83,642
84,643
85,647
86,649
87,659
88,662
89,668
90,669
91,677
92,678
93,679
94,685
95,686
96,698
97,702
98,704
99,716
100,717
101,728
102,730
103,733
104,736
105,737
106,740
107,742
108,744
109,750
110,753
111,756
112,757
113,760
114,762
115,767
116,775
117,779
118,781
119,785
120,786
121,787
122,788
123,792
124,793
125,794
126,799
127,800
128,802
129,804
130,806
131,808
132,819
133,821
134,833
135,836
136,837
137,838
138,840
139,841
140,842
141,843
142,845
143,847
144,849
145,850
146,852
147,854
148,859
149,860
150,864
151,866
152,869
153,871
154,876
155,877
156,880
157,883
158,884
159,888
160,889
161,890
162,893
163,894
164,895
165,896
166,898
167,899
168,905
169,909
170,910
171,911
172,914
173,915
174,916
175,920
176,922
177,924
178,925
179,926
180,927
181,929
182,930
183,931
184,933
185,935
186,936
187,937
188,938
189,940
190,941
191,942
192,944
193,947
194,948
195,951
196,952
197,953
198,955
199,956
200,957
201,958
202,964
203,965
204,969
205,970
206,972
207,976
208,977
209,978
210,979
211,980
212,981
213,982
214,984
215,985
216,987
217,988
218,989
219,992
220,994
221,995
222,996
223,998
224,1000
225,1004
226,1005
227,1007
228,1008
229,1010
230,1011
231,1012
232,1015
233,1016
234,1019
235,1020
236,1022
237,1025
238,1026
239,1029
240,1032
241,1033
242,1034
243,1036
244,1037
245,1038
246,1040
247,1041
248,1042
249,1044
250,1047
251,1048
252,1050
253,1052
254,1053
255,1054
256,1055
257,1056
258,1058
259,1059
260,1061
261,1062
262,1063
263,1064
264,1065
265,1067
266,1068
267,1072
268,1073
269,1074
270,1075
271,1076
272,1078
273,1083
274,1084
275,1085
276,1086
277,1089
278,1090
279,1091
280,1093
281,1094
282,1096
283,1097
284,1098
285,1099
286,1100
287,1101
288,1102
289,1103
290,1104
291,1105
292,1106
293,1107
294,1110
295,1112
296,1113
297,1114
298,1115
299,1116
300,1117
301,1118
302,1119
303,1121
304,1123
305,1124
306,1125
307,1126
308,1127
309,1128
310,1129
311,1131
312,1133
313,1134
314,1136
315,1138
316,1141
317,1142
318,1144
319,1145
320,1146
321,1147
322,1148
323,1150
324,1151
325,1152
326,1154
327,1155
328,1156
329,1157
330,1158
331,1159
332,1160
333,1161
334,1162
335,1163
336,1164
337,1165
338,1166
339,1167
340,1168
341,1169
342,1170
343,1171
344,1172
345,1173
346,1174
347,1175
348,1176
349,1177
350,1178
351,1179
352,1180
353,1181
354,1182
355,1183
356,1184
357,1185
358,1186
359,1187
360,1188
361,1189
362,1190
363,1191
364,1192
365,1193
366,1194
367,1195
368,1196
369,1197
370,1198
371,1199
372,1200
373,1201
374,1202
375,1203
376,1204
377,1205
378,1206
379,1207
380,1208
381,1209
382,1210
383,1211
384,1212
