,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,37/400,100,50,[0.6403],[0.2904],[0.0536],[0.9979],"[-3.1512,-8.8686]","[4.2809,8.4937]",23.69,2074.98
1,algoQD,1,57/400,100,43,[0.7164],[0.2694],[0.0536],[0.9997],"[-3.6606,-8.8686]","[8.1807,8.4937]",40.83,1043.18
2,algoQD,2,80/400,100,33,[0.7041],[0.2747],[0.0069],[0.9998],"[-8.6149,-8.8686]","[9.5258,8.4937]",56.33,1042.91
3,algoQD,3,102/400,100,38,[0.7179],[0.2499],[0.0527],[0.9998],"[-8.6149,-8.8686]","[9.5258,8.4937]",73.23,1044.37
4,algoQD,4,120/400,100,40,[0.7383],[0.2373],[0.0527],[0.9998],"[-8.6149,-8.8686]","[9.5258,8.4937]",88.60,1042.56
5,algoQD,5,140/400,100,33,[0.755],[0.2177],[0.0527],[0.9998],"[-8.6149,-8.8686]","[9.5258,8.4937]",105.70,1042.63
6,algoQD,6,156/400,100,29,[0.7562],[0.2239],[0.0527],[0.9998],"[-8.6149,-8.8686]","[9.5258,9.3567]",117.96,1041.83
7,algoQD,7,171/400,100,25,[0.7654],[0.2217],[0.0527],[0.9998],"[-8.6149,-8.8686]","[9.5258,9.3567]",130.88,1042.15
8,algoQD,8,184/400,100,32,[0.7704],[0.2211],[0.0725],[0.9998],"[-8.6149,-8.8686]","[9.5258,9.3567]",141.75,1041.35
9,algoQD,9,192/400,100,21,[0.7777],[0.2239],[0.0725],[0.9998],"[-8.6149,-8.8686]","[9.5258,9.3567]",149.31,1044.85
10,algoQD,10,209/400,100,29,[0.7752],[0.2264],[0.0713],[0.9998],"[-8.6149,-8.8686]","[9.5258,9.7560]",162.01,1042.78
11,algoQD,11,216/400,100,24,[0.7795],[0.2322],[0.0713],[0.9998],"[-8.6149,-8.8686]","[9.5258,9.7560]",168.37,1042.00
12,algoQD,12,220/400,100,14,[0.7896],[0.222],[0.0531],[0.9998],"[-8.6149,-8.8686]","[9.5258,9.8937]",173.70,1043.57
13,algoQD,13,229/400,100,21,[0.7935],[0.22],[0.0531],[0.9998],"[-9.0801,-8.8686]","[9.5258,9.8937]",181.72,1041.74
14,algoQD,14,235/400,100,25,[0.7997],[0.2168],[0.0531],[0.9998],"[-9.0801,-8.8686]","[9.5258,9.8937]",187.92,1041.40
15,algoQD,15,238/400,100,14,[0.799],[0.2212],[0.0531],[0.9998],"[-9.0801,-8.8686]","[9.5258,9.8937]",190.16,1041.03
16,algoQD,16,247/400,100,17,[0.797],[0.2234],[0.0466],[0.9998],"[-9.0801,-8.8686]","[9.5258,9.8937]",196.86,1041.39
17,algoQD,17,254/400,100,20,[0.8026],[0.224],[0.0466],[0.9998],"[-9.2486,-9.6716]","[9.5258,9.8937]",203.87,1041.36
18,algoQD,18,259/400,100,14,[0.81],[0.2167],[0.0466],[0.9998],"[-9.2486,-9.6716]","[9.5258,9.8937]",209.80,1041.40
19,algoQD,19,263/400,100,12,[0.8123],[0.2125],[0.0466],[0.9998],"[-9.2486,-9.7865]","[9.7253,9.7560]",213.63,1041.72
20,algoQD,20,268/400,100,19,[0.8164],[0.2082],[0.0466],[0.9999],"[-9.2486,-9.7865]","[9.7501,9.7560]",218.79,1042.89
21,algoQD,21,276/400,100,20,[0.8183],[0.2071],[0.0466],[0.9999],"[-9.2486,-9.7865]","[9.7501,9.7560]",225.85,1041.69
22,algoQD,22,281/400,100,17,[0.8213],[0.2067],[0.0466],[0.9999],"[-9.8531,-9.6716]","[9.7501,9.7560]",230.78,1041.20
23,algoQD,23,285/400,100,15,[0.8273],[0.2033],[0.0466],[0.9999],"[-9.8531,-9.6716]","[9.7501,9.7560]",235.79,1041.44
24,algoQD,24,293/400,100,23,[0.8331],[0.2],[0.0466],[0.9999],"[-9.8405,-9.6716]","[9.7501,9.7560]",244.09,1040.96
25,algoQD,25,296/400,100,14,[0.8369],[0.1981],[0.0466],[0.9999],"[-9.8405,-9.6716]","[9.7501,9.7560]",247.73,1042.11
26,algoQD,26,302/400,100,19,[0.8402],[0.1937],[0.0466],[0.9999],"[-9.8405,-9.6716]","[9.7501,9.7560]",253.76,1042.31
27,algoQD,27,306/400,100,17,[0.8414],[0.1947],[0.0466],[0.9999],"[-9.8405,-9.6716]","[9.7501,9.7560]",257.47,1042.50
28,algoQD,28,306/400,100,11,[0.8494],[0.1853],[0.0466],[0.9999],"[-9.8405,-9.6716]","[9.7501,9.7560]",259.91,1042.34
29,algoQD,29,307/400,100,13,[0.8561],[0.1798],[0.1151],[0.9999],"[-9.8405,-9.6716]","[9.7501,9.6287]",262.84,1042.97
30,algoQD,30,310/400,100,12,[0.8568],[0.1792],[0.1151],[0.9999],"[-9.8405,-9.6716]","[9.7501,9.6287]",265.60,1042.90
31,algoQD,31,313/400,100,12,[0.8566],[0.1774],[0.1151],[0.9999],"[-9.8405,-9.6716]","[9.7501,9.6287]",268.11,1041.94
32,algoQD,32,317/400,100,15,[0.8585],[0.1764],[0.1151],[0.9999],"[-9.9027,-9.6716]","[9.7501,9.8389]",272.14,1040.63
33,algoQD,33,321/400,100,14,[0.861],[0.1726],[0.1151],[0.9999],"[-9.9027,-9.9336]","[9.7501,9.8389]",276.38,1042.99
34,algoQD,34,324/400,100,13,[0.8625],[0.1684],[0.1151],[0.9999],"[-9.9027,-9.9336]","[9.7501,9.8389]",279.46,1041.23
35,algoQD,35,326/400,100,10,[0.8631],[0.1712],[0.1151],[0.9999],"[-9.9027,-9.9336]","[9.7501,9.8389]",281.37,1041.50
36,algoQD,36,328/400,100,9,[0.8625],[0.1713],[0.1151],[0.9999],"[-9.9027,-9.9336]","[9.7501,9.8389]",282.89,1041.41
37,algoQD,37,329/400,100,8,[0.8637],[0.1713],[0.1151],[0.9999],"[-9.9027,-9.9336]","[9.7501,9.8389]",284.17,1041.78
38,algoQD,38,329/400,100,11,[0.8661],[0.1697],[0.1151],[0.9999],"[-9.9027,-9.9336]","[9.7501,9.6287]",284.95,1042.74
39,algoQD,39,329/400,100,11,[0.8683],[0.1682],[0.1151],[0.9999],"[-9.9027,-9.9336]","[9.7501,9.6287]",285.66,1041.11
40,algoQD,40,330/400,100,15,[0.8697],[0.1678],[0.1151],[0.9999],"[-9.9027,-9.9336]","[9.7501,9.6287]",286.99,1041.66
41,algoQD,41,332/400,100,8,[0.867],[0.1722],[0.1151],[0.9999],"[-9.9195,-9.9336]","[9.7501,9.6287]",287.84,1042.55
42,algoQD,42,336/400,100,13,[0.8674],[0.1693],[0.1151],[0.9999],"[-9.9195,-9.9336]","[9.7501,9.6287]",291.46,1041.22
43,algoQD,43,336/400,100,12,[0.8713],[0.1638],[0.1151],[0.9999],"[-9.9195,-9.9336]","[9.7501,9.6287]",292.74,1042.86
44,algoQD,44,337/400,100,9,[0.8721],[0.1639],[0.1151],[0.9999],"[-9.9195,-9.9336]","[9.7501,9.6287]",293.90,1041.26
