,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,"(0.2738490634494357,)","(0.8377489301893446,)",,"(0.8422461615668403,)","(0.8495469623141818,)","(0.944276057349311,)","(0.97033355500963,)","(0.9903210586971707,)","(0.9891917996936375,)","(0.9891069266531203,)","(0.9781621932983399,)","(0.9330557134416368,)","(0.7500350104437934,)","(0.8383882734510634,)","(0.971600529882643,)","(0.6071659511990017,)","(0.6698920355902778,)",,
1,,,"(0.8349546220567491,)","(0.9440460205078125,)","(0.9819341288672553,)","(0.9989471236864725,)","(0.9776852263344659,)","(0.977138450410631,)","(0.9798651112450494,)","(0.9336462232801649,)","(0.9939918312761519,)","(0.9886045800315009,)","(0.9789052936765883,)","(0.9927610847685072,)","(0.897011227077908,)","(0.975899773173862,)","(0.8778344684176975,)",,"(0.6591353098551432,)",
2,,"(0.6161713070339627,)","(0.9763310962253147,)","(0.760478761461046,)","(0.9534484386444092,)","(0.9657924996482001,)","(0.8279553731282552,)","(0.9852143234676785,)","(0.9907010449303522,)","(0.9912995126512315,)","(0.9380126635233561,)","(0.976491657892863,)","(0.957442389594184,)","(0.9617841031816271,)","(0.9794000254737006,)","(0.7768427318996853,)","(0.8648209571838379,)","(0.8076720767550998,)",,
3,,"(0.6557693481445312,)","(0.9794658475451999,)","(0.8539381239149305,)","(0.905115254720052,)","(0.9462869008382161,)","(0.9975266827477349,)","(0.9996353997124566,)","(0.9791161749098036,)","(0.9855321142408583,)","(0.9606380542119344,)","(0.9855110698276096,)","(0.9896931582027011,)","(0.9393879413604737,)","(0.8830124643113878,)","(0.9899825533231099,)","(0.8978882153828939,)","(0.9784767746925354,)","(0.8305331336127387,)",
4,"(0.6538571251763238,)","(0.9692758454216851,)","(0.9311071819729275,)","(0.808410898844401,)","(0.9898132907019721,)","(0.9544840918646919,)","(0.9968044579029083,)","(0.8493258158365885,)","(0.9969550265206231,)","(0.9929355197482639,)","(0.9667685217327542,)","(0.9928236067295074,)","(0.960077863269382,)","(0.9922103378507826,)","(0.8333178520202636,)","(0.9784656365712484,)","(0.9179146554734972,)","(0.9521068784925673,)","(0.9090256055196126,)","(0.9290495448642306,)"
5,"(0.5576844109429253,)","(0.7997731102837456,)","(0.9001816855536566,)","(0.9686889860365125,)","(0.9676840676201715,)","(0.9973519523938497,)","(0.9539302349090576,)","(0.964671007792155,)","(0.9871792329682244,)","(0.9872364441553751,)","(0.9952687462170918,)","(0.9811689125166999,)","(0.9240677197774252,)","(0.9537445280287001,)","(0.8979467180040147,)","(0.9689925750096638,)","(0.9766015635596381,)","(0.9473903603023953,)","(0.9832759724722968,)","(0.6641061570909288,)"
6,"(0.48954705132378473,)","(0.9823571576012505,)","(0.9003111733330621,)","(0.8705342610677083,)","(0.9710058901045058,)","(0.975186554590861,)","(0.9904061588976119,)","(0.9805583092901442,)","(0.9383709377712673,)","(0.9651456011666192,)","(0.968092672030131,)","(0.9951367934544881,)","(0.9998135964075724,)","(0.9327272415161133,)","(0.9711180422041151,)","(0.9929515229331123,)","(0.9721267806159125,)","(0.9105498949686686,)","(0.9211036947038439,)","(0.6280159844292534,)"
7,"(0.8271713256835938,)","(0.9573158343633016,)","(0.9527823554144965,)","(0.9899576505025228,)","(0.9972679985894097,)","(0.9093013657463922,)","(0.9964987172020806,)","(0.9407249238755968,)","(0.9775298224555121,)","(0.9849550035264757,)","(0.9903851754135555,)","(0.9994464019934336,)","(0.9978466815418667,)","(0.991229651371638,)","(0.8991806454128689,)","(0.9982677883572049,)","(0.997242546081543,)","(0.9813174565633138,)","(0.7641520606146919,)","(0.8893313937717013,)"
8,"(0.7903810289171007,)","(0.9677510605918036,)","(0.968621367878384,)","(0.9718124892976548,)","(0.9980843216180801,)","(0.9948481798171998,)","(0.9980593903197182,)","(0.9962221927113003,)","(0.9824219028155009,)","(0.9987294185492728,)","(0.9957902686463462,)","(0.9845034215185378,)","(0.9751866340637207,)","(0.9851360440254211,)","(0.9838511255052355,)","(0.9722507741716173,)","(0.9631368849012587,)","(0.995479244656033,)","(0.9600003613366022,)","(0.6411944495307075,)"
9,"(0.8292452070448133,)","(0.9601173904207018,)","(0.9141534964243571,)","(0.9968462414211697,)","(0.9321834193335639,)","(0.9957742667860455,)","(0.9946709314982096,)","(0.9888545579380459,)","(0.9993829588095348,)","(0.9996614444586965,)","(0.9999440632243123,)","(0.9980750600496928,)","(0.9985105496313836,)","(0.9938281536102295,)","(0.9825234837002225,)","(0.9989537909626961,)","(0.9625267558627658,)","(0.8021874745686849,)","(0.9372961309221056,)","(0.8208289252387153,)"
10,"(0.8511135525173611,)","(0.9800671047634548,)","(0.9907317373487684,)","(0.9921649429533217,)","(0.8843999332851834,)","(0.9962426135937373,)","(0.9822331958346897,)","(0.9962156501081255,)","(0.9988288621107737,)","(0.9999057471131285,)","(0.9999537099980645,)","(0.9963198158476088,)","(0.9982786070969369,)","(0.9566849205229018,)","(0.9980154196421306,)","(0.9725475019878811,)","(0.9145424101087782,)","(0.9678421629799737,)","(0.9873909910519918,)","(0.941444026099311,)"
11,"(0.9621841218736437,)","(0.949812051984999,)","(0.8571207682291666,)","(0.9423117690616184,)","(0.9944320619106293,)","(0.9662802298863729,)","(0.9996190962692102,)","(0.9970695657862557,)","(0.9847307403882345,)","(0.9950186795658535,)","(0.994247109360165,)","(0.9996708426210615,)","(0.997361026207606,)","(0.9724806547164917,)","(0.9995682583914862,)","(0.9929438696967231,)","(0.9823150648011102,)","(0.9762601190143161,)","(0.9683130158318414,)","(0.9124297671847873,)"
12,"(0.7398532443576389,)","(0.9974292225307888,)","(0.9631657812330457,)","(0.9672395202848646,)","(0.9241022798750136,)","(0.9898000982072618,)","(0.9735277414321899,)","(0.9901161001788246,)","(0.9899249050352309,)","(0.975340027279324,)","(0.9919689330789778,)","(0.9815194288889567,)","(0.9953890456093683,)","(0.9999196370442708,)","(0.985323511229621,)","(0.9597817632887099,)","(0.9885948710971408,)","(0.9791511562135484,)","(0.9217327117919922,)","(0.9512487199571398,)"
13,"(0.9239374107784695,)","(0.7276238335503472,)","(0.7418283250596789,)","(0.9832697775628831,)","(0.9387635548909505,)","(0.9848573101891411,)","(0.9888669649759928,)","(0.9952865216467116,)","(0.9798284318712023,)","(0.9934600796964433,)","(0.983536958694458,)","(0.9964737878905402,)","(0.9956566704644098,)","(0.9898370961348216,)","(0.9628973113165962,)","(0.98737157980601,)","(0.9833009084065755,)","(0.9998472531636556,)","(0.9991400400797527,)","(0.7181537840101454,)"
14,"(0.6871760898166233,)","(0.8537491268581814,)","(0.8915922588772244,)","(0.9609394073486328,)","(0.878528086344401,)","(0.8770011689927842,)","(0.9882852501339383,)","(0.9148708555433485,)","(0.9637687683105469,)","(0.98664577404658,)","(0.9996875504652659,)","(0.9794152021408081,)","(0.9817752361297607,)","(0.9821258174048529,)","(0.9872975892490811,)","(0.9984501096937392,)","(0.9531198448605007,)","(0.9771841949886746,)","(0.9681673261854383,)","(0.9555120044284396,)"
15,"(0.4664612240261502,)","(0.6971950107150607,)","(0.9757638321982489,)","(0.9005496131049262,)","(0.7384185367160373,)","(0.9996026075548596,)","(0.9694160275989109,)","(0.9292565292782253,)","(0.9659267213609484,)","(0.9716971980200874,)","(0.9941630310482449,)","(0.9858151316642761,)","(0.9925531665484111,)","(0.9729030052820842,)","(0.9824353867106967,)","(0.994540407591396,)","(0.9879521158006456,)","(0.939388836754693,)","(0.986375003390842,)","(0.8670506901211209,)"
16,,"(0.6832060072157118,)","(0.6771993425157334,)","(0.8997919612460666,)","(0.9250816557142469,)","(0.5940804799397786,)","(0.9994357253114382,)","(0.9325366020202637,)","(0.9599275906880697,)","(0.9962167176935408,)","(0.997361977895101,)","(0.9593955039978027,)","(0.9470165411631266,)","(0.9753220028347439,)","(0.9365359094407824,)","(0.9970786899328232,)","(0.9963684591982099,)","(0.8830600208706326,)","(0.9419353908962673,)","(0.7616417355007595,)"
