,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],"[(-9.276093, -8.87847)]",[],"[(-9.753388, -6.135439)]","[(-9.058129, -5.486219)]","[(-9.652995, -4.191411)]","[(-9.356509, -3.0263822)]","[(-9.241786, -2.0423832)]","[(-9.007403, -1.2597517)]","[(-9.45907, -0.20088214)]","[(-9.735152, 0.17007326)]","[(-9.471279, 1.0451859)]","[(-9.50113, 2.4940462)]","[(-9.575107, 3.040545)]","[(-9.546097, 4.1541076)]","[(-9.808686, 5.5191555)]","[(-9.310074, 6.0655866)]","[(-9.618542, 7.573736)]","[(-9.37739, 8.435599)]","[(-9.553708, 9.125304)]"
1,"[(-8.4116955, -9.6654215)]",[],"[(-8.769058, -7.098574)]","[(-8.651526, -6.3608165)]","[(-8.263673, -5.479821)]","[(-8.400338, -4.77238)]","[(-8.635965, -3.732378)]","[(-8.490382, -2.2548256)]","[(-8.308394, -1.983015)]","[(-8.21563, -0.66610485)]","[(-8.707203, 0.22906542)]","[(-8.796385, 1.7404491)]","[(-8.536949, 2.753172)]","[(-8.106058, 3.7298458)]","[(-8.636447, 4.3910813)]","[(-8.369935, 5.9076242)]","[(-8.881798, 6.414367)]","[(-8.597566, 7.63892)]","[(-8.336559, 8.321782)]","[(-8.071829, 9.392593)]"
2,[],"[(-7.56061, -8.149692)]","[(-7.129202, -7.971277)]","[(-7.0344853, -6.6005263)]","[(-7.609392, -5.4838696)]","[(-7.3341403, -4.3673286)]","[(-7.8923845, -3.70236)]","[(-7.671557, -2.9195871)]","[(-7.28724, -1.3824267)]","[(-7.3305235, -0.7957046)]","[(-7.01181, 0.95760596)]","[(-7.2288046, 1.0044085)]","[(-7.0457807, 2.0268867)]","[(-7.6996045, 3.1065729)]","[(-7.7913165, 4.7700233)]","[(-7.7479453, 5.067079)]","[(-7.248645, 6.620719)]","[(-7.8069777, 7.7729278)]","[(-7.2084994, 8.6423645)]",[]
3,"[(-6.642808, -9.785393)]","[(-6.417682, -8.366792)]",[],"[(-6.1950293, -6.76724)]","[(-6.447218, -5.591766)]","[(-6.058466, -4.223965)]","[(-6.3025417, -3.8603942)]","[(-6.3437963, -2.3554676)]","[(-6.8960223, -1.0231862)]","[(-6.546861, -0.10990823)]","[(-6.0609627, 0.5604158)]","[(-6.597568, 1.779442)]","[(-6.814078, 2.0880227)]","[(-6.695781, 3.3683167)]","[(-6.6461253, 4.9392786)]","[(-6.519538, 5.65006)]","[(-6.737189, 6.612627)]","[(-6.6259627, 7.4804096)]","[(-6.2139235, 8.801003)]","[(-6.8946066, 9.725364)]"
4,"[(-5.3780627, -9.965743)]","[(-5.317326, -8.944782)]","[(-5.338134, -7.2242556)]","[(-5.030111, -6.0764065)]","[(-5.117665, -5.3104796)]","[(-5.1465826, -4.482896)]","[(-5.5601325, -3.422034)]","[(-5.3851647, -2.6550882)]","[(-5.6615767, -1.0515223)]","[(-5.675066, -0.5977514)]","[(-5.0666466, 0.8155205)]","[(-5.965754, 1.5547503)]","[(-5.4171042, 2.990686)]","[(-5.3402724, 3.7544098)]","[(-5.609959, 4.589027)]","[(-5.8649297, 5.1630836)]","[(-5.604879, 6.5694017)]","[(-5.030075, 7.801398)]","[(-5.105115, 8.686575)]","[(-5.9303517, 9.373844)]"
5,"[(-4.0428886, -9.49492)]","[(-4.431547, -8.897956)]","[(-4.320151, -7.517066)]","[(-4.1802235, -6.423913)]","[(-4.39349, -5.423299)]","[(-4.5159245, -4.020676)]","[(-4.66933, -3.039276)]","[(-4.549549, -2.971781)]","[(-4.3942823, -1.7704324)]","[(-4.1529713, -0.4920842)]","[(-4.917879, 0.84071434)]","[(-4.3123245, 1.1845958)]","[(-4.8519, 2.4872444)]","[(-4.8431664, 3.6672935)]","[(-4.3940034, 4.300307)]","[(-4.8807607, 5.828983)]","[(-4.872066, 6.402479)]","[(-4.45213, 7.8131776)]","[(-4.951242, 8.192486)]","[(-4.2908216, 9.336544)]"
6,"[(-3.3773158, -9.406638)]","[(-3.486595, -8.132036)]","[(-3.7600508, -7.9992003)]","[(-3.732908, -6.889535)]","[(-3.810302, -5.7858768)]","[(-3.7297764, -4.2070518)]","[(-3.0404477, -3.378669)]","[(-3.8434331, -2.7237933)]","[(-3.0071876, -1.5618746)]","[(-3.1788533, -0.33962378)]","[(-3.1443594, 0.078115076)]","[(-3.5003326, 1.1160367)]","[(-3.4493878, 2.7627993)]","[(-3.9141452, 3.4434545)]","[(-3.746861, 4.825953)]","[(-3.61203, 5.547651)]","[(-3.9692225, 6.718336)]","[(-3.5476964, 7.7981296)]","[(-3.7869544, 8.683189)]","[(-3.3287573, 9.828415)]"
7,"[(-2.3158371, -9.054088)]","[(-2.566248, -8.946168)]","[(-2.1652324, -7.126136)]","[(-2.8326147, -6.250327)]","[(-2.382838, -5.2364383)]","[(-2.4883862, -4.2860355)]","[(-2.5076067, -3.6919684)]","[(-2.3046472, -2.6326277)]","[(-2.1893065, -1.5925599)]","[(-2.0863698, -0.014335789)]","[(-2.300504, 0.69205475)]","[(-2.4800317, 1.8958099)]","[(-2.3906488, 2.6061838)]","[(-2.6670713, 3.3392859)]","[(-2.5902538, 4.918543)]","[(-2.9393024, 5.5661182)]","[(-2.4510498, 6.94835)]","[(-2.463585, 7.1001763)]","[(-2.9821265, 8.518228)]","[(-2.2189558, 9.318675)]"
8,"[(-1.7492243, -9.78014)]","[(-1.3940014, -8.909763)]","[(-1.223656, -7.692936)]","[(-1.5630469, -6.1650724)]","[(-1.2770734, -5.75656)]","[(-1.9453777, -4.9845634)]","[(-1.3697743, -3.6070418)]","[(-1.6232275, -2.7756376)]","[(-1.0576164, -1.1500106)]","[(-1.1451141, -0.6534139)]","[(-1.825539, 0.25953552)]","[(-1.2824153, 1.3286572)]","[(-1.9274648, 2.1769583)]","[(-1.7120256, 3.6012108)]","[(-1.9832066, 4.64752)]","[(-1.1308397, 5.697107)]","[(-1.5435089, 6.154641)]","[(-1.0682204, 7.7258444)]","[(-1.4403849, 8.6594715)]","[(-1.3733343, 9.747411)]"
9,"[(-0.6999245, -9.701395)]","[(-0.33552903, -8.18363)]","[(-0.2840628, -7.2707376)]","[(-0.16248515, -6.92931)]","[(-0.5224022, -5.664007)]","[(-0.79536, -4.99904)]","[(-0.28223416, -3.8205192)]","[(-0.27849814, -2.0033998)]","[(-0.25771573, -1.2468891)]","[(-0.0051274826, -0.17424874)]","[(-0.39363113, 0.97311157)]","[(-0.670692, 1.8606284)]","[(-0.65147275, 2.024726)]","[(-0.041645437, 3.5933197)]","[(-0.23883964, 4.384602)]","[(-0.72129285, 5.9994435)]","[(-0.56022763, 6.275273)]","[(-0.40490553, 7.814326)]","[(-0.95313615, 8.889188)]","[(-0.12285716, 9.508864)]"
