,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"(0.8994533962673611,)","(0.527799563937717,)","(0.9786253213882447,)","(0.9675250159369575,)","(0.9664334191216363,)","(0.8347197002834744,)","(0.9995368957519531,)","(0.9694428046544393,)","(0.9546010070376926,)","(0.88788267771403,)","(0.9898523423406813,)","(0.9229751057094998,)","(0.8834458139207628,)","(0.91297484503852,)","(0.7337506612141926,)","(0.3868215772840712,)","(0.5889606899685329,)","(0.9980133851369222,)",,
1,"(0.785053465101454,)","(0.9818273769484626,)","(0.9966001503997379,)","(0.8083333121405707,)","(0.995936260620753,)","(0.9836827105946011,)","(0.9956148783365886,)","(0.9862670289145575,)","(0.969482503996955,)","(0.9683533562554254,)","(0.9473231633504232,)","(0.9723731835683187,)","(0.89447357389662,)","(0.9841971887482537,)","(0.6638464185926649,)","(0.9749520990583632,)","(0.8890425788031684,)","(0.8356724739074707,)",,"(0.1293332417805989,)"
2,"(0.9507698694864909,)","(0.9983859009212918,)","(0.9683019108242459,)","(0.986430647638109,)","(0.9473314762115479,)","(0.9666818088955349,)","(0.9559728092617459,)","(0.9293496237860785,)","(0.8552464273240831,)","(0.8217239591810438,)","(0.985684707429674,)","(0.9921208500862122,)","(0.9727829721238878,)","(0.9991224527359008,)","(0.6034009297688803,)","(0.8740674124823676,)","(0.8596652560763889,)","(0.9873445404900445,)","(0.7952610439724392,)",
3,"(0.8867619302537706,)","(0.9135934034983317,)","(0.9645339436001248,)","(0.9028491444057889,)","(0.9854955395062764,)","(0.9820683280626933,)","(0.9568708101908365,)","(0.9740609698825412,)","(0.9754292700025771,)","(0.9722219891018338,)","(0.969281628396776,)","(0.9332119146982829,)","(0.999234668413798,)","(0.9120407210456001,)","(0.9607210609647963,)","(0.5612777709960937,)","(0.9426015218098959,)",,"(0.9562502861022949,)",
4,"(0.9587000528971354,)","(0.9476298385196262,)","(0.9979641722308265,)","(0.994932214750184,)","(0.9741487556033664,)","(0.9967041429546144,)","(0.9617933087878757,)","(0.8432655758327908,)","(0.9965195145871905,)","(0.9992504818571939,)","(0.8797692192925347,)","(0.9984948025809394,)","(0.9963576826784346,)","(0.9914874023861355,)","(0.9545517285664876,)","(0.620744111802843,)","(0.9433152728610569,)","(0.5945269690619575,)","(0.9038821856180826,)",
5,"(0.9794458071390788,)","(0.886422316233317,)","(0.8607284545898437,)","(0.9146931966145834,)","(0.9888743427064683,)","(0.9195660961998834,)","(0.9093340343899197,)","(0.9987922208176718,)","(0.9984898063871596,)","(0.9471828672620985,)","(0.827876959906684,)","(0.9852407031589084,)","(0.9920742948849995,)","(0.9685884369744195,)","(0.9868181281619601,)","(0.9741678449842665,)","(0.985589435365465,)","(0.9059712727864583,)","(0.9602832078933716,)","(0.25889290703667533,)"
6,"(0.9831344392564562,)","(0.9652326504389445,)","(0.9732068167792426,)","(0.9756678899129232,)","(0.9696780522664388,)","(0.9980490174558427,)","(0.9699186219109429,)","(0.993710783455107,)","(0.9993916822804345,)","(0.9942486537827386,)","(0.98157410091824,)","(0.9899829208850861,)","(0.9992728948593139,)","(0.9422589937845866,)","(0.9987231784396702,)","(0.9691461616092258,)","(0.8085031509399414,)","(0.8302970462375217,)","(0.8107425053914388,)","(0.8367399427625868,)"
7,"(0.9658393594953749,)","(0.9853456854820252,)","(0.9937452528211805,)","(0.9934457778930664,)","(0.9622487174140082,)","(0.9947962072160509,)","(0.9924429310692682,)","(0.996478271484375,)","(0.9825582596990797,)","(0.9869388050503201,)","(0.9829126874605815,)","(0.992948176463445,)","(0.9926037258572049,)","(0.9758138338724772,)","(0.9359121534559461,)","(0.9728194766574436,)","(0.9972151325808631,)","(0.9525855117373996,)","(0.9283839596642388,)","(0.8922043694390192,)"
8,"(0.9978918254375457,)","(0.9859554025861952,)","(0.986965458922916,)","(0.9831016010708279,)","(0.9872663524415758,)","(0.9962138368023766,)","(0.9931363258096907,)","(0.9535361501905654,)","(0.9996656391355726,)","(0.9991021050347222,)","(0.99951171875,)","(0.9964246706830131,)","(0.973843593067593,)","(0.9871999661127726,)","(0.9545854780409071,)","(0.9275682025485569,)","(0.9714435127046374,)","(0.926481819152832,)","(0.9117867151896158,)","(0.9909304883744982,)"
9,"(0.8924612469143338,)","(0.8939319822523328,)","(0.9534671306610107,)","(0.8387999534606934,)","(0.9971241679456498,)","(0.9928098956743876,)","(0.9726165427101983,)","(0.9549252616034614,)","(0.9978047715293037,)","(0.9997885635329617,)","(0.9999757316377428,)","(0.9983565290768941,)","(0.9936974220805698,)","(0.9947398013538784,)","(0.9974389394124349,)","(0.9641218874189589,)","(0.9552852948506673,)","(0.9856640179951985,)","(0.9539586279127333,)","(0.9818580746650696,)"
10,"(0.9031205707126193,)","(0.9410249551137289,)","(0.9250903500450982,)","(0.9834835926691691,)","(0.9587767283121744,)","(0.9583033243815104,)","(0.9995465596516927,)","(0.9836501081784567,)","(0.9978227913379669,)","(0.9999655314824647,)","(0.999456173264318,)","(0.9968483924865723,)","(0.980349255932702,)","(0.9950404273139106,)","(0.9959330903159247,)","(0.9798886630270216,)","(0.9649933709038628,)","(0.9956088284651439,)","(0.9955522325303819,)","(0.9271358172098796,)"
11,"(0.8810300827026367,)","(0.9910095976458655,)","(0.9812006288104587,)","(0.9664576715893216,)","(0.9954191254244911,)","(0.9587351931465997,)","(0.9695000330607096,)","(0.954077254401313,)","(0.9929461267259386,)","(0.9942839198642307,)","(0.9996003031730651,)","(0.9998578319946925,)","(0.9811344570583768,)","(0.9879982617166307,)","(0.959559080335829,)","(0.9736226982540555,)","(0.9891424232059055,)","(0.9757320510016547,)","(0.9925346626175775,)","(0.9665421459409925,)"
12,"(0.9541599803500705,)","(0.9514555984073215,)","(0.993746801217397,)","(0.992288875579834,)","(0.9078451050652399,)","(0.9939805295732286,)","(0.9965379191769494,)","(0.9895302500989702,)","(0.9926835801866319,)","(0.9990982744428847,)","(0.9859124104181926,)","(0.9845156894789802,)","(0.9733529249827068,)","(0.9976720174153646,)","(0.9797525154219733,)","(0.9723840792973836,)","(0.9653852303822835,)","(0.9638363811704848,)","(0.9960562295383877,)","(0.8932055367363824,)"
13,"(0.9540644539727106,)","(0.9810044407844544,)","(0.9951995316478941,)","(0.9984697977701823,)","(0.9843210922347174,)","(0.9418261633978949,)","(0.9986297365691926,)","(0.9916802909639146,)","(0.9927801012992858,)","(0.9931900289323595,)","(0.9979162798987494,)","(0.9753168688880073,)","(0.9942969176504347,)","(0.9979845563570658,)","(0.9985235863261752,)","(0.9614624659220378,)","(0.9858019934760199,)","(0.9445003244611953,)","(0.9527641190422906,)","(0.9480695671505398,)"
14,"(0.990817768043942,)","(0.9855782839987013,)","(0.9924920029110379,)","(0.952949915991889,)","(0.9906525790691376,)","(0.8522351582845051,)","(0.9383949650658502,)","(0.9625640021430122,)","(0.9931864122549693,)","(0.9863410711288452,)","(0.9186427858140733,)","(0.9960172375043234,)","(0.9403364817301432,)","(0.9553309334648981,)","(0.9757932133144802,)","(0.9396038161383735,)","(0.8525228712293836,)","(0.9663709428575303,)","(0.8348940531412761,)","(0.9925480180316502,)"
15,"(0.9976290775669946,)","(0.9024315940009223,)","(0.9790716992484199,)","(0.977479550573561,)","(0.9785250345865886,)","(0.99360527727339,)","(0.8324284871419271,)","(0.967386802037557,)","(0.984473466873169,)","(0.9969873269399007,)","(0.9344991207122803,)","(0.957431877983941,)","(0.950432915157742,)","(0.9826813459396362,)","(0.7938062243991428,)","(0.8835035430060493,)","(0.9020313051011827,)","(0.9980909056133694,)","(0.8302853690253363,)","(0.8409776899549696,)"
16,"(0.9852919207678901,)","(0.9953268872367012,)","(0.875993177625868,)","(0.988158651192983,)","(0.9341348754035101,)","(0.9827958557340833,)","(0.9909352355533176,)","(0.9700876633326213,)","(0.9906125585238139,)","(0.9858858942985534,)","(0.9656724638409084,)","(0.9809839804967244,)","(0.9191379335191515,)","(0.9973909272087945,)","(0.9457842720879449,)","(0.9955722004175186,)","(0.9963248676723904,)","(0.8930093235439724,)","(0.20772510104709196,)","(0.8116321563720703,)"
17,,"(0.9358883963690864,)","(0.9902344849374559,)","(0.8807924482557509,)","(0.9371024661593967,)","(0.7617108450995551,)","(0.9939619130558438,)","(0.9924510233932071,)","(0.9611843718422783,)","(0.9758828481038412,)","(0.9462507141960992,)","(0.9196686850653755,)","(0.9632813268237643,)","(0.9932575013902453,)","(0.9900205883714888,)","(0.9883743974897596,)","(0.9928237583902148,)","(0.8291275978088379,)",,
18,"(0.6936313841078017,)","(0.9486026287078857,)","(0.9878487096892463,)","(0.9884634693463643,)","(0.994660653008355,)","(0.910762267642551,)","(0.9688424666722616,)","(0.990879397922092,)","(0.914082505967882,)","(0.9263064384460449,)","(0.9714651611116197,)","(0.9656302849451701,)","(0.7626499387953016,)","(0.963186486562093,)","(0.9940539883242713,)","(0.9470558484395345,)","(0.7823028988308377,)","(0.6373113844129774,)","(0.7739855024549696,)",
19,,"(0.43181817796495225,)","(0.3903376261393229,)","(0.8633464813232422,)","(0.5125463697645399,)","(0.7188682132297092,)","(0.957563410864936,)","(0.8728681352403429,)","(0.9741155491934882,)","(0.9583934942881266,)","(0.9018020841810438,)","(0.8350165685017903,)","(0.9686346901787652,)","(0.9611603207058377,)","(0.5573802524142795,)","(0.7754607518513997,)","(0.9695250617133246,)","(0.4465066697862413,)","(0.3509416368272569,)","(0.9292471991644965,)"
