,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[(-9.605241, -9.406741)]","[(-9.180593, -8.198883)]","[(-9.5711, -7.218407)]","[(-9.393839, -6.1016903)]","[(-9.2962885, -5.44938)]","[(-9.301147, -4.9245358)]","[(-9.840166, -3.8012533)]","[(-9.557106, -2.820871)]","[(-9.863152, -1.7093345)]","[(-9.099351, -0.5635753)]","[(-9.684272, 0.5622841)]","[(-9.855942, 1.0889612)]","[(-9.817412, 2.7723284)]","[(-9.202234, 3.7278814)]","[(-9.236661, 4.2336597)]","[(-9.228566, 5.476124)]","[(-9.665975, 6.434394)]","[(-9.032807, 7.3752227)]",[],[]
1,[],"[(-8.355361, -8.777959)]","[(-8.9258175, -7.244419)]","[(-8.058778, -6.42592)]","[(-8.204817, -5.0598783)]","[(-8.216324, -4.2312202)]","[(-8.772241, -3.0609627)]","[(-8.728267, -2.2966604)]","[(-8.719667, -1.7079376)]","[(-8.310028, -0.0012262575)]","[(-8.902237, 0.16776453)]","[(-8.826612, 1.445014)]","[(-8.875043, 2.3534665)]","[(-8.512091, 3.7814174)]","[(-8.75578, 4.7435994)]","[(-8.512273, 5.644213)]","[(-8.52841, 6.300605)]","[(-8.504888, 7.221019)]","[(-8.346484, 8.26284)]",[]
2,"[(-7.490495, -9.829604)]","[(-7.852387, -8.801972)]","[(-7.2177033, -7.6432247)]","[(-7.056647, -6.1018877)]","[(-7.0715284, -5.329989)]","[(-7.7931004, -4.2151227)]","[(-7.5083675, -3.1343386)]","[(-7.404515, -2.8796732)]","[(-7.6484303, -1.4935858)]","[(-7.6984076, -0.9991348)]","[(-7.164539, 0.47249362)]","[(-7.045527, 1.2574575)]","[(-7.026211, 2.3369284)]","[(-7.8415627, 3.764843)]","[(-7.895334, 4.5047727)]","[(-7.066381, 5.8774185)]","[(-7.2986174, 6.290011)]","[(-7.9500637, 7.297799)]","[(-7.56338, 8.482854)]","[(-7.0861855, 9.999708)]"
3,"[(-6.5470414, -9.776878)]","[(-6.969765, -8.991912)]","[(-6.849711, -7.4976482)]","[(-6.7659297, -6.3826337)]","[(-6.6320577, -5.790652)]","[(-6.104678, -4.5021567)]","[(-6.0014405, -3.4539492)]","[(-6.898188, -2.334324)]","[(-6.077669, -1.5170271)]","[(-6.041951, -0.6728453)]","[(-6.19857, 0.30259728)]","[(-6.888454, 1.9815453)]","[(-6.1998243, 2.2931325)]","[(-6.251905, 3.6203892)]","[(-6.575805, 4.8399343)]","[(-6.9542828, 5.3536215)]","[(-6.2707896, 6.580544)]","[(-6.357594, 7.6381)]","[(-6.485194, 8.112139)]","[(-6.171919, 9.288393)]"
4,"[(-5.7105308, -9.8882)]","[(-5.9254594, -8.939765)]","[(-5.3251047, -7.114825)]","[(-5.1582212, -6.087315)]","[(-5.707159, -5.1189055)]","[(-5.4769974, -4.869396)]","[(-5.3282957, -3.918478)]","[(-5.81937, -2.16344)]","[(-5.6028156, -1.5278578)]","[(-5.8304143, -0.33048892)]","[(-5.587373, 0.6100214)]","[(-5.858176, 1.7289048)]","[(-5.6530313, 2.559711)]","[(-5.2501144, 3.2651587)]","[(-5.469713, 4.1511755)]","[(-5.3525724, 5.298604)]","[(-5.510752, 6.358331)]","[(-5.0445824, 7.1583796)]","[(-5.588706, 8.714087)]","[(-5.09366, 9.769924)]"
5,"[(-4.251676, -9.555403)]","[(-4.6699696, -8.089134)]","[(-4.4793954, -7.3396716)]","[(-4.171825, -6.7195163)]","[(-4.1718516, -5.4416986)]","[(-4.5600743, -4.384292)]","[(-4.008296, -3.7102404)]","[(-4.0332932, -2.68378)]","[(-4.8749647, -1.9477868)]","[(-4.90597, -0.7737426)]","[(-4.0799766, 0.43580306)]","[(-4.6668687, 1.8963251)]","[(-4.1323805, 2.4609041)]","[(-4.384515, 3.916266)]","[(-4.2274384, 4.9666295)]","[(-4.445495, 5.83517)]","[(-4.595006, 6.108833)]","[(-4.1667933, 7.005037)]","[(-4.478124, 8.580261)]","[(-4.5534673, 9.819638)]"
6,"[(-3.2725458, -9.741447)]","[(-3.7873564, -8.896885)]","[(-3.5542793, -7.7580204)]","[(-3.0172653, -6.2805357)]","[(-3.3809664, -5.99225)]","[(-3.851021, -4.015499)]","[(-3.576527, -3.9764347)]","[(-3.6867175, -2.4036565)]","[(-3.6043732, -1.3928596)]","[(-3.2002475, -0.49048257)]","[(-3.4606946, 0.0049802475)]","[(-3.3061078, 1.2968687)]","[(-3.182958, 2.3602657)]","[(-3.2876148, 3.383913)]","[(-3.9503493, 4.4065785)]","[(-3.186211, 5.93281)]","[(-3.2165675, 6.078117)]","[(-3.136735, 7.64599)]","[(-3.186009, 8.120927)]","[(-3.4575071, 9.836747)]"
7,"[(-2.5483425, -9.626958)]","[(-2.6860833, -8.492135)]","[(-2.668837, -7.253583)]","[(-2.872528, -6.209239)]","[(-2.1825771, -5.986595)]","[(-2.1108308, -4.6765013)]","[(-2.5547788, -3.157156)]","[(-2.0222504, -2.7082577)]","[(-2.7136679, -1.455947)]","[(-2.5399494, -0.51823336)]","[(-2.1567738, 0.12716636)]","[(-2.5226643, 1.7986445)]","[(-2.707969, 2.489029)]","[(-2.0917187, 3.1509347)]","[(-2.7052364, 4.2429156)]","[(-2.1110196, 5.390493)]","[(-2.0330684, 6.8540115)]","[(-2.5455654, 7.341261)]","[(-2.3240395, 8.571402)]","[(-2.2869802, 9.183915)]"
8,"[(-1.5481921, -9.869967)]","[(-1.9237237, -8.104909)]","[(-1.5804783, -7.9331846)]","[(-1.1710199, -6.9929137)]","[(-1.5629381, -5.489862)]","[(-1.9861478, -4.0568557)]","[(-1.4816778, -3.4278083)]","[(-1.2352113, -2.1428578)]","[(-1.4960659, -1.4348986)]","[(-1.7143071, -0.42048824)]","[(-1.2613112, 0.3590611)]","[(-1.0174011, 1.5366609)]","[(-1.1259267, 2.2184508)]","[(-1.4963655, 3.8322017)]","[(-1.2693627, 4.928487)]","[(-1.6124355, 5.06037)]","[(-1.9413834, 6.5085297)]","[(-1.3129983, 7.8810005)]","[(-1.3638989, 8.198366)]","[(-1.0649005, 9.6137085)]"
9,"[(-0.027997538, -9.175491)]","[(-0.6371951, -8.554936)]","[(-0.74883413, -7.797305)]","[(-0.78024995, -6.036367)]","[(-0.568134, -5.490096)]","[(-0.84288114, -4.338528)]","[(-0.39754286, -3.720928)]","[(-0.6324938, -2.5293248)]","[(-0.2549301, -1.1284183)]","[(-0.08636221, -0.02010398)]","[(-0.014238553, 0.023036633)]","[(-0.8136068, 1.5863702)]","[(-0.52346873, 2.3400946)]","[(-0.90489703, 3.1484907)]","[(-0.12693293, 4.7557354)]","[(-0.717763, 5.0293517)]","[(-0.94348097, 6.168786)]","[(-0.3368026, 7.418641)]","[(-0.5747559, 8.412466)]","[(-0.7153767, 9.900064)]"
