,0
0,6
1,19
2,22
3,127
4,131
5,163
6,193
7,197
8,213
9,221
10,244
11,262
12,267
13,279
14,307
15,315
16,327
17,374
18,402
19,414
20,430
21,442
22,444
23,446
24,465
25,468
26,479
27,487
28,489
29,496
30,498
31,502
32,510
33,515
34,524
35,526
36,551
37,552
38,558
39,573
40,576
41,577
42,585
43,588
44,589
45,590
46,603
47,607
48,613
49,616
50,617
51,624
52,638
53,640
54,647
55,650
56,655
57,659
58,663
59,667
60,674
61,675
62,680
63,685
64,686
65,692
66,694
67,704
68,705
69,707
70,712
71,715
72,716
73,717
74,720
75,723
76,730
77,732
78,755
79,756
80,758
81,759
82,768
83,769
84,774
85,777
86,779
87,782
88,788
89,790
90,791
91,792
92,795
93,797
94,798
95,801
96,802
97,807
98,813
99,816
100,821
101,824
102,827
103,830
104,832
105,833
106,843
107,845
108,848
109,849
110,853
111,857
112,858
113,859
114,861
115,862
116,866
117,867
118,869
119,870
120,878
121,879
122,880
123,884
124,885
125,887
126,892
127,897
128,898
129,899
130,903
131,907
132,908
133,911
134,912
135,914
136,915
137,918
138,920
139,922
140,925
141,930
142,935
143,936
144,937
145,943
146,945
147,948
148,952
149,954
150,956
151,961
152,965
153,967
154,969
155,970
156,972
157,974
158,975
159,977
160,979
161,982
162,984
163,985
164,986
165,987
166,990
167,992
168,993
169,994
170,996
171,997
172,998
173,1001
174,1002
175,1003
176,1004
177,1005
178,1008
179,1011
180,1012
181,1015
182,1016
183,1017
184,1018
185,1019
186,1022
187,1023
188,1024
189,1025
190,1028
191,1033
192,1035
193,1036
194,1040
195,1041
196,1043
197,1044
198,1046
199,1047
200,1050
201,1053
202,1054
203,1055
204,1058
205,1059
206,1063
207,1064
208,1066
209,1067
210,1068
211,1069
212,1071
213,1072
214,1075
215,1077
216,1079
217,1082
218,1083
219,1084
220,1085
221,1086
222,1087
223,1088
224,1089
225,1090
226,1094
227,1097
228,1099
229,1101
230,1103
231,1106
232,1107
233,1109
234,1110
235,1111
236,1112
237,1113
238,1116
239,1118
240,1119
241,1120
242,1123
243,1124
244,1125
245,1126
246,1127
247,1128
248,1129
249,1131
250,1132
251,1133
252,1138
253,1139
254,1141
255,1143
256,1144
257,1146
258,1147
259,1148
260,1149
261,1150
262,1151
263,1152
264,1155
265,1156
266,1157
267,1158
268,1159
269,1160
270,1162
271,1163
272,1164
273,1165
274,1169
275,1170
276,1172
277,1173
278,1174
279,1176
280,1177
281,1178
282,1179
283,1180
284,1181
285,1182
286,1183
287,1184
288,1185
289,1186
290,1187
291,1188
292,1189
293,1190
294,1191
295,1192
296,1193
297,1194
298,1196
299,1197
300,1199
301,1200
302,1201
303,1202
304,1203
305,1204
306,1205
307,1209
308,1211
309,1212
310,1213
311,1214
312,1215
313,1216
314,1217
315,1218
316,1219
317,1220
318,1221
319,1223
320,1224
321,1225
322,1226
323,1227
324,1228
325,1229
326,1230
327,1231
328,1232
329,1233
330,1234
331,1235
332,1236
333,1237
334,1238
335,1239
336,1241
337,1242
338,1243
339,1244
340,1245
341,1246
342,1247
343,1248
344,1249
345,1250
346,1251
347,1252
348,1254
349,1255
350,1256
351,1257
352,1258
353,1260
354,1261
355,1262
356,1264
357,1265
358,1266
359,1267
360,1268
361,1269
362,1271
363,1272
364,1273
365,1275
366,1276
367,1277
368,1278
369,1279
370,1280
371,1281
372,1282
373,1283
374,1284
375,1285
376,1286
377,1287
378,1288
379,1289
380,1290
381,1291
382,1292
383,1293
384,1294
385,1295
386,1296
387,1297
