,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,42/400,100,56,[0.6771],[0.2864],[0.0083],[0.9999],"[-5.9479,-9.5359]","[3.6525,8.5202]",28.44,2074.98
1,algoQD,1,67/400,100,40,[0.6762],[0.2614],[0.0248],[0.9999],"[-9.4882,-9.5359]","[5.4358,8.5202]",45.30,1043.72
2,algoQD,2,88/400,100,35,[0.6937],[0.2493],[0.0248],[0.9999],"[-9.4882,-9.5359]","[5.9357,8.5202]",61.05,1042.46
3,algoQD,3,111/400,100,37,[0.6864],[0.2691],[0.0002],[0.9999],"[-9.4882,-9.5359]","[5.9357,8.5202]",76.19,1042.16
4,algoQD,4,129/400,100,33,[0.7126],[0.2598],[0.0256],[0.9999],"[-9.5225,-9.5359]","[7.0219,8.5202]",91.93,1043.08
5,algoQD,5,153/400,100,39,[0.7069],[0.2668],[0.0256],[0.9999],"[-9.5225,-9.5359]","[7.8131,9.1621]",108.15,1042.72
6,algoQD,6,166/400,100,35,[0.713],[0.2529],[0.0256],[0.9999],"[-9.6797,-9.5359]","[7.8131,9.1621]",118.35,1041.84
7,algoQD,7,182/400,100,31,[0.71],[0.2591],[0.005],[0.9999],"[-9.6797,-9.5359]","[7.9043,9.5778]",129.22,1042.83
8,algoQD,8,196/400,100,29,[0.714],[0.2617],[0.005],[0.9999],"[-9.6797,-9.5359]","[8.2474,9.5778]",139.94,1042.15
9,algoQD,9,205/400,100,18,[0.7274],[0.2511],[0.005],[0.9999],"[-9.6797,-9.5359]","[8.8786,9.5778]",149.11,1044.66
10,algoQD,10,218/400,100,22,[0.7272],[0.2562],[0.005],[0.9999],"[-9.6797,-9.5992]","[8.8786,9.5778]",158.54,1042.78
11,algoQD,11,228/400,100,23,[0.7396],[0.2497],[0.005],[0.9999],"[-9.6797,-9.5992]","[8.8786,9.8153]",168.62,1043.61
12,algoQD,12,235/400,100,19,[0.7535],[0.2435],[0.005],[0.9999],"[-9.6797,-9.5992]","[8.8786,9.8153]",177.08,1043.18
