,0
0,48
1,161
2,183
3,185
4,223
5,243
6,250
7,265
8,302
9,315
10,334
11,340
12,355
13,356
14,363
15,373
16,379
17,386
18,398
19,400
20,407
21,415
22,421
23,438
24,445
25,446
26,449
27,450
28,454
29,463
30,466
31,468
32,474
33,483
34,495
35,525
36,540
37,543
38,544
39,549
40,552
41,564
42,565
43,570
44,576
45,582
46,593
47,595
48,600
49,612
50,616
51,618
52,630
53,633
54,634
55,637
56,641
57,642
58,651
59,653
60,659
61,666
62,672
63,677
64,681
65,682
66,696
67,697
68,700
69,703
70,706
71,708
72,712
73,715
74,718
75,721
76,724
77,725
78,732
79,733
80,734
81,736
82,737
83,738
84,739
85,742
86,759
87,766
88,767
89,772
90,773
91,779
92,780
93,787
94,789
95,792
96,804
97,807
98,821
99,822
100,827
101,829
102,835
103,838
104,841
105,843
106,845
107,850
108,851
109,866
110,868
111,872
112,874
113,878
114,880
115,881
116,887
117,888
118,889
119,894
120,896
121,897
122,901
123,903
124,911
125,914
126,917
127,921
128,922
129,925
130,927
131,928
132,929
133,934
134,935
135,939
136,940
137,941
138,950
139,954
140,957
141,958
142,963
143,966
144,967
145,968
146,973
147,974
148,975
149,976
150,977
151,980
152,981
153,983
154,984
155,986
156,987
157,988
158,989
159,992
160,994
161,998
162,999
163,1003
164,1004
165,1006
166,1009
167,1013
168,1014
169,1015
170,1016
171,1017
172,1020
173,1024
174,1025
175,1026
176,1028
177,1031
178,1033
179,1034
180,1037
181,1038
182,1042
183,1043
184,1045
185,1046
186,1049
187,1050
188,1051
189,1052
190,1055
191,1056
192,1057
193,1058
194,1060
195,1062
196,1064
197,1065
198,1067
199,1068
200,1069
201,1070
202,1071
203,1074
204,1076
205,1077
206,1079
207,1081
208,1082
209,1083
210,1084
211,1085
212,1088
213,1089
214,1090
215,1092
216,1093
217,1096
218,1099
219,1102
220,1103
221,1107
222,1110
223,1111
224,1113
225,1116
226,1117
227,1118
228,1119
229,1120
230,1122
231,1124
232,1125
233,1126
234,1129
235,1130
236,1131
237,1132
238,1134
239,1136
240,1137
241,1140
242,1142
243,1143
244,1146
245,1147
246,1148
247,1150
248,1151
249,1154
250,1156
251,1157
252,1160
253,1161
254,1162
255,1164
256,1166
257,1167
258,1168
259,1170
260,1172
261,1173
262,1174
263,1176
264,1177
265,1178
266,1180
267,1182
268,1183
269,1185
270,1187
271,1189
272,1190
273,1193
274,1194
275,1196
276,1197
277,1198
278,1199
279,1200
280,1201
281,1202
282,1203
283,1205
284,1207
285,1208
286,1209
287,1210
288,1211
289,1212
290,1213
291,1214
292,1215
293,1216
294,1217
295,1221
296,1222
297,1223
298,1224
299,1225
300,1226
301,1228
302,1229
303,1230
304,1231
305,1232
306,1233
307,1234
308,1235
309,1236
310,1239
311,1241
312,1242
313,1244
314,1245
315,1246
316,1247
317,1248
318,1249
319,1250
320,1252
321,1253
322,1254
323,1255
324,1256
325,1257
326,1258
327,1259
328,1260
329,1261
330,1262
331,1263
332,1264
333,1265
334,1266
335,1268
336,1269
337,1270
338,1271
339,1272
340,1273
341,1274
342,1275
343,1276
344,1277
345,1278
346,1279
347,1280
348,1281
349,1282
350,1283
351,1284
352,1285
353,1286
354,1287
355,1288
356,1289
357,1290
358,1291
359,1293
360,1294
361,1295
362,1296
363,1297
364,1299
365,1300
366,1301
367,1302
368,1303
369,1304
370,1305
371,1306
372,1307
373,1308
374,1309
375,1310
376,1311
377,1312
378,1313
379,1314
380,1315
381,1316
